VTD,PRES12R,PRES12D,SEN12R,SEN12D,GOV14R,GOV14D,AG14D,AG14R,COMP14R,COMP14D,PRES16R,PRES16D,SEN16R,SEN16D,GOV18R,GOV18D,SEN18R,SEN18D,AG18R,AG18D,COMP18R,COMP18D,SEN12PD_BC,SEN12PD_CM,AG14PD_ABR,AG14PD_BFR,AG14PD_JCA,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,SEN16PD_CV,SEN16PD_DE,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,BVAP,BCVAP12,BCVAP14,BCVAP16,BCVAP18,VAP
2403902-001,177.7240223463687,111.19954128440368,110.995530726257,104.08629587155964,165.53631284916202,46.91026376146789,68.04673165137615,130.15307262569831,111.6491620111732,93.31823394495412,159.3050279329609,69.47104357798165,145.58435754189944,77.47104357798165,141.65474860335195,44.36037844036697,111.85586592178772,69.62327981651376,122.20446927374304,62.23136467889909,86.7832402234637,86.84690366972477,12.693807339449542,3.116112385321101,10.439793577981652,9.509461009174313,24.90137614678899,26.481938073394492,11.625573394495412,1.325114678899083,19.92316513761468,17.598050458715598,4.973910550458715,2.718463302752293,1.627006880733945,0.185779816513761,1.859231651376147,74,44.77707006369427,82.48407643312102,82.48407643312102,84.84076433121021,404
2403905-001,338.58379888268155,216.1077981651376,245.4902234636872,196.22047018348624,309.1731843575419,112.58801605504588,129.5180619266055,255.0223463687151,235.35754189944132,173.2150229357798,367.854748603352,173.80475917431193,363.090782122905,178.80475917431193,360.5572625698324,91.81106651376146,277.9972067039106,153.52924311926606,296.50977653631287,150.1293004587156,209.1508379888268,218.97763761467888,33.955275229357795,2.213589449541284,10.648509174311926,16.776662844036696,49.17660550458716,33.24455275229358,27.99025229357798,9.598050458715596,38.05619266055046,36.45814220183486,11.631020642201834,12.16112385321101,7.153383027522936,2.341743119266055,8.580561926605505,124,50.83952451708766,56.084695393759276,136.14413075780087,136.12184249628527,726
2403903-001,492.340782122905,337.14449541284404,346.8435754189944,294.6918004587156,442.7709497206704,137.8919151376147,173.40452981651376,360.3575418994413,328.72067039106145,235.00630733944956,535.6759776536313,268.7462729357798,515.4525139664804,286.7462729357798,491.9162011173185,155.8557912844037,381.9553072625698,245.91685779816515,420.1564245810056,215.745126146789,309.41340782122904,301.97534403669727,30.950688073394492,0.299598623853211,12.715022935779816,12.894782110091745,36.06651376146789,32.564506880733944,19.194380733944957,4.838876146788991,62.70298165137615,38.86410550458716,20.09317660550459,22.434059633027523,4.617832568807339,2.479357798165138,4.217029816513762,208,145.00000000000003,130.00000000000006,100.00000000000003,220.00000000000003,1165
2403913-003,81.11508379888268,54.45412844036697,63.283240223463686,42.56708715596331,75.01117318435755,29.83887614678899,28.73566513761468,67.92402234636872,63.98435754189944,37.94839449541284,85.29385474860335,49.66685779816514,90.3413407821229,51.66685779816514,85.25530726256983,27.225344036697248,65.50949720670391,42.95298165137615,69.91675977653631,41.94896788990826,51.48715083798882,55.565366972477065,5.130733944954128,1.048738532110091,1.604357798165138,4.633600917431193,4.637614678899083,4.881307339449542,2.682339449541284,0.136467889908257,9.06651376146789,6.930045871559633,1.82855504587156,0.721330275229358,0.263188073394495,0.077981651376147,1.360665137614679,53,25.480769230769234,32.27564102564103,18.685897435897438,42.46794871794871,217
2403913-002,133.63351955307263,104.4243119266055,99.99608938547486,85.67631880733944,102.46927374301676,53.50602064220183,60.27322247706422,81.00893854748603,75.94301675977654,76.6336009174312,126.14189944134078,84.78469036697248,113.636312849162,92.78469036697248,123.82290502793296,53.14994266055046,95.99888268156424,73.46616972477064,104.80391061452514,68.48767201834862,75.06033519553073,93.61410550458716,10.228211009174313,0.096043577981651,5.190940366972477,4.248566513761467,11.227064220183486,14.707282110091745,3.344610091743119,0.268922018348624,13.07224770642202,12.803325688073397,7.632740825688074,7.42144495412844,1.518635321100917,1.153669724770642,1.71072247706422,2541,3112.0192307692305,2936.8910256410245,2782.147435897436,2681.6987179487173,3664
2403913-001,73.06983240223464,29.58256880733945,54.78351955307262,24.904243119266056,60.97765363128492,10.465022935779816,17.15080275229358,48.35195530726257,48.63128491620112,18.84288990825688,78.2122905027933,27.274655963302752,76.36731843575419,26.274655963302752,75.83938547486034,15.819380733944952,58.08100558659218,28.43463302752293,65.21648044692738,22.66685779816514,48.625698324022345,34.43233944954129,1.864678899082569,0.037270642201835,0.462155963302752,1.484518348623853,2.252293577981652,2.438646788990826,0.521788990825688,0.104357798165138,5.580275229357798,3.475917431192661,0.633600917431193,2.551605504587156,1.201261467889909,0.059633027522936,0.275802752293578,26,12.5,15.833333333333332,9.166666666666666,20.833333333333332,151
2403901-002,428.2625698324022,616.6811926605504,300.9860335195531,575.975630733945,378.67597765363126,314.6333142201835,348.478497706422,300.6033519553073,273.6536312849162,424.17259174311926,419.0782122905028,596.3752866972477,417.70111731843576,591.3752866972477,422.7960893854748,341.46301605504584,291.42458100558656,491.1794724770642,328.0139664804469,461.7984518348624,234.07262569832403,557.5980504587155,60.1961009174312,6.698107798165138,36.6565366972477,31.07540137614679,73.45642201834863,116.94696100917432,26.77350917431193,4.954701834862385,85.59977064220183,101.64506880733944,42.86783256880734,34.33199541284404,7.769782110091743,3.11697247706422,12.16599770642202,928,773.171071800177,831.8679668602258,879.9891749819243,1013.029296279725,2355
2403901-003,72.27150837988827,203.88073394495413,53.99832402234637,178.4369266055046,51.20111731843576,53.66857798165138,60.15022935779817,41.43240223463687,41.118435754189946,70.74082568807339,48.489385474860335,172.47133027522938,53.84413407821229,166.47133027522938,46.49553072625699,105.69839449541286,34.57094972067039,130.05275229357798,38.20167597765364,124.15481651376146,27.168715083798883,145.19495412844037,15.389908256880734,0.189220183486239,4.346330275229358,4.459862385321101,17.357798165137616,13.303899082568808,5.649082568807339,3.529816513761468,15.022935779816514,19.493119266055047,8.216743119266056,4.800458715596331,5.021788990825688,0.302752293577982,6.400229357798166,99,82.378223495702,63.03724928366762,67.33524355300861,103.86819484240688,186
2403915-002,100.74469273743016,682.6743119266055,82.21145251396648,603.3950688073394,98.62569832402237,216.66227064220183,233.05447247706425,75.94525139664805,74.72402234636871,262.6961009174312,103.25586592178772,476.3159403669725,110.16508379888268,472.3159403669725,111.6472067039106,275.49369266055044,70.631843575419,372.2786697247707,81.38854748603352,356.64392201834863,56.8804469273743,406.5516055045872,42.10321100917432,4.564793577981652,28.00344036697248,11.342316513761467,36.977064220183486,59.80103211009174,15.90711009174312,4.581422018348624,48.94724770642202,68.3658256880734,25.601490825688074,21.35894495412844,7.049885321100918,3.903669724770642,10.17947247706422,950,853.8204417754915,900.468213580015,819.6943337491308,741.7072713022552,1267
2403901-001,193.00782122905028,313.4701834862385,137.13575418994412,279.9217316513761,166.70949720670393,121.10464449541286,127.72505733944952,131.97541899441342,124.40670391061452,162.06020642201835,223.35977653631284,248.80533256880736,211.6251396648045,255.80533256880736,223.8620111731844,162.48709862385323,162.75307262569834,229.3881880733945,182.6642458100559,212.9762041284404,132.3340782122905,266.67373853211006,26.347477064220183,4.35980504587156,18.46158256880734,12.677465596330276,34.0894495412844,49.888474770642205,12.037270642201836,2.007454128440367,49.25573394495413,44.248279816513765,25.116685779816518,15.325114678899084,1.942947247706422,0.575688073394495,4.662557339449542,349,291.4774222252498,288.5005343222198,306.02189656713944,376.8851249803089,1039
