GEOID,LAT,LNG
010059505002,31.7728221,-85.3325011
010059505001,31.7523221,-85.200947
010059502001,31.9605343,-85.4101906
010059502002,31.9369709,-85.540131
010059504002,31.6640489,-85.6212777
010059504003,31.6880909,-85.6550287
010059504001,31.6713558,-85.4959365
010059501002,32.01144,-85.1541012
010059501001,32.068952,-85.2873253
010059501003,31.9418174,-85.1158793
010059506002,31.8783526,-85.2729215
010059507001,31.9440855,-85.2620842
010059508001,31.920693,-85.1760317
010059506001,31.8802833,-85.1517097
010059507002,31.8841907,-85.1575254
010059508002,31.9031526,-85.1700615
010059509003,31.885742,-85.1410937
010919729002,32.5069678,-87.8138179
010919729003,32.5132426,-87.8294753
010919732001,32.0620795,-87.7277351
010690401001,31.2208061,-85.5156
010690415001,31.2951707,-85.3891986
010690419001,31.2094419,-85.2828583
010690421001,31.0614384,-85.3838063
010690421004,31.0391515,-85.4560243
010690420002,31.0221811,-85.2628418
010690420003,31.0372766,-85.3465791
010690401003,31.2153341,-85.6483884
010690401002,31.2328442,-85.5803608
010690417002,31.2437696,-85.1548355
010690416004,31.2767539,-85.2220081
010690417001,31.2953514,-85.1102016
010690406003,31.2344899,-85.4020044
010690402021,31.261291,-85.4741186
010690416003,31.268835,-85.2759901
010690419003,31.1997128,-85.2546515
010690408003,31.1668892,-85.4208205
010690419002,31.171835,-85.3108421
010690409001,31.1770467,-85.3452288
010690421003,31.1078519,-85.4558381
010690420004,31.1174268,-85.3348284
010690415002,31.2605459,-85.3744636
010690418001,31.1252619,-85.121774
010690419005,31.1947375,-85.2079097
010690409002,31.1941842,-85.3683888
010690419004,31.1658394,-85.2608474
010690419006,31.1262038,-85.2274244
010690405001,31.2208317,-85.4089725
010690402011,31.215786,-85.443923
010690402022,31.2589137,-85.4509328
010690415005,31.2347828,-85.3877228
010690416001,31.2640618,-85.3212728
010690416002,31.2753139,-85.3501598
010690418002,31.0607041,-85.1207652
010690408001,31.1997076,-85.4586315
010690408004,31.1490923,-85.4110667
010690421002,31.1687485,-85.4757966
010690420001,31.083426,-85.2685879
010690403022,31.266452,-85.431699
010059509002,31.8563794,-85.1515371
010059503001,31.7832074,-85.5116241
010059503002,31.8099257,-85.6290314
010059505003,31.7634183,-85.2718649
010059502003,31.8354897,-85.4208185
010059509001,31.8486703,-85.1859398
010690403021,31.2793303,-85.436156
010690412001,31.2151176,-85.3976954
010690414002,31.2204537,-85.3529495
010690404003,31.2332362,-85.4096788
010690404002,31.2355176,-85.4177462
010690414001,31.2398389,-85.3509989
010690402023,31.2492624,-85.435608
010690403011,31.2460568,-85.4096095
010690404001,31.2373273,-85.4263314
010690405002,31.2238076,-85.4221984
010690415004,31.2579302,-85.3945782
010690406002,31.2246509,-85.4023111
010690410003,31.2004236,-85.3796556
010690408002,31.1792593,-85.4377101
010690405003,31.2152894,-85.4229616
010690407002,31.2069783,-85.4148196
010690410001,31.2143385,-85.3736202
010690407001,31.2101207,-85.4065665
010690411001,31.2024746,-85.3962288
010690411002,31.1958815,-85.3981645
010690411003,31.1757921,-85.3914561
010690414003,31.2275143,-85.385434
010690415003,31.2505014,-85.3643451
010690412002,31.215514,-85.3885257
010690406001,31.2266103,-85.39484
010690410002,31.2056695,-85.3730006
010690402013,31.2338596,-85.4855509
010279590003,33.2636507,-85.8652422
010279590002,33.3112096,-85.9143629
010279591001,33.2281635,-85.7114695
010279591003,33.1549656,-85.7407033
010279589001,33.4143499,-85.8309392
010279589002,33.3523154,-85.6994124
010279589003,33.300327,-85.6861774
010279592001,33.237078,-85.9493826
010279592003,33.1811667,-86.0757504
010279589004,33.3170069,-85.7818107
010279591002,33.1867433,-85.8309171
010279592002,33.1381896,-85.9498228
010279590001,33.3012867,-85.8246215
010919729005,32.5320312,-87.833327
010919734002,32.4969673,-87.915531
010919734004,32.4542324,-87.8595105
010919734005,32.4815276,-87.8902128
010919730005,32.3557836,-87.7121316
010919734001,32.5069779,-87.8485263
010919729001,32.4762315,-87.7721116
010919729004,32.491039,-87.8238349
010919730004,32.2427864,-87.9004211
010919730003,32.2191859,-87.7387857
010919731001,32.4209703,-87.6249654
010919733001,32.0201223,-87.9939651
010919730001,32.3794392,-87.7679904
010919733003,32.1216157,-87.9687409
010919733002,32.103134,-87.8495481
010919731003,32.2964003,-87.5860747
010919731002,32.2170468,-87.6116548
010919732002,32.0737311,-87.8122111
010919730002,32.312614,-87.8259744
010919730006,32.3100934,-87.7703081
010919734003,32.3718357,-87.9133897
010890109021,34.7062194,-86.3802376
010890109022,34.6630744,-86.4066963
010890107022,34.8176692,-86.560324
010890013012,34.7441229,-86.6373994
010890017002,34.7226469,-86.5676982
010890002011,34.7696889,-86.5567436
010890108002,34.7770789,-86.4965872
010890007022,34.7521175,-86.5999781
010830204022,34.7856835,-87.0636297
010830208011,34.8180842,-86.8918752
010479567011,32.405323,-87.0713872
010479567021,32.3982867,-87.0528381
010479562011,32.4305512,-87.1271652
010479565001,32.4048663,-86.993808
010479565002,32.4201902,-87.0019431
010479564002,32.429303,-87.0109708
010479562022,32.4865799,-87.0836177
010479569001,32.4150761,-87.2412042
010479562012,32.3550638,-87.0865004
010479569002,32.2489898,-87.1760498
010479572002,32.3570745,-87.013866
010730121034,33.620311,-86.9650039
010730120022,33.6080848,-86.8027253
010730125003,33.5327133,-86.9295829
010730011002,33.5450715,-86.8859345
010730125004,33.5603921,-86.9849155
010730124031,33.5577496,-86.9517264
010730115004,33.6876856,-87.0266746
010730121041,33.641435,-87.004229
010730111091,33.6553993,-86.563039
010730116003,33.6319147,-86.927701
010730035001,33.5064511,-86.9313669
010730143021,33.4074612,-86.8945183
010730057021,33.4747088,-86.8693269
010730126023,33.5687616,-86.6668391
010730129051,33.4410379,-86.7804232
010730138011,33.416375,-86.972728
010730140022,33.4038732,-87.0174179
010730141042,33.3782511,-87.0007265
010730102001,33.3991288,-86.9688363
010730129111,33.4335682,-86.7618568
010730129114,33.4480683,-86.7611186
010730129061,33.4150689,-86.7821068
010730138012,33.4330274,-86.960678
010730103022,33.4110568,-86.9410299
010730129153,33.4280568,-86.807303
010730142031,33.3207229,-86.9754198
010730144051,33.4229934,-86.836385
010730142043,33.3525378,-86.9022137
010730144101,33.3448801,-86.8559231
010730144121,33.3912704,-86.8511273
010730144133,33.3813896,-86.8382154
010730051041,33.4764479,-86.8341082
010730131004,33.4482629,-86.8924137
010030114012,30.4008099,-87.7895507
010030114013,30.3781936,-87.7555542
010030114031,30.2994296,-87.7098538
010030115021,30.3781112,-87.6910004
010030115013,30.4228137,-87.6864373
010030109033,30.5849144,-87.7877588
010030109041,30.5909203,-87.6135628
010030109042,30.5433465,-87.518909
010030109051,30.5259111,-87.7752812
010030101001,31.1685484,-87.8424466
010030101003,31.1269766,-87.7054319
010030110001,30.4820079,-87.7420175
010030110002,30.4951737,-87.6351788
010030114062,30.2616717,-87.6454156
010030114063,30.2841384,-87.6155879
010310104001,31.3490529,-86.0269715
010310104002,31.4459587,-86.0091914
010310105001,31.3770852,-86.1385111
010310105005,31.4636846,-86.0908286
010310105003,31.4569396,-86.1693857
010310105004,31.4616011,-86.1096753
010310103002,31.3566252,-85.9469404
010690402024,31.2371202,-85.4472743
010690403012,31.2574807,-85.4185047
010690402012,31.2258671,-85.465277
010690403013,31.2641822,-85.4103744
010010203001,32.480175,-86.4607925
010010204001,32.4851761,-86.4447882
010010205001,32.4460615,-86.4186571
010010207002,32.4469373,-86.4465986
010010207001,32.4242008,-86.4400842
010010208021,32.5248216,-86.5730092
010010208024,32.5576491,-86.4305268
010010208022,32.5079839,-86.4536054
010010208023,32.5439757,-86.4922551
010010202002,32.4646315,-86.4708497
010010202001,32.4800824,-86.4749744
010399617003,31.3178166,-86.6287061
010399617002,31.4002785,-86.609838
010399618002,31.2650426,-86.5052622
010399618001,31.2722769,-86.5231168
010399619002,31.2550183,-86.461484
011030054042,34.4886064,-86.8453734
011030054043,34.557569,-86.887972
011030054051,34.5129574,-86.7922081
011030054052,34.4961473,-86.7412081
011030054053,34.4207319,-86.7668964
011030051061,34.577854,-87.035101
011030051062,34.5808832,-87.0263301
011030051081,34.5644839,-87.0133742
011030051083,34.5548814,-87.0068813
011030009002,34.5688848,-87.0058236
010890107024,34.8324994,-86.5294986
010890103022,34.921348,-86.4987178
010890004034,34.794003,-86.6385899
010890009011,34.7632184,-86.5372368
010890110223,34.6966234,-86.7267885
010890110222,34.6892169,-86.7337909
010890110122,34.7344589,-86.7326645
010890106222,34.7478381,-86.6579555
010890007021,34.7552232,-86.6057351
010890110121,34.7382465,-86.7244292
010830204021,34.827674,-87.0271039
010830204023,34.80161,-87.0119472
010830208012,34.83805,-86.819998
010830206001,34.825723,-86.9849293
010830208013,34.818969,-86.8176536
010479564001,32.4335638,-87.0195509
010479573003,32.3424529,-86.9767724
010479573001,32.3184453,-86.879088
010479572001,32.3743617,-87.0591308
010479565003,32.4110739,-87.0128422
010479566004,32.4199934,-87.027761
010479564003,32.4181616,-87.0187492
010479566002,32.4121214,-87.0310698
010479568001,32.426564,-87.040882
010730121042,33.5999622,-86.9606798
010730120011,33.5827727,-86.8894699
010730121043,33.5947433,-86.9467453
010730121035,33.5988142,-86.9203897
010730055001,33.5677256,-86.814326
