GEOID,LAT,LNG
0209005-580,64.82905326284023,-147.8085419989357
0209001-446,64.85382823620154,-147.75787445375587
0209001-475,64.84170544832692,-147.75581314580543
0209001-485,64.82470057446467,-147.7532038409361
0209001-470,64.84047628960491,-147.73239839871857
0209001-465,64.83831505423696,-147.71242083993258
0209002-355,64.84935464714064,-147.70010826452176
0209001-455,64.8501371999223,-147.72834823596654
0209001-490,64.8189180473359,-147.71793701938353
0209004-230,64.80492810332962,-148.31085899441604
0209006-180,65.04372191196234,-146.3887962775984
0209003-165,64.75781932416741,-147.30528075143624
0209005-588,64.80109778724797,-147.8170707979432
0209002-345,64.81015683378526,-147.55143141229735
0209002-365,64.84457021016007,-147.67159912759934
0209002-375,64.84426545296898,-147.60840327961327
0209003-175,64.75294898789633,-147.3599326758007
0209005-587,64.80721837359052,-147.75814698529155
0209003-135,64.75472830708084,-147.25667358409748
0209005-596,64.8385432382539,-147.87746231672972
0209001-480,64.83855992356095,-147.79580370114522
0209004-265,64.91555732279659,-147.57978621122518
0209003-130,64.85396582503998,-147.45422480847554
0209003-183,64.80641110445787,-147.339510545126
0209004-250,64.98286691547376,-147.7986596176503
0209006-170,64.91413744368539,-147.32676293638846
0209005-590,64.77804741385367,-147.45238366786478
0209004-260,65.02366752613094,-148.3160559764433
0209005-586,64.84953659347258,-147.85185438245102
0209005-592,64.85775120079104,-147.79568050160327
0209004-280,64.89748713860047,-148.01081311433978
0209001-495,64.8318852599256,-147.77734016370093
0209005-594,64.8575784542478,-147.8336045513671
0218039-936,64.67189517698714,-160.70307775775575
0218039-946,65.34070521510695,-165.53860167648764
0218039-950,65.70036658333593,-167.1226643585027
0218039-938,66.14523119719405,-165.47141355048248
0218039-914,64.77695394874075,-162.64340552417423
0218039-932,63.331983390507304,-169.86905750144172
0218039-920,65.16594852492294,-160.91612935031802
0218039-902,65.44191697732275,-166.89696536908528
0218039-912,63.523226812177676,-171.48493582486864
0218039-952,65.02151398588234,-163.3476911747503
0218039-924,64.62296404242568,-165.73391403875456
0218039-926,64.85888992648067,-164.65626569812233
0218039-908,64.62927707402034,-162.1095423748228
0218039-944,63.56005905258568,-162.45827242934007
0218039-948,64.05052970142788,-160.40497028562513
0218039-906,65.69416248883108,-168.8214004733499
0209006-145,64.69021773691576,-146.6609091877107
0209006-155,64.70688639382325,-147.18229098290047
0209006-160,64.74032625920167,-145.43766277031494
0209006-150,65.17514008509299,-146.98835773247393
0209005-582,64.5263720519253,-147.68885213724332
0209004-270,65.00815608316098,-147.74098322959415
0209004-240,64.88712757046811,-147.81402869901078
0215032-845,58.31148798246572,-152.55817004975884
0215032-815,57.4770565082976,-154.2360871304317
0215032-810,57.70935778194257,-152.58884013597392
0215032-820,57.78611624263839,-152.4035394617163
0215032-830,57.79634808792534,-152.3132168243671
0215032-835,57.21153925092965,-153.32659986687347
0215032-840,57.91146775215695,-152.35961399851928
0215032-800,57.53048559914336,-152.30242681570817
0215032-825,57.797733438677355,-152.41372574231502
0229006-054,65.09959167610944,-149.55399158592138
0229006-050,64.86848707122655,-150.39719539593082
0229006-080,65.2633404596289,-152.21834059628358
0229006-070,66.07619176423813,-149.45451374007513
0229040-326,66.56456768390203,-154.1130778700375
0229040-328,67.47422965772522,-150.49080988581665
0229006-056,64.59298327776428,-149.47578895879505
0229039-318,64.35701610567928,-159.20098618304442
0229039-324,64.43316722449894,-154.76244081515873
0229039-316,65.60945533819384,-156.66436465382674
0229039-320,64.90482531118643,-158.2873720266416
0229039-314,64.70507164536978,-156.44753483988936
0229039-322,64.3748784388773,-157.93195377911653
0229040-330,66.04522100502544,-154.23762176244907
0229006-015,65.56895648664205,-144.88381667157893
0229006-010,66.23379898543358,-147.32665095026312
0229006-024,64.46103426573406,-148.5826529331034
0229037-304,62.21005572023731,-160.3539048934259
0229037-306,62.964655774338326,-154.45916062006097
0229037-302,63.26329845024308,-158.84057639542354
0229037-300,62.64809509308971,-160.2122508411324
0229037-310,62.37903726023405,-159.03389937663943
0229037-308,63.009525455329594,-154.37632372492408
0229037-312,63.18055123974275,-156.9388214304143
0229039-942,63.204377788573446,-160.2230636980563
0229006-033,66.90629137618717,-143.50297428979056
0229006-007,68.2136279654478,-143.52344446372194
0229006-095,67.12171452240194,-146.5799441504471
0229006-023,65.83451229717795,-144.16720732120305
0229006-030,64.83755980189622,-143.78729892184452
0218039-942,63.2945387763177,-161.56404382473224
0211034-420,58.72740333158872,-134.8072333724883
0211034-430,58.37693879278381,-134.58305040064144
0211034-400,58.35481109354984,-134.6780510241612
0211034-450,58.39581897687346,-134.57557273241758
0211034-460,58.42531118843563,-134.51636616088692
0211034-440,58.386247948717504,-134.55066778009882
0211034-410,58.35789646536065,-134.56580724650058
0211033-520,58.35311175693893,-134.40933929276417
0211033-500,58.162895108681745,-134.52229025814052
0211033-515,58.30636829707293,-134.3974281668203
0211033-525,58.377666683205305,-134.47945081120702
0211033-510,58.3587766260966,-133.92656507865436
0211033-530,58.279943042006614,-134.56955393360698
0201637-752,57.16743318279172,-170.24212895018127
0215839-940,62.41750582706368,-162.06277289133467
0215839-900,62.54456413601797,-164.5501981037723
0215839-904,61.41515784990263,-164.6132253933348
0215839-922,62.097995907105776,-163.985563252132
0215839-910,62.87752545913004,-164.44558759960833
0215839-918,62.90863454090289,-163.26930328179617
0215838-834,61.77367838471853,-162.3584822495219
0215838-850,61.77430084282774,-161.39453270296394
0215839-928,62.4380460485474,-165.04702006435713
0215839-934,61.950661151883914,-165.3308609900744
0215838-804,61.84602287223619,-160.6577622361677
0215839-916,61.61981009311559,-166.06738514833748
0215839-930,61.94219527212391,-162.8827843376483
0216437-728,59.42903555061699,-155.21936166897814
0216437-726,59.781844594655674,-154.63068006045992
0216437-730,58.783490762981764,-155.80017259069106
0216437-740,59.8209238450546,-154.05772621174907
0206806-040,63.98595024993002,-148.20038180799307
0223033-540,59.55999205293265,-135.33667263269822
0206806-005,64.35100169281407,-149.1818890583257
0206806-024,64.18495041533248,-149.77937718909342
0206806-026,63.483928370145186,-150.5839060660456
0206806-012,63.381894514015436,-148.7093206182713
0212231-390,60.004509826679715,-151.59952591294817
0212232-855,60.08874998279914,-152.86018631008926
0212229-160,60.77888750963688,-150.60050916427792
0212232-847,59.70125559701946,-150.2622142741963
0212231-310,59.70314104378902,-151.55099492506184
0212231-370,59.73597465512193,-151.35346548716464
0212231-350,59.64115133039931,-151.5985614664336
0212229-130,60.51587785290425,-150.9743679148986
0212229-190,60.66322060205402,-150.09790659944812
0212231-340,60.26512426207478,-150.48630686817822
0212229-180,60.51795043227454,-150.88748208768862
0212229-115,60.48761369434002,-150.7812342289639
0212230-200,60.47253156418946,-151.1870432968287
0212230-250,60.50749328093025,-151.05379042006592
0212231-380,60.31121134668746,-151.53289996957793
0212229-150,60.91011621495466,-150.98686806503093
0212231-320,59.92122016065797,-150.74744313465754
0212230-210,60.50685164096193,-151.1969155902869
0212231-360,59.63728967627553,-151.4516977190245
0212231-300,59.776583276025825,-151.92225929150524
0212230-220,60.53022285229205,-151.48043906924926
0212230-230,60.57430936741676,-151.1758406674483
0212230-240,60.53848224389857,-151.18147944276262
0212229-170,60.092806824329244,-149.42811676659085
0212229-110,60.394222247399334,-149.71833468568232
0212229-140,60.53720693710016,-149.20680441478623
0212229-120,60.79297339037523,-149.3613910126148
0207037-754,59.072713567133995,-159.9286353734436
0207037-718,59.12246143841675,-157.4459621068817
0207037-702,60.15388701063327,-158.51833500096524
0207037-714,59.181818807160674,-158.21942408273927
0207037-710,58.75616603915123,-158.22579019480403
0228232-860,59.66861752437061,-139.31622458362168
0228232-850,60.20257946329928,-142.23805632280923
0216437-716,57.763608437529435,-157.09702901530184
0216437-738,60.380171612630626,-154.7965033992568
0216437-742,56.86315392730807,-157.88770536786734
0216437-708,56.174485248284235,-158.65040419492732
0206037-734,58.79441550207356,-157.03258751006467
0206037-748,58.664057082974224,-157.32195773103365
0206037-722,58.72503279171485,-156.5134695346024
0210033-550,59.36827705119104,-136.0662696912225
0210033-545,58.9852593127779,-135.28528239636512
0207037-724,60.317662459687625,-156.7005323434679
0207037-736,59.56714119874031,-157.32280938395925
0207037-732,58.88779194002095,-158.939505729864
0212229-100,60.213333863391625,-149.4266945027185
0210533-505,58.705950251536166,-136.5546806751587
0210535-720,58.12977986653284,-135.70925466620727
0210535-750,58.00891404812695,-136.3354055541461
0210535-700,57.553277411538865,-134.2815454577468
