GEOID,LAT,LNG
080410031003,38.78951015160504,-104.84320033668155
080990002001,38.10037587557773,-102.61949924815588
080350144054,39.3970354421622,-104.90835650991338
080350141272,39.47603706553008,-104.90476194255031
081230014102,40.41051818042213,-104.74340292743732
080350145052,39.355792012503215,-104.85549501750712
080350141162,39.54000267833415,-104.87459766572795
080140306004,39.937614613810055,-105.02938983528267
080140304003,39.93607719888603,-105.06681808123574
080140301001,39.92606914764043,-105.08583213631138
080140300002,39.91978629380017,-105.07607234797015
081230025012,40.722443761606584,-103.81718261656569
081230016001,40.388430634163996,-104.55990742269633
080150002003,38.48272873707367,-106.03127756807541
080150003001,38.62122301856701,-105.9761673265779
080150003002,38.65900586473295,-106.2044708062156
080150002001,38.54517187956157,-106.04409235818055
080350141342,39.52153764363655,-104.95305503544472
080350139102,39.510490559087394,-104.73234427864837
080410006003,38.868182202107214,-104.78975632122769
080759660001,40.65502951284613,-103.42142162027172
080179606002,38.826726859351055,-102.75759758725914
080179606001,38.83112279069794,-102.1987040335461
080350141381,39.55851756429889,-104.91151454668451
080350141313,39.55685658749977,-105.01341716767188
080350142033,39.47650934252529,-105.07638336997135
080350140081,39.531571657324186,-104.80253220010381
081230023001,40.633028978014494,-104.763450434897
081230008004,40.404220576091404,-104.68608511425028
080140301002,39.92665047713793,-105.07731512378334
080140300001,39.91802079778105,-105.08506565300333
080140303002,39.91964180608215,-105.06230307225209
080140303001,39.927446186419296,-105.06156982835643
080149802001,39.964322140410296,-105.07571652716575
080150001001,38.53295118541497,-105.98674284662509
080150001002,38.546757911995265,-106.00289582722895
080150002002,38.528240866922005,-106.01384275321497
080150003003,38.52292533758805,-106.21686997036167
080350145033,39.399789867875775,-104.84615755771699
080350141391,39.559071933874726,-104.93161190022758
080350141072,39.56295355065792,-104.97520518197767
080350141382,39.56232933820649,-104.9162563408088
080410002032,38.8937204102868,-104.81336219095756
080410002033,38.88866222318067,-104.8078230257533
080410002031,38.88594200857835,-104.7966600479612
080410003011,38.879790109308296,-104.79597556522431
080410003012,38.8761782402967,-104.80837778876509
080410003021,38.88144617112266,-104.82061747503153
080410004001,38.87054668170013,-104.79919026527101
080410004002,38.86575626961688,-104.79890866330496
080410006001,38.8634734416126,-104.78011571064897
080410006002,38.86273434332209,-104.78861623558538
080759664001,40.61839578945788,-102.91112796926197
