GEOID,LAT,LNG
0901111-057,41.486114475062976,-72.17137185689582
0900505-001,41.93155397199823,-72.97276673083813
0900505-002,41.637484083975515,-73.21132066733072
0900505-003,41.520881985675324,-73.36013713914922
0900505-004,41.95979303008515,-73.31016507608963
0900505-005,42.001528123538684,-73.0808538134443
0900505-006,41.84729501437424,-73.32994679019596
0900505-008,41.86810788457977,-73.23019643431773
0900505-007,41.8051507777829,-73.2420132974341
0900505-009,41.780079629763094,-73.0973916051486
0900505-010,41.7514767486446,-73.05269975886723
0900505-011,41.72991196309543,-73.45398266137339
0900505-012,41.754992681836185,-73.19904272488817
0900505-016,41.689793052595306,-73.20781690988387
0900505-013,41.70394950946689,-73.11507511584959
0900505-014,41.72622996750172,-73.26157595850822
0900505-017,41.87371717314352,-72.99429297314026
0900505-018,41.8283339906453,-73.01148881237783
0900505-015,41.72835646280388,-73.1260220152705
0900505-025,41.54041666972888,-73.40145407682702
0900505-024,41.53885253625317,-73.42920971843373
0900505-022,41.63978228516082,-73.47418889724248
0900505-021,41.58486263754189,-73.45009735387212
0900505-026,41.98003969719843,-73.19635039201394
0900505-019,41.60763306842299,-73.37299964806041
0900505-023,41.646689192083876,-73.4206036641074
0900505-028,41.664155149921136,-73.02632578292435
0900505-029,41.55385762090388,-73.30032178651709
0900505-030,41.986028534504676,-73.42555172482186
0900505-031,41.857477158800585,-73.43753724816654
0900505-034,41.842054562872974,-73.15567911926631
0900505-036,41.84408035602428,-73.10801415468471
0900505-044,41.74055849686737,-73.34487480860044
0900505-035,41.81549392945199,-73.1258290607971
0900505-051,41.563894132717685,-73.21481889785201
0900505-050,41.921861125138776,-73.10280971405264
0900505-038,41.79472382005718,-73.16187579415774
0900505-048,41.57565752009807,-73.11544267258944
0900505-049,41.61462203515081,-73.08139280869429
0900505-039,41.871535982609295,-73.12234425741788
0900505-042,41.82074864633397,-73.09557928894225
0900505-037,41.814474295817405,-73.11186802290563
0900505-020,41.58444416333339,-73.40533277244276
0900505-043,41.81216350414645,-73.14770427436133
0900505-045,41.65231849902639,-73.31444839818678
0901111-011,41.57997411183231,-71.91531969874339
0901111-055,41.38053596954247,-72.17130663115151
0901111-054,41.40351054927799,-72.1239765113174
0901111-006,41.387138804656594,-72.24520168258157
0901111-010,41.61581181900357,-71.96537241990089
0901111-001,41.545339591237166,-72.17488688571912
0901111-002,41.56120135507088,-72.329645507274
0901111-004,41.56981081877185,-72.28351168168682
0901111-003,41.55614108851665,-72.38911304187016
0901111-005,41.562797326638496,-72.43862849071529
0901111-009,41.61584800565885,-72.14312239045955
0901111-008,41.29427387152235,-72.23208237329717
0901111-007,41.29696432014504,-72.20066752376339
0901111-056,41.29038185339518,-72.14149732211564
0901111-053,41.3452550738515,-72.13764997563719
0901111-019,41.64576516614786,-72.2578078213494
0901111-020,41.60672843808413,-72.21028347963833
0901111-014,41.35256152393259,-72.07711302560843
0901111-015,41.38059889654374,-72.05913950773113
0901111-013,41.3144962376369,-72.06789155168195
0901111-017,41.35345344917777,-71.98294264539273
0901111-012,41.32475650772064,-72.03749100280217
0901111-016,41.383689538080816,-71.9969677751392
0901111-018,41.32403884705042,-72.00184051087226
0901111-022,41.43866143928156,-72.05778948219995
0901111-024,41.585944095618935,-72.00653372371336
0901111-025,41.613581212998874,-72.0201381746029
0901111-026,41.39650959979981,-72.34380397496086
0901111-021,41.4445520615236,-71.99608564558474
0901111-023,41.41218889518411,-72.07360891973896
0901111-030,41.43841737677125,-72.19266462438102
0901111-027,41.43595401525369,-72.13776974912682
0901111-035,41.29552341116673,-72.08406638938804
0901111-033,41.36723825301242,-72.10610927684775
0901111-034,41.34276841521979,-72.10045705419633
0901111-031,41.48088503812046,-72.108333791096
0901111-028,41.46397736313393,-72.0925360203813
0901111-032,41.451630852236725,-72.1228697560513
0901111-036,41.46967817176669,-71.87542119430373
0901111-037,41.58344176883048,-72.0829658229653
0901111-040,41.518269828834114,-72.10746871303671
0901111-038,41.55766478909178,-72.06801526932841
0901111-043,41.292134334589285,-72.29898144964329
0901111-044,41.52230933339312,-72.00102904497088
0901111-039,41.55043739917004,-72.11701283350659
0901111-041,41.53062916504528,-72.07436724498605
0901111-042,41.51651925206555,-72.06472662819537
0901111-045,41.48534557001241,-72.26631543606129
