GEOID,LAT,LNG
10001007-34,39.10782453248518,-75.5003009611263
10001003-34,39.071270903158826,-75.56421553207215
10001010-34,39.06841970854693,-75.63097526158418
10001009-34,39.07375688508324,-75.52595897380374
10001002-30,39.03967541881697,-75.57688357778181
10001004-33,39.02242124330108,-75.49676735929907
10001003-33,39.05959121030738,-75.4660017123108
10001002-33,39.07270711326276,-75.49929182882244
10001005-33,39.02353757210228,-75.30413371838995
10001001-30,39.032761740971445,-75.64208170551294
10001008-34,39.092999341456476,-75.49217155770579
10001002-34,39.10107343709483,-75.63081115228499
10001006-29,39.109833479064044,-75.6880521809857
10001004-34,39.107108953126236,-75.56098632256516
10001006-34,39.09199174584705,-75.53458605288537
10001001-33,39.0421038514303,-75.53697653863483
10001003-32,39.14239274826514,-75.54235545947324
10001005-34,39.12029998773236,-75.52594661818817
10001014-28,39.198086829043895,-75.54215689887504
10001008-28,39.22611229376056,-75.44936968673211
10001005-32,39.133392224508135,-75.51372164544694
10001009-32,39.11411358662158,-75.4820249525409
10001006-32,39.127725470585666,-75.46751257607455
10001001-32,39.153941469018775,-75.47916255428812
10001007-32,39.11330343807309,-75.34478189908394
10005003-35,38.72102803112998,-75.57118328334455
10005002-35,38.74242064890038,-75.66044459342321
10005001-35,38.81292134657899,-75.59106385782155
10001002-31,39.16311656604154,-75.57450002956077
10001002-32,39.14366149967741,-75.52161810777919
10001007-28,39.22777440380292,-75.55685829291775
10001007-31,39.15825250199655,-75.52776624338173
10001005-31,39.165866708684796,-75.53218695411208
10001003-29,39.18150249314677,-75.63199146523158
10001005-29,39.15757111875789,-75.71401972839605
10001008-32,39.08767101269172,-75.42633321934032
10001002-29,39.22926745714924,-75.60018177201286
10001012-28,39.17438715005219,-75.48968098961957
10001006-28,39.30051314125123,-75.45751082809794
10001005-28,39.274712862271606,-75.55954590317894
10001006-31,39.15187490813047,-75.56825052165485
10001010-28,39.19227912111313,-75.5529866567238
10001004-29,39.19234199623603,-75.57941640015956
10001011-28,39.17484951270456,-75.51779330940943
10001003-31,39.17546908176114,-75.56466210955143
10001004-31,39.1799353240744,-75.544540279325
10001001-31,39.172988491660355,-75.59194287967617
10001004-32,39.12825266560809,-75.53985198435574
10001007-29,39.13252076894562,-75.61230820621623
10001001-34,39.1304401357304,-75.57076620656412
10001013-28,39.18002088421004,-75.36748721492353
10001010-32,39.16592830426366,-75.44806575413719
10001009-28,39.20441466826501,-75.56824824294725
10001010-08,39.296658017427355,-75.62940289593323
10001002-28,39.29780779737702,-75.61145650604091
10001003-30,38.98037496205875,-75.64010178048355
10001005-30,38.927255993208966,-75.56667906863416
10001007-30,38.86335331459224,-75.62356253625715
10001004-30,38.91358800756696,-75.65128123711834
10001003-28,39.29499322880171,-75.61808568285942
10001006-30,38.9250080948999,-75.52131888027684
10001001-29,39.23583732839864,-75.68691912655535
10001001-28,39.30429424257948,-75.59947554594221
10001009-08,39.28657013486143,-75.70865020930754
10001012-08,39.28232867164671,-75.63354763945212
10001006-33,38.95674055722958,-75.46945448015
10001004-28,39.283941069217434,-75.62237113275725
10001008-33,38.92105671814306,-75.4234201973946
10001007-33,38.92982227212302,-75.42197411173406
10001011-08,39.292338028634646,-75.62473741735447
10005007-35,38.80737617442601,-75.47187583497856
10005006-35,38.74851963596259,-75.50272514625298
10005004-35,38.68995011786751,-75.48390668157563
10005001-37,38.70050183997417,-75.39687323304946
10005009-36,38.73946252761546,-75.40528127473837
10005008-40,38.63334955546145,-75.38437711266938
10005002-37,38.68187130101937,-75.34781246336902
10005008-36,38.75883498442695,-75.37504884779696
10005010-36,38.795129069250756,-75.32670998150509
10005001-20,38.78700853522958,-75.31107665800161
10005009-20,38.80787634195256,-75.29861434990025
10005004-40,38.53352785093903,-75.63325059206886
10005002-20,38.739144160027195,-75.31801377631099
10005011-36,38.74852552999603,-75.3466645286917
10005003-20,38.765677873595266,-75.25765857156034
10005004-20,38.70074484977503,-75.23018727446498
10005008-20,38.6972622193499,-75.28546898358887
10005006-36,38.812460424353645,-75.38555856445782
10005001-40,38.575889731622915,-75.61272961276573
10005002-40,38.575602179031726,-75.45264955750947
