GEOID,LAT,LNG
110010028021,38.9275353,-77.0345125
110010027014,38.9364818,-77.0376069
110010027011,38.9345763,-77.0374744
110010028012,38.935884,-77.034526
110010025024,38.9396157,-77.0345659
110010098101,38.826037,-77.0037886
110010109001,38.822167,-77.0093165
110010013023,38.9437908,-77.0548505
110010014023,38.9584265,-77.0698029
110010010023,38.9396333,-77.0783599
110010007012,38.9307909,-77.0784921
110010007014,38.9279006,-77.0753743
110010007022,38.923563,-77.0741855
110010077034,38.8864766,-76.9547475
110010047011,38.9040816,-77.0106183
110010055005,38.9086196,-77.0455768
110010055004,38.9084398,-77.0477176
110010056003,38.8971789,-77.0514855
110010056004,38.9010125,-77.0517597
110010076051,38.8665951,-76.9767993
110010076053,38.8670199,-76.9809626
110010110001,38.8725083,-77.0155586
110010110004,38.8746723,-77.0157981
110010110003,38.8760103,-77.01875
110010055003,38.905283,-77.0494282
110010055001,38.9111751,-77.0461588
110010055002,38.9062488,-77.0523495
110010099072,38.883579,-76.9378577
110010099061,38.8879113,-76.9359192
110010099052,38.8843676,-76.9222541
110010099053,38.8821724,-76.9269495
110010099051,38.885484,-76.9261409
110010099042,38.8844866,-76.9299376
110010099041,38.8858279,-76.9323375
110010099031,38.8882507,-76.917817
110010099032,38.8883158,-76.9238021
110010099022,38.8669415,-76.9468286
110010099021,38.8731411,-76.9439176
110010099012,38.8755969,-76.954295
110010099011,38.8735696,-76.9626897
110010098021,38.8315263,-76.9957669
110010098022,38.8301284,-76.9971573
110010104002,38.8512252,-76.9986235
110010098072,38.825964,-77.0121646
110010098071,38.8323312,-77.0113584
110010098111,38.8263382,-77.0005666
110010098112,38.8269677,-76.9963119
110010098102,38.8280124,-77.0066346
110010098041,38.8393203,-76.9967099
110010098032,38.833227,-77.0037714
110010098033,38.8347926,-77.0058752
110010098031,38.838493,-77.0027971
110010097002,38.8304325,-76.9916189
110010097001,38.8358847,-76.9885689
110010096042,38.8949482,-76.9562065
110010096041,38.8923792,-76.9587952
110010096033,38.892396,-76.9528861
110010096031,38.8913686,-76.9433618
110010096032,38.8919304,-76.9493594
110010096022,38.900754,-76.9553145
110010096011,38.909129,-76.949061
110010095093,38.9493869,-76.9983616
110010095092,38.9478537,-76.9937232
110010095091,38.9505145,-76.9916956
110010095083,38.9528661,-76.9923073
110010095082,38.9557112,-76.9949901
110010095081,38.9530544,-77.0032022
110010095071,38.9585013,-76.9977711
110010095051,38.9628679,-77.0020697
110010095052,38.9643385,-77.0070118
110010095053,38.9585601,-77.0043262
110010095032,38.9393919,-76.9830296
110010095031,38.9473183,-76.9855141
110010095013,38.9381683,-77.0014565
110010095012,38.9442131,-77.0078008
110010095011,38.947029,-77.0039215
110010094004,38.9383064,-76.9766084
110010093021,38.9251124,-76.9908534
110010093013,38.9280393,-76.9836091
110010095033,38.9395926,-76.9871792
110010093011,38.9324943,-76.9819878
110010093014,38.9322677,-76.9865203
110010093012,38.9309883,-76.9913281
110010094003,38.9353747,-76.9700154
110010092042,38.9225965,-76.9978335
110010092041,38.9246009,-77.0001244
110010092032,38.9203687,-77.003683
110010092031,38.9229398,-77.0066448
110010092011,38.928775,-76.9989367
110010091021,38.9240035,-76.9820718
110010091022,38.9175447,-76.990961
110010098011,38.8328939,-76.9963306
110010111003,38.9112627,-76.9659734
110010089041,38.901231,-76.9728964
110010089042,38.9004744,-76.9780074
110010089031,38.9038524,-76.9790119
110010088041,38.9072459,-76.9855308
110010088042,38.9106574,-76.9806181
110010088031,38.9104297,-76.9913369
110010088022,38.9021136,-76.9845386
110010088021,38.9042605,-76.98321
110010088024,38.9060684,-76.987295
110010088023,38.9040247,-76.9891353
110010087022,38.9120503,-77.002455
110010087021,38.9179752,-77.0003743
110010087012,38.9167343,-77.0058748
110010087011,38.9129414,-77.0064552
110010106002,38.9033681,-77.0046066
110010084101,38.901553,-76.9911172
110010084021,38.8990691,-76.9887971
110010084022,38.8981458,-76.993343
110010083021,38.8963061,-76.9966527
110010083012,38.8955588,-77.0006498
110010083011,38.8987707,-77.000978
110010082001,38.8911507,-76.9968614
110010082002,38.8920679,-77.0019381
110010090001,38.9205982,-76.9530508
110010047012,38.9041584,-77.014892
110010046001,38.9091369,-77.010742
110010046002,38.9100183,-77.0145197
110010044002,38.915516,-77.027034
110010044001,38.9186825,-77.0282129
110010043002,38.9154153,-77.0340771
110010043001,38.9180919,-77.0342195
110010073043,38.8412465,-76.9920956
110010073042,38.84255,-76.9899223
110010104001,38.8425281,-77.0032788
110010073011,38.8398637,-77.0229868
110010080021,38.8911536,-76.9793627
110010080022,38.8918828,-76.9858163
110010080013,38.8941781,-76.9869423
110010080011,38.8982372,-76.985853
110010080012,38.8960582,-76.9869462
110010079031,38.8963838,-76.9743348
110010079013,38.8950006,-76.9821961
110010079014,38.8982702,-76.9817109
110010079012,38.8947057,-76.9790093
110010079011,38.8976141,-76.9783971
110010081002,38.8933984,-76.9926036
110010081003,38.8909693,-76.9927342
110010076052,38.8654066,-76.9724385
110010076042,38.864244,-76.9623989
110010076041,38.870201,-76.9694324
110010076043,38.868225,-76.9643163
110010076032,38.8592318,-76.9629146
110010076034,38.855182,-76.9624741
110010076031,38.863505,-76.9514477
110010076033,38.8596786,-76.9556516
110010072002,38.873903,-77.0007836
110010071002,38.8798696,-76.9880041
110010071001,38.8755596,-76.988216
110010074031,38.848463,-76.974433
110010069002,38.8822664,-76.9857764
110010069001,38.8845204,-76.9883682
110010068041,38.884511,-76.9735768
110010078091,38.9017541,-76.9278893
110010078092,38.9013446,-76.936141
110010078082,38.8922346,-76.9143351
110010078083,38.8924489,-76.9200165
110010078081,38.8931658,-76.9242788
110010078071,38.8978489,-76.9185396
110010078072,38.8991961,-76.9232083
110010076015,38.8727976,-76.9826401
110010076014,38.8701634,-76.9805316
110010076011,38.873169,-76.9744185
110010076012,38.870348,-76.9727758
110010076013,38.8704718,-76.9771395
110010075041,38.8610018,-76.979409
110010075032,38.8623313,-76.9862161
110010075031,38.8653011,-76.987589
110010075021,38.8591832,-76.9721952
110010068022,38.8820159,-76.9815792
110010068021,38.8851233,-76.9812815
110010068011,38.8874842,-76.9789236
110010068012,38.8881502,-76.9821208
110010070002,38.881267,-76.993937
110010067003,38.8872631,-76.9932764
110010066001,38.8877034,-76.9983053
110010067002,38.8873709,-76.9899824
110010067001,38.8881632,-76.9861227
110010065002,38.8831143,-77.0042755
110010065001,38.8854955,-77.0012547
110010110002,38.8681789,-77.0182455
110010062021,38.8810025,-77.0363001
110010102002,38.8817737,-77.0249752
110010078041,38.89852,-76.9344512
110010078042,38.8954502,-76.9297261
110010078043,38.8916077,-76.932044
110010078034,38.8952952,-76.940835
110010078032,38.8962653,-76.9371881
110010078031,38.8958611,-76.9451293
110010078033,38.8923288,-76.936937
110010077091,38.8777539,-76.9703486
110010075022,38.8546445,-76.9674792
110010074091,38.8469939,-76.9697278
110010074092,38.845574,-76.9738164
110010074081,38.8526236,-76.9711664
110010074072,38.8598656,-76.9901336
110010102001,38.8834291,-77.019732
110010064002,38.8677613,-77.0114341
110010105002,38.8838665,-77.0142698
110010059001,38.8960049,-77.0149464
110010058001,38.8979797,-77.0265442
