GEOID,LAT,LNG
1100102-143,38.89600809940336,-77.0179777363576
1100102-128,38.882015684762095,-77.01333232760285
1100102-127,38.86864909283998,-77.01489555132073
1100102-131,38.87499253968742,-77.00083680015217
1100102-126,38.815978612968294,-77.02493775666566
1100102-068,38.93780042516946,-76.99267374541162
1100102-067,38.94509411417658,-76.9880535326405
1100102-074,38.925259434451476,-76.99993589952882
1100102-072,38.919591040560555,-76.98285173039525
1100102-071,38.9253982710727,-76.96609825904267
1100102-139,38.92294292693517,-76.95402765958927
1100102-141,38.91554439645124,-77.03679947771471
1100102-059,38.966652834096095,-77.01996392748109
1100102-040,38.93386269082315,-77.04215620658151
1100102-032,38.95744373344294,-77.07802544754755
1100102-050,38.96425058001935,-77.07140283299915
1100102-033,38.946703782391815,-77.07056335931937
1100102-027,38.93530723589424,-77.06509321251042
1100102-058,38.96057220815695,-77.0230835079615
1100102-064,38.96333548323276,-77.01061341946149
1100102-063,38.97476987656006,-77.0204312252749
1100102-047,38.93924810925725,-77.03863863049509
1100102-048,38.94603949248805,-77.0383771659924
1100102-045,38.94006756296547,-77.02004186858848
1100102-055,38.94925281453284,-77.02080327667389
1100102-053,38.958196535199974,-77.03716947680964
1100102-054,38.9530389010664,-77.03132159513467
1100102-046,38.94455918699444,-77.02001486584406
1100102-057,38.95170161894505,-77.0128307905338
1100102-065,38.95939319114892,-77.00160530693408
1100102-003,38.89560195128448,-77.0540264317209
1100102-004,38.9051349416337,-77.05055833849818
1100102-014,38.910972421565994,-77.04530128122464
1100102-017,38.90427988492078,-77.03643833419606
1100102-002,38.89506739574898,-77.04256193501368
1100102-138,38.953389871806216,-77.05509536399896
1100102-015,38.910646624149386,-77.03907948710176
1100102-016,38.91141102150357,-77.03228656134728
1100102-129,38.87968830642363,-77.03350509290387
1100102-142,38.88264295280939,-77.02404426462734
1100102-018,38.90837502212221,-77.02021710720469
1100102-001,38.900889259515864,-77.01303538930038
1100102-075,38.91423169589983,-77.0037998300817
1100102-083,38.90255284532627,-77.00253134764816
1100102-130,38.88884468343797,-77.00611097812256
1100102-124,38.8341960000849,-77.00793003559414
1100102-076,38.91104520299285,-76.98807496986366
1100102-066,38.95182075711318,-76.99509695755046
1100102-069,38.93853661341051,-76.97383414201316
1100102-073,38.929089715374175,-76.98906665223137
1100102-070,38.9308429465704,-76.97933285440769
1100102-078,38.91030921920209,-76.96645612034466
1100102-082,38.89979711017682,-76.99083318885477
1100102-084,38.89643835749539,-76.99940655022777
1100102-089,38.887509214067826,-76.99892604329963
1100102-085,38.89279981318309,-76.9939547649833
1100102-056,38.954214868515805,-77.02272040154807
1100102-096,38.89227907941038,-76.91953331765916
1100102-090,38.88141144979009,-76.99575893144596
1100102-006,38.90360603696938,-77.06821100422864
1100102-132,38.88441183840923,-76.96187435601428
1100102-005,38.910338045003584,-77.06004113661221
1100102-035,38.92525574693128,-77.04289488760006
1100102-081,38.89638434856931,-76.9832020924199
1100102-088,38.887748204053175,-76.98926970313445
1100102-119,38.8580364938999,-76.99632936973931
1100102-077,38.90395798470639,-76.98662928533221
1100102-097,38.89511621508971,-76.92971530529591
1100102-104,38.88584349826454,-76.93087093506254
1100102-103,38.8852326682412,-76.94226180128449
1100102-106,38.8762080119586,-76.93927627094715
1100102-110,38.86445071475396,-76.95148315374267
1100102-091,38.87921068466585,-76.98651690169994
1100102-087,38.88354758268479,-76.97918392665719
1100102-093,38.90561881090954,-76.93288716140542
1100102-095,38.89777886026182,-76.92052918963697
1100102-136,38.928546822884456,-77.05035509741674
1100102-012,38.924323507876665,-77.06651068937691
1100102-008,38.92555707349378,-77.1017359239345
1100102-044,38.93842353357841,-77.00888202321772
1100102-105,38.88625500393768,-76.9219619331477
1100102-009,38.93961706610634,-77.0994209675497
1100102-118,38.85583934126497,-76.98623880812171
1100102-125,38.82685840576194,-76.99929275783916
1100102-051,38.97519389728577,-77.05496236132933
1100102-007,38.910482001610205,-77.0872401660645
1100102-021,38.913198862342945,-77.02310365510391
1100102-140,38.871518281500194,-76.98264815616167
1100102-086,38.89162318009316,-76.98242720790816
1100102-041,38.93399947024804,-77.03365062540942
1100102-117,38.85033637499128,-76.98209311308148
1100102-114,38.86216237706427,-76.9823823116031
1100102-079,38.9015945693406,-76.96940622123086
1100102-080,38.890622485575705,-76.97052691189431
1100102-101,38.893527001499734,-76.95868089014643
1100102-113,38.859967968673374,-76.9638129618678
1100102-109,38.87004475630386,-76.95529651078849
1100102-098,38.895124788121535,-76.93587505535298
1100102-092,38.910306968452694,-76.9444658094543
1100102-111,38.87422633842408,-76.96912437900185
1100102-102,38.89192336041234,-76.94848523647103
1100102-107,38.88085842055342,-76.95301861817462
1100102-013,38.91591875099624,-77.05206078670943
1100102-108,38.872451014389235,-76.96011545797933
1100102-133,38.870658770396936,-76.97453970202159
1100102-112,38.86637829385208,-76.97571790661365
1100102-134,38.85918535725124,-76.97125134337497
1100102-034,38.94000368148809,-77.0558238861651
1100102-029,38.938432854308886,-77.07483071222582
1100102-052,38.963994506840166,-77.05536714976581
1100102-011,38.921265777839125,-77.07648149474697
1100102-121,38.835715801389235,-76.98954918145387
1100102-122,38.83956348913762,-76.99837412348603
1100102-116,38.84666760932594,-76.9744145376879
1100102-115,38.85293375652589,-76.96982863336261
