GEOID,LAT,LNG
150030001122,21.2822678,-157.7054275
150030001063,21.3066136,-157.6996594
150030020032,21.2807626,-157.8277914
150030015002,21.2780904,-157.8116789
150030001062,21.3049045,-157.7073753
150030044002,21.3205705,-157.8432358
150030060001,21.333763,-157.8842519
150030083012,21.3218216,-157.9941067
150030083021,21.3262808,-158.0007312
150030103062,21.4383133,-157.8342981
150030099022,21.5771693,-158.1145129
150030089172,21.4525485,-158.0060323
150030005003,21.2607349,-157.7887316
150030030002,21.3057019,-157.8203725
150039811001,21.3710415,-157.711797
150030112021,21.3898886,-157.7140581
150030084101,21.3263977,-158.028663
150030084111,21.332322,-158.0360199
150030086091,21.3370708,-158.1037211
150030086092,21.3324136,-158.1041846
150030115003,21.3327785,-158.0662673
150030078101,21.4053114,-157.943108
150030091002,21.5190049,-157.9540927
150030094003,21.4982939,-158.0330377
150030086064,21.3360077,-158.0604968
150030089312,21.4493783,-157.9467702
150030086149,21.3599241,-158.0402684
150039802001,21.3137233,-157.9226277
150030084081,21.3153571,-158.0242552
150030084021,21.3102673,-158.0086318
150030099042,21.5759989,-158.1998023
150039400024,21.3882348,-158.1458224
150039803001,21.3071048,-158.1094629
150030089261,21.4819826,-158.0072499
150030001064,21.2989439,-157.7095383
150030018041,21.27411,-157.8193138
150030019041,21.2858028,-157.8368486
150030019042,21.2869879,-157.8384108
150030096031,21.4073723,-158.169162
150030036042,21.2937181,-157.8406705
150010205001,19.7169167,-155.0695156
150010205003,19.7081511,-155.0750851
150010207012,19.6790363,-155.0722729
150010205002,19.709422,-155.0683974
150010205005,19.7021469,-155.0842129
150010206003,19.7278417,-155.0439839
150010206002,19.6993688,-155.0321677
150030087032,21.3777803,-158.013978
150030102022,21.6469502,-157.9244716
150030109041,21.4114716,-157.7493225
150030111052,21.389977,-157.7349528
150030001112,21.2921995,-157.6906795
150030041002,21.3074685,-157.8534604
150030080031,21.4016447,-157.9779399
150030034042,21.3065844,-157.8359361
150030068061,21.3489505,-157.9154368
150030067021,21.3671026,-157.9010155
150030068042,21.3603104,-157.9140437
150030048002,21.330751,-157.8641464
150030053002,21.3191146,-157.8597945
150030098022,21.4713112,-158.2105902
150030086101,21.3367952,-158.1227708
150030007002,21.2719952,-157.7911378
150030007003,21.2765906,-157.7902637
150030005001,21.2710955,-157.7806069
150030006002,21.257115,-157.800703
150030086111,21.3542357,-158.1085381
150030006001,21.262671,-157.8065937
150030017001,21.2659016,-157.8190416
150030097033,21.4473515,-158.1758799
150030097011,21.4868759,-158.1593733
150030084082,21.3106615,-158.0363812
150030086173,21.357322,-158.0252059
150030083011,21.345637,-157.9998128
150030089281,21.4801226,-157.9899108
150030089292,21.4731524,-157.9949926
150030089311,21.4825218,-157.9405138
150030084061,21.3303641,-158.0126242
150030084122,21.3387117,-158.032301
150030062014,21.3402736,-157.8762223
150030013001,21.2843449,-157.8103589
150030095011,21.4899445,-158.0776807
150030089243,21.39331,-158.0223878
150030103032,21.506005,-157.8779632
150030048004,21.3364993,-157.8648226
150030037002,21.2860114,-157.8460188
150030037007,21.2944707,-157.850702
150030037001,21.2952269,-157.8542817
150030038003,21.2992269,-157.8575735
150010206004,19.6826829,-155.0588747
150010207013,19.6885597,-155.0854936
150010207011,19.6894535,-155.0733245
150010207023,19.6769049,-155.0846419
150010207021,19.6771576,-155.1021937
150030038002,21.2934728,-157.8605342
150030075032,21.3764055,-157.915687
150030057001,21.3092671,-157.8767084
150030103051,21.4631059,-157.8066732
150030065002,21.3646555,-157.8315992
150030069002,21.3379128,-157.9086742
150030095041,21.4917483,-158.0491955
150030056004,21.3317501,-157.8689675
150030005002,21.2745469,-157.7870583
150030105072,21.4176166,-157.8075121
150030111031,21.3769422,-157.7411857
150030110003,21.3704563,-157.7516487
150030105031,21.408973,-157.8113239
150030059002,21.3208288,-157.8846935
150030069001,21.3409933,-157.9054377
150030097013,21.4519196,-158.1972289
150030098012,21.508717,-158.216126
150030096081,21.4376612,-158.1287449
150030001072,21.2979923,-157.6930638
150030001073,21.2956451,-157.6974822
150030009031,21.2815264,-157.7912683
150030012011,21.2864965,-157.8042088
150030013004,21.2829625,-157.8025676
150030086174,21.3471937,-158.030752
150030086223,21.3388923,-158.0910087
150030084023,21.3218228,-158.0114804
150030086221,21.3402573,-158.0823677
150030086131,21.3493646,-158.0913758
150030086121,21.3728743,-158.0988629
150030095012,21.4877559,-158.0645009
150030095022,21.495069,-158.0663751
150030037003,21.2935638,-157.8516281
150030037006,21.2931427,-157.8487667
150030012012,21.2880883,-157.8002391
150030017002,21.2653424,-157.8150134
150030020062,21.2843801,-157.8303861
150030024012,21.2902706,-157.830677
150030024013,21.2897419,-157.8285919
150030026004,21.2968047,-157.8327835
150030023005,21.2901515,-157.8211639
150030034033,21.30757,-157.8464488
150030034064,21.3061743,-157.8409271
150030035023,21.2986091,-157.8377853
150030041003,21.3057849,-157.8500902
150030042002,21.3115974,-157.8585429
150010207022,19.6789956,-155.092185
150010208024,19.7002738,-155.126785
150010208023,19.7012056,-155.1169427
150010208021,19.7131629,-155.1162363
150010208022,19.7036296,-155.1045556
150010209001,19.6583502,-155.0772571
150010209002,19.6689069,-155.0865845
150010209003,19.6503338,-155.1200206
150010219023,20.0705038,-155.4588756
150010219022,20.0768129,-155.4709314
150030047001,21.3306626,-157.8560964
150030002001,21.3036622,-157.7291161
150030111042,21.3773913,-157.7348412
150030080011,21.3879438,-157.9579728
150030106011,21.4091149,-157.7890145
150030096032,21.4112512,-158.1619638
150030067013,21.3611218,-157.8907581
150030068092,21.3446253,-157.905721
150030035012,21.3030303,-157.8472253
150030058001,21.3283313,-157.8750016
150030078041,21.4010925,-157.9579486
150030065001,21.3700528,-157.8389028
150030109051,21.3993192,-157.7439093
150030053001,21.3166545,-157.862388
150030056003,21.3262948,-157.8647474
150030013003,21.2865929,-157.8094563
150030055001,21.3225763,-157.862343
150030056001,21.3276105,-157.8697778
150030057002,21.3215472,-157.8690555
150030028002,21.3021566,-157.8021912
150030089251,21.3938057,-158.0324809
150030086148,21.3739014,-158.0432939
150039400021,21.3928859,-158.1184704
