GEOID,LAT,LNG
230039503003,47.3528866,-68.2735825
230039503002,47.3546007,-68.3330089
230039503001,47.3422092,-68.3449756
230039503004,47.3403895,-68.3217483
230039511001,46.7088192,-68.0923941
230039521001,46.5382796,-67.814748
230039523002,46.3285164,-67.8471437
230039507001,47.1469407,-68.5711963
230039501003,46.9810535,-68.1883331
230039507002,47.1444705,-68.7865187
230039523004,46.3789526,-68.2144434
230039526002,46.0743868,-68.1140661
230039510001,46.8395782,-68.2359239
230039509001,46.6866705,-68.459077
230039518003,46.7383015,-68.0035701
230039518004,46.7337528,-67.9389148
230039523003,46.2358967,-67.8433333
230039526003,46.0643983,-67.9704063
230039521003,46.5346928,-67.9728245
230299559003,44.8912759,-67.3710195
230299563002,44.5607592,-67.4822337
230299564003,44.540726,-67.7123641
230299564002,44.5398622,-67.8269978
230299553002,45.0727005,-67.5512178
230299554002,45.1405467,-67.4016269
230299554001,45.2108835,-67.4741615
230299559001,45.0331004,-67.2876851
230039518001,46.6931842,-68.0087282
230299563003,44.4636252,-67.6220312
230299555001,45.1865808,-67.2842642
230299555002,45.1825902,-67.2738476
230299563001,44.6945518,-67.5679263
230299565001,44.6312689,-67.9271202
230039518002,46.7194105,-68.0418227
230039519001,46.6648868,-67.9624189
230039519002,46.6583504,-67.9957551
230039520002,46.6291141,-68.0071382
230039520001,46.6926833,-68.0408113
230039504001,47.2356931,-68.3173093
230299564001,44.6783216,-67.7740361
230299558004,44.6655688,-67.2193584
230299551002,45.6348288,-67.8334568
230299558003,44.8021556,-67.0332111
230299558002,44.865506,-67.0970305
230299565003,44.5079099,-67.878004
230299551003,45.1110072,-67.8540265
230299556002,44.958775,-67.048157
230299558001,44.8516144,-66.9987317
230039502002,47.1470634,-67.946734
230039502004,47.1806753,-68.0083223
230039502003,47.1621563,-67.947155
230039510003,46.8168638,-68.1246682
230039510004,46.7679219,-68.1110887
230039507004,46.8587804,-69.1759425
230299562003,44.6963965,-67.4443462
230299562001,44.7465112,-67.5068122
230299562002,44.7158842,-67.4736618
230299553001,45.1431088,-67.526589
230299559002,44.9186619,-67.1356609
230299556001,45.012255,-67.1081422
230299565002,44.5014824,-67.946457
230299561002,44.6530052,-67.3775508
230299561001,44.7734502,-67.4114708
230299555003,45.1503269,-67.2391888
230299557001,44.9109583,-67.0089131
230299551001,45.4493143,-67.5883448
230039510002,46.8840579,-68.1195081
230039507005,47.0941438,-69.102951
230039501004,47.0913163,-68.3624516
230039509002,46.582034,-68.3729392
230039529004,45.8393702,-68.196553
230039529002,45.8217231,-67.8546391
230039529003,45.7265683,-68.0583578
230039521002,46.4875576,-67.8471231
230039523001,46.4135147,-67.8491551
230039512001,46.91023,-68.0446063
230039512002,46.8626753,-68.0172588
230039512003,46.8581793,-68.0382853
230039513001,46.9160844,-67.9853214
230039513004,46.8711798,-67.9552922
230299900000,44.5268124,-67.4388817
230039513003,46.8636181,-68.0048641
230039513002,46.870705,-68.008185
230039514001,46.8045735,-67.9509022
230039514002,46.8094692,-68.0274216
230039529001,46.0258782,-67.8464796
230039511002,46.7034404,-68.201448
230039501001,47.0195712,-67.861737
230039511003,46.5992969,-68.119375
230039501002,47.0609471,-68.0315416
230039527003,45.8900133,-68.3593448
230039527001,46.1153073,-68.303043
230039507003,47.02878,-68.6527636
230039517005,46.6333043,-67.8476235
230039517004,46.7469643,-67.8961952
230039517001,46.8305083,-67.8383283
230039517003,46.7204343,-67.8294673
230039517002,46.7512748,-67.8478417
230039506003,47.2214369,-68.6393216
230039506001,47.2738438,-68.5222212
230039506002,47.222173,-68.5192838
230039504002,47.2741176,-68.3982297
230039502001,47.2566646,-68.1361424
230039526001,46.1987415,-68.0051408
230039524004,46.1119268,-67.8082113
230039524001,46.1573921,-67.811613
230039525003,46.1030805,-67.8646697
230039525001,46.1458321,-67.8772149
230039524002,46.1259859,-67.8331266
230039524003,46.1205069,-67.8361615
230039525002,46.121645,-67.8474189
230039527002,45.9861933,-68.2936787
230039516001,46.9174873,-67.8087822
230039516002,46.9065119,-67.895172
230039503005,47.2806125,-68.2424301
230190311001,44.8538287,-68.7538351
230190205001,45.08826,-68.9066811
230190080011,44.8944804,-68.5467521
230190041001,44.7749347,-68.7809487
230190042002,44.7633277,-68.746663
230099666003,44.2388055,-68.613102
230099665003,44.3516268,-68.7609903
230099655031,44.4976424,-68.4075948
230190043001,44.7816102,-68.7267838
230190043003,44.795953,-68.7501171
230190043004,44.794138,-68.7561288
230190270001,45.3549239,-68.4395081
230190110002,44.7790733,-69.029045
230190110001,44.8140446,-69.0258482
230190312001,45.0776526,-69.0314373
230190090001,44.7949029,-68.4776943
230190140001,44.9422774,-69.2947689
230190140002,44.9605205,-69.2286178
230190312002,44.9877757,-68.9806162
230190312003,44.9730764,-69.0412239
230190150002,45.0078142,-69.2373305
230190150001,45.0070879,-69.3023255
230190125002,44.6975701,-69.1437023
230190090002,44.8377434,-68.6479871
230190090003,44.754806,-68.5918516
230190135002,44.7856323,-69.132895
230190155002,44.9632183,-69.1249939
230190155001,45.0772584,-69.1587713
230190313003,44.900146,-68.8725748
230190313002,44.9248524,-68.8342226
230190020004,44.7561497,-68.9043285
230190020005,44.7177482,-68.9140404
230190020003,44.7158874,-68.8556142
230190020002,44.7676825,-68.8258318
230190100002,44.8087746,-68.9416451
230190120001,44.7009969,-69.0062233
230190020001,44.7628461,-68.8043289
230190100001,44.8384125,-68.8938556
230190100003,44.8081694,-68.8671145
230190090005,44.7733712,-68.6725585
230190090006,44.7343929,-68.6725013
230190090004,44.7864385,-68.6434708
230190205002,44.9926393,-68.8884851
230190313001,44.9159213,-68.9279419
230190180001,44.8768694,-68.9967128
230190245001,45.1522115,-68.416353
230190265001,45.6063979,-68.4976335
230190080013,44.9933779,-68.5759447
230190080012,44.9453955,-68.5292016
230190290002,45.9914146,-68.4926767
230190300002,45.6491095,-68.684426
230190300001,45.6665348,-68.6890187
230190130002,44.8624499,-69.2634541
230190130003,44.8739694,-69.2065904
230190130001,44.8193146,-69.2726733
230190071003,44.9236626,-68.6408157
230190071004,44.9161782,-68.6526754
230190071002,44.9403304,-68.6477583
230190062002,44.9004397,-68.7279416
230190061001,44.8617081,-68.6838635
230190061002,44.8951843,-68.6517647
230190062003,44.8694762,-68.6940588
230190062001,44.8934859,-68.684873
230190063001,44.8966893,-68.66312
230190030002,44.7204134,-68.8111159
230190030001,44.7183457,-68.7628347
230190030003,44.6805726,-68.7595445
230190125001,44.785285,-69.236275
230190255001,45.5485028,-68.3041649
230190135001,44.8754327,-69.1046983
230190050001,44.8273148,-68.7046873
230190050002,44.8459187,-68.7167824
230190007001,44.8073855,-68.8233435
230190072002,44.9689981,-68.7387927
230190215001,45.0717037,-68.7477363
230190285001,45.3158949,-68.7395643
230190290001,45.8768463,-68.6954096
230190310001,45.6536366,-68.5973573
230190265002,45.4844672,-68.473475
230190225001,45.1189851,-68.5868953
230190245002,45.3670133,-68.295728
230190270003,45.3930617,-68.4387634
230190003002,44.8146008,-68.7489017
230190003003,44.8162512,-68.7662966
230190041002,44.7907675,-68.7660118
230190043002,44.7995071,-68.7137337
230190042001,44.7817298,-68.7650556
230190002003,44.8076001,-68.7612541
230190004001,44.8129659,-68.7758939
230190005002,44.8113768,-68.787945
230190006003,44.7965704,-68.778777
230190063002,44.9028727,-68.6699322
230190072001,44.9243051,-68.7480373
230190071005,44.9447977,-68.6653983
230199400001,44.9672498,-68.6686226
230190071001,44.9298943,-68.6530881
230190300004,45.6608336,-68.7097287
230190300003,45.6431715,-68.713477
230190150003,45.0553676,-69.2835288
230190280001,45.28411,-68.5822307
230190270002,45.3192352,-68.5180242
230190255002,45.4384555,-68.1097918
230190311003,44.8248295,-68.7908416
230190009003,44.8142908,-68.8012063
230099651002,44.8472881,-68.3126054
230099659005,44.4055537,-68.3380766
230099659004,44.39747,-68.2638076
230099659003,44.352254,-68.2207078
230099659001,44.3908528,-68.2044316
230099663001,44.3996963,-68.533871
230099663003,44.4447082,-68.620521
230099665001,44.2575549,-68.5441865
230099653002,44.6442102,-68.803371
230099653001,44.6541,-68.6976795
230099653005,44.5849393,-68.7646924
230099653004,44.6165586,-68.7749279
230099653003,44.6143324,-68.8109486
230099664002,44.4096684,-68.814192
230099652001,44.688555,-68.6272304
230099666002,44.2305345,-68.7917971
230099651001,44.9445251,-68.1462867
230190215002,45.1622503,-68.760531
230190002004,44.8059336,-68.768061
230190002002,44.8002329,-68.770329
230190002001,44.8056433,-68.7575283
230190003001,44.8243702,-68.7381294
230190005003,44.8029395,-68.7963227
230099657001,44.6004523,-68.244432
230099654001,44.5943382,-68.6376079
230099658001,44.4390894,-68.0891813
230099658003,44.4402611,-67.9977892
230099667004,44.4912832,-68.2439907
230099667001,44.5565789,-68.3385346
230099667002,44.4919882,-68.3200565
230099660001,44.3451564,-68.3902849
230190005005,44.80643,-68.7832768
230190005004,44.8031167,-68.7895745
230190005001,44.802318,-68.7797703
230190006001,44.799639,-68.7759331
230190006002,44.7927917,-68.7797935
230190007002,44.7939331,-68.7986091
230099900000,44.2028479,-68.2026712
230099654002,44.5385135,-68.6951101
230099664001,44.4827015,-68.7060011
230099665002,44.3468802,-68.6343652
230099661001,44.2945106,-68.3357958
230099666001,44.1504635,-68.6453275
230099662002,44.1548877,-68.4284479
230099662001,44.2570242,-68.4582193
230099667003,44.46523,-68.3911257
230099654003,44.5355356,-68.780694
230190009001,44.8421405,-68.8364179
230190009002,44.8377816,-68.815218
230190311004,44.8557832,-68.8001671
230190311002,44.832072,-68.7788246
230099658002,44.3764932,-68.0936238
230099651003,44.7186679,-68.3494992
230099655033,44.5429412,-68.4087965
230099659002,44.3509417,-68.1855944
230099661002,44.2493319,-68.262825
230099655032,44.5677622,-68.4174934
230099652002,44.7080983,-68.5123031
230099655041,44.6218934,-68.4949382
230099655042,44.5531372,-68.4972437
230099663002,44.4673614,-68.50319
230099657002,44.5338713,-68.1539495
230099660002,44.3332732,-68.2733202
230259664002,44.8120425,-69.9670767
230259664001,44.8499237,-69.9214813
230259656001,44.9918261,-69.6702854
230259662002,45.0279493,-69.8174596
230259657002,45.0255691,-69.3900533
230259661002,44.7822411,-69.5463148
230259661001,44.8665823,-69.6744599
230259653022,45.1236006,-69.9178989
230259658002,44.7721094,-69.3021755
230259668005,44.6293062,-69.6074895
230259668002,44.5825576,-69.6020468
230259668003,44.5862218,-69.6144557
230259668004,44.5878215,-69.6015027
230259656002,44.9773421,-69.5454627
230259659001,44.8798231,-69.5205004
230259665001,44.8531932,-69.8059178
230259665003,44.7883427,-69.8573262
230259665002,44.8139813,-69.8729536
230259670001,44.6922903,-69.941246
230259669001,44.743311,-69.8128686
230259669002,44.695165,-69.7880307
230259658001,44.8431509,-69.3683556
230259660003,44.7386763,-69.4017358
230259660004,44.7933899,-69.3735842
230259660001,44.8089283,-69.4603167
230259660002,44.7620346,-69.4553119
230259657001,44.9350334,-69.4183582
230259657003,44.929893,-69.3669039
230259666003,44.7949204,-69.648182
230259667002,44.757146,-69.6488664
230259667001,44.7312035,-69.7188572
230259666004,44.7771987,-69.7129533
230319901000,43.1483531,-70.4998364
230310270001,43.3705685,-70.4323655
230310054001,43.4690282,-70.3829174
230310254001,43.4439511,-70.3404846
230310270002,43.4175912,-70.454069
230310340021,43.3682112,-70.6562456
230310280023,43.3845628,-70.525513
230310280021,43.3635587,-70.5231263
230259666002,44.7734913,-69.7390123
230259666001,44.7945808,-69.7177206
230259667003,44.7594247,-69.709917
230259670002,44.6420117,-69.8001691
230259662001,44.9395414,-69.8075358
230259653023,45.2543619,-70.0248044
230259663002,44.9255081,-69.9329209
230259653024,45.48536,-70.3003889
230259653021,46.010866,-69.9559885
230259668001,44.6424713,-69.7160171
230259668006,44.6031793,-69.634423
230259663001,45.0083912,-70.0013144
230259653011,45.6476918,-70.2143898
230179654001,44.702191,-70.6464263
230179667001,44.0753942,-70.9251998
230179668001,43.9946299,-70.8145467
230179655001,44.5061743,-70.5837505
230179655002,44.5504518,-70.5412725
230179659001,44.4547853,-70.7927164
230179659003,44.4493358,-70.6871498
230310340011,43.2585957,-70.5911531
230310360025,43.2325641,-70.6611362
230310340014,43.2808989,-70.5872169
230310340013,43.2564775,-70.6181116
230310360015,43.1797618,-70.6053997
230310340015,43.3051581,-70.5736996
230179654003,44.5555598,-70.538078
230179658004,44.3832098,-70.326071
230179664003,44.1579931,-70.4567373
230179656001,44.5572552,-70.5538774
230179656002,44.5651992,-70.5842705
230179654002,44.5533637,-70.4957707
230179665001,44.2258673,-70.6100222
230179663001,44.2605151,-70.3670846
230179660002,44.4007547,-70.5581099
230179662001,44.2536697,-70.534966
230179658002,44.4737185,-70.4302249
230310360011,43.1186773,-70.6641826
230310360013,43.1619545,-70.6424747
230310061024,43.501755,-70.3961271
230310235004,43.510621,-70.8363703
230310235003,43.5001079,-70.9164827
230310235005,43.5752861,-70.8275576
230310240004,43.5320554,-70.7155684
230310245002,43.5288713,-70.6523555
230310290002,43.4498995,-70.6778129
230310290001,43.5051208,-70.7533937
230310260002,43.4535197,-70.5456444
230310260001,43.410229,-70.4997615
230310320002,43.2942648,-70.8063782
230310320003,43.3145352,-70.8923118
230310320001,43.2853603,-70.851461
230310330003,43.3317367,-70.7956484
