GEOID,LAT,LNG
2401301-001,39.67359146931125,-77.18859495104985
2401301-002,39.67094782476505,-77.13779961759992
2401302-001,39.58998142642747,-77.11574335054438
2401302-002,39.63008723392636,-77.09245328056801
2401303-001,39.68508289809824,-77.03508559193284
2401314-002,39.3913838981301,-77.02630945901133
2401314-001,39.447113522180416,-76.99326674784889
2401304-003,39.486136801338745,-76.93334071374332
2400503-007,39.37661727029497,-76.68735469964382
2400503-002,39.36301248321783,-76.71580744843028
2400503-003,39.355757966181876,-76.73289673947808
2400506-002,39.686165195548725,-76.70404729628908
2400506-001,39.671108349887874,-76.75319869725043
2400515-002,39.318240473379454,-76.50097468600308
2400515-019,39.2665001732886,-76.38154853066565
2400515-001,39.29863612115378,-76.51077410661927
2400515-009,39.32403701205316,-76.41759356101382
2400515-013,39.31984469510658,-76.47626461969739
2400515-008,39.32647785402775,-76.38060935326469
2400515-005,39.35357756208528,-76.43579795695665
2400515-021,39.227132572612526,-76.37569297688819
2400515-016,39.30907915168098,-76.4565051041777
2400515-011,39.32304349558212,-76.45380265932239
2400515-024,39.320027071756904,-76.44206382603024
2400515-003,39.333033199114915,-76.46271553905792
2400515-012,39.31601191266699,-76.46905264388252
2400515-025,39.36453480363613,-76.39585422055181
2400504-008,39.46850577060243,-76.81535255879513
2400504-001,39.414684310943095,-76.79308412925802
2400504-012,39.42256181777858,-76.82061384215987
2400504-004,39.46758234158242,-76.79003646771646
2400505-002,39.558892990850346,-76.79355916691155
2400504-006,39.44934695075354,-76.80905207714945
2400504-010,39.46090814443365,-76.829563980275
2401305-004,39.374949457462726,-76.92509547512391
2401305-003,39.40851716622538,-76.90226002265051
2401306-002,39.660236153111704,-76.86340363698555
2401306-001,39.680883779402706,-76.9097947804808
2401304-001,39.526694452303154,-76.90368704440046
2401304-002,39.488265359091265,-76.97013584343634
2401314-003,39.41708130272891,-77.05616487007927
2401305-005,39.3977087654015,-76.96732164686821
2401305-002,39.425961835210686,-76.93496646819209
2401307-004,39.61332847187195,-77.00836219356908
2401308-001,39.58192097238514,-76.88831090830894
2401309-002,39.46334713722271,-77.10136177975993
2401309-001,39.462272494934005,-77.0567021072308
2401305-001,39.369368544061444,-76.97922118138577
2401307-001,39.569678073835895,-76.97038254118965
2401308-002,39.63584221075998,-76.84753722674685
2401305-006,39.382173661502925,-76.97554876587951
2401307-008,39.52636944178985,-77.02122321148234
2401307-002,39.592354090745815,-76.96366239790584
2401307-003,39.55358119561065,-77.00063180687839
2401307-007,39.57565823089928,-77.03808038508441
2401307-006,39.54526525458811,-76.98004939383205
2401308-003,39.604645808829034,-76.83818447091058
2401307-005,39.56948275329151,-77.03711619941025
2401310-001,39.61573996433197,-77.23551294458376
2401311-001,39.53239459796295,-77.09625075355362
2401312-001,39.57026378091137,-77.16820441176378
2401313-001,39.389219316688525,-77.12246596457997
2400501-012,39.26727363554828,-76.77427269038749
2400501-015,39.266748457966465,-76.72015749962574
2400501-013,39.2579332415606,-76.74910082988652
2400501-006,39.2963505103736,-76.71729721933715
2400501-005,39.29545108920612,-76.73155875762224
