GEOID,LAT,LNG
P0057498003002,42.421447985861526,-86.26004095651183
P1632200004011,42.41175619366358,-82.94416009188717
P1632200005454,42.355919284485346,-83.10402122737906
P0636518000001,44.060883494683004,-82.95405670232395
P0715086000002,46.262675038351425,-88.18038894195506
P1310946000001,46.74638585099683,-88.93458069002695
P1632200006450,42.35899518828766,-83.115695319129
P1632200005441,42.352183226469,-83.09919967597438
P0033338000001,46.504316479897966,-86.6641384560388
P1310946000002,46.941838931645734,-88.9814921895539
P1632200006458,42.34825658486715,-83.09542186618636
P0438552000001,46.15742221065703,-87.71014112753865
P1632200001490,42.40808504871714,-83.19101679237289
P0998400003011,42.45896867262918,-83.00285778723554
P1458934000001,43.501317430523514,-83.89817436277475
P0837322000001,47.265960121477505,-88.20898309723721
P0998245300003,42.4541961731999,-82.87233999424906
P1632200006148,42.34147724638138,-83.0688651364337
P0833938000001,47.82685259641305,-88.51382882445986
P1632200003090,42.40222251755369,-83.01391855097684
P1315232000001,46.59334848301409,-89.45652029396368
P0970950000001,45.76941771988393,-84.46347712899555
P0715230000002,45.997231890217435,-88.17231369609488
P0612334000002,46.506446647862454,-88.77611448004647
P0612334000001,46.50615021835188,-88.93047651438769
P1537250000001,46.41815222415369,-86.05276624240517
P1632200003101,42.3983194210829,-82.99740802210596
P1632200005099,42.380781469055606,-83.06031160446915
P1632200004109,42.406670521355444,-82.9941134195543
P0513534000001,43.998266857168105,-84.22687932548668
P0633308000001,43.97005596287236,-82.74746192238307
P0617620000002,47.03877537016359,-88.84685036786824
P0492900005036,43.00659288677844,-83.68891712485241
P1632200005443,42.350386122180396,-83.1030386076797
P1255946000001,42.45707170735538,-83.4825738014698
P1038078000001,46.19428432930365,-87.25007153684507
P0175378001006,43.603208934422995,-84.16182669848881
P1032684000001,46.082665168125594,-87.30693572165555
P1653764000001,44.2080292155608,-85.63896878048759
P0973766000001,46.14888488470313,-85.17409300993293
P1632200006459,42.34240531051892,-83.12129118215876
P0612566000001,46.892222188596456,-88.84356904495219
P0333986000001,46.332351674663656,-85.17646369355434
P1055264000001,44.122746887269045,-86.10092505190345
P0973976000001,46.16145341729947,-85.29758259397407
P1132620000001,44.37882619833334,-84.91467679262824
P0898034000004,44.778264085110614,-85.6507780737637
P0951748000001,46.418512065270804,-85.73962988750455
P1313596000001,46.405099656058034,-89.21989861493341
P0331556000001,46.357423485140636,-85.00448091825491
P0832362000001,47.79236498733943,-88.7658413580262
P0833430000001,47.39504909026102,-87.94637812601466
P1632200006465,42.33986503948046,-83.07352973553067
P0715086000001,46.133376242945744,-88.17957325297064
P1038526000001,46.063528651041345,-87.47737064627947
P0492900005034,43.00983808753254,-83.703759132365
P1535606000001,46.052710437544455,-85.92941600793016
P1233886000001,43.771471600101435,-85.74084088086529
