GEOID,LAT,LNG
300690001001,47.1419168,-108.2265753
301110018024,45.7984374,-108.6102364
301110018013,45.8012809,-108.6215903
301110004011,45.7753301,-108.5228466
301110007062,45.819172,-108.4861111
301110002001,45.7969739,-108.5067415
301110006001,45.7988622,-108.5518434
301110014011,45.65294,-108.832827
301119400002,45.5880911,-108.6474132
300130008001,47.5024648,-111.2860088
300130007002,47.4987026,-111.3039507
300130007001,47.5008788,-111.2938523
300130108003,47.5058639,-111.2982042
300130010004,47.503433,-111.2581426
300130108002,47.5090709,-111.2975926
300130010003,47.500138,-111.2581828
300130004002,47.5074152,-111.2859656
301110007012,45.8376115,-108.483274
301110019012,45.6679467,-108.7865383
301110019022,45.6819214,-108.7634444
301110019013,45.6737285,-108.7884166
301110018043,45.7725359,-108.5815635
301110015022,45.8647856,-108.2105921
301110014014,45.7144271,-108.7043343
301110015021,46.1541201,-107.9902646
301110015023,45.963204,-108.1799497
301110008001,45.8289601,-108.4168771
301110018042,45.7732508,-108.5919136
301110018041,45.7732118,-108.6072793
300130022004,47.4548419,-111.2934917
300130022003,47.4905685,-111.2793212
300130017001,47.5142688,-111.3796988
300130016004,47.5019974,-111.3240991
300130017003,47.4905629,-111.3450462
300130003004,47.5062724,-111.2729375
300130003002,47.5112107,-111.27289
300130003003,47.5084832,-111.2729058
300130002002,47.5088897,-111.2467373
300130023002,47.4838097,-111.332309
300130023003,47.4869475,-111.320499
300130023004,47.4413183,-111.3688623
300930004002,46.0004413,-112.5122318
300090003003,45.2017288,-109.2222214
300090003002,45.1871961,-109.2462924
300090001001,45.494541,-109.0533681
300090001003,45.5347947,-108.8874397
300090001002,45.4876654,-108.9630431
300090002001,45.3188625,-109.0017493
300090003001,45.2186342,-109.2519163
300090002002,45.3108842,-108.9188694
300090005001,45.1710821,-108.7135853
300090004002,45.1192987,-109.4460126
300090004001,45.3721602,-109.2776353
301110018032,45.7793428,-108.5811868
301110017021,45.7733907,-108.5703267
301110017022,45.7737484,-108.5596205
301110017031,45.7659588,-108.6071769
301110017041,45.745187,-108.5982335
301110013003,45.7916635,-108.5744294
301059406002,48.3622986,-106.1457388
301059406003,48.1848602,-106.4992076
301051005002,48.1872505,-106.6418151
301051005003,48.1984093,-106.6314113
301051001002,48.0263615,-106.9850308
301051001001,48.7576191,-106.6952065
301059406001,48.4257328,-106.6475594
301051005001,48.2161375,-106.6640269
300130022001,47.489059,-111.2939272
300130022005,47.4762914,-111.3119431
300130021004,47.4912083,-111.2661397
300130021002,47.4897748,-111.2463947
300130019001,47.5344346,-111.2918586
300930004003,45.995473,-112.4961645
300930004001,46.000738,-112.49812
300930001001,46.0214488,-112.5447935
300930002005,46.0145732,-112.5630325
300930002004,46.00842,-112.5556286
300930002003,46.0068647,-112.544885
300930002002,46.0117443,-112.5459521
300930001004,46.0129916,-112.5369532
301110013001,45.7989816,-108.5670381
301110013002,45.7977941,-108.5811139
301110012001,45.7891967,-108.5574919
301110012002,45.789428,-108.5668926
301110011001,45.7805404,-108.5331971
301110011003,45.7804955,-108.5590083
300130019002,47.5292507,-111.3028888
300130018003,47.5304454,-111.3194543
300130018004,47.528445,-111.3330471
300130017002,47.5034855,-111.3503381
300130011004,47.5031148,-111.2343924
300130108001,47.5107426,-111.3034557
300930007003,45.9657945,-112.4832204
300930002001,46.0148738,-112.5454281
300930007002,45.976202,-112.4832586
300930001003,46.0102678,-112.525844
300930008002,46.0549364,-112.5158492
300930005002,45.9861359,-112.4850776
300930005001,45.9919723,-112.4877129
300930006006,45.9549317,-112.5327431
300590001002,46.6190422,-110.9205024
300590001001,46.478039,-111.0528211
301110011004,45.7804918,-108.5702265
301110011002,45.7805223,-108.546135
301110010001,45.7745869,-108.534401
301110010002,45.768382,-108.5378265
301110010003,45.7669452,-108.548451
301110010004,45.7716832,-108.5484202
301110010005,45.7751556,-108.5470118
301110007041,45.8117406,-108.5005506
300399617003,46.343223,-113.2927622
300399617002,46.3690121,-113.4662986
300399617001,46.6189244,-113.1855283
300130002001,47.5182925,-111.2546252
300130001002,47.5221629,-111.2268903
300130104001,47.2890392,-111.7446234
300130104002,47.101214,-111.6794224
300130106002,47.3986676,-110.8987015
300130106001,47.164912,-111.1030556
300130106003,47.3524709,-111.1720507
300130107003,47.4643774,-111.8554331
300130107002,47.5432851,-111.6414449
300130101001,47.5353955,-111.4842399
300130018002,47.5263459,-111.3170714
300930007001,45.9753609,-112.4984924
300930006002,45.9785238,-112.5119505
300930001005,46.0078592,-112.5361128
300930006005,45.9653425,-112.5157474
300930005003,45.9833112,-112.5002949
300930006001,45.9859341,-112.5209992
300930005004,45.9872484,-112.4974742
301110007052,45.8231683,-108.5013366
301110007053,45.8165304,-108.4933196
301110007063,45.8215593,-108.4712951
301110007024,45.828793,-108.4477404
301110006002,45.796699,-108.5311471
301110005004,45.7854887,-108.5343803
301110005002,45.7884426,-108.5344347
301110005003,45.7869996,-108.5474196
300930006004,45.983971,-112.5334844
300930005006,45.9909083,-112.5066161
300930003003,45.9919506,-112.5219022
300930003002,45.9894785,-112.5137098
300930003001,45.9966597,-112.5262628
300930001002,46.0001055,-112.5324869
300930008003,45.9932406,-112.5922793
300150102002,47.8355593,-110.6352042
300150103002,47.6851046,-110.3689734
300150103004,48.2321325,-109.8509557
300150103003,48.0502876,-110.0557797
300150102001,47.9399018,-110.9984945
300150103001,48.1975824,-110.1011549
300679806001,45.0226823,-110.6170826
300670001002,45.8357734,-110.4975664
300670001001,46.0722429,-110.5612183
300670004003,45.634823,-110.581913
300670004006,45.6585036,-110.5609048
301110004012,45.7810755,-108.5216107
301110004021,45.792615,-108.5219473
301110004022,45.7874668,-108.5189294
301110018031,45.7805263,-108.6015696
301110009024,45.7562365,-108.5169634
301110018012,45.7913935,-108.6455846
301110008002,45.8014732,-108.4231221
301110003004,45.7722953,-108.5147617
300359404004,48.3696735,-112.9229185
300359800001,48.7650025,-113.6386873
300359402003,48.5559352,-113.0140876
300359402002,48.5435448,-113.0638401
300359402004,48.5520599,-113.0022523
300359404001,48.817516,-113.3299809
300359404002,48.5281196,-113.1505324
300359402001,48.5691827,-113.0143765
300359760002,48.647355,-112.3045467
300359760003,48.6327827,-112.3255965
300930001006,46.0037724,-112.5335987
300930008004,45.9364687,-112.4535987
300930006003,45.9797233,-112.5215126
300930005005,45.9917556,-112.4977602
300930008005,45.8229306,-112.6509732
300930008001,46.0355393,-112.7158735
300670004004,45.6488245,-110.5669156
300670005001,45.0725684,-110.6975336
300670004005,45.6540034,-110.5632457
300670004002,45.6611069,-110.5762875
300670004001,45.6695609,-110.5638835
300670003003,45.6596018,-110.5535096
300899403001,47.3760045,-114.4704481
300899403002,47.7100088,-114.6897868
300890001002,47.4201795,-114.9849215
300890001001,47.6990103,-114.9838506
300890002003,48.0004727,-115.9393522
300890002005,47.5954009,-115.3481219
300890002004,47.652216,-115.6163413
300890002002,47.6683048,-115.2973273
300890001003,47.4672749,-114.9126336
300890002001,48.048009,-115.7219347
301110017042,45.7626616,-108.5918465
301110013004,45.7886615,-108.5841349
301110013005,45.8004195,-108.5919539
301110009022,45.7669404,-108.5178054
301110009021,45.7624705,-108.4979814
300359760004,48.6339817,-112.3407947
300359404005,48.8145016,-112.7695749
300359760005,48.6166226,-112.3225393
300359404003,48.520167,-112.6777195
300359760001,48.7543083,-112.2752741
300670003002,45.6657655,-110.5424705
300670003001,45.6962339,-110.5322481
300670002003,45.3285441,-110.3382117
300670002002,45.4863216,-110.8153508
300670002001,45.6223268,-110.4533788
300670005002,45.1045153,-110.5189936
301110009023,45.7618115,-108.5183296
301110009012,45.7617046,-108.5357535
301110009013,45.7471487,-108.5312312
301110017043,45.7621814,-108.5815303
301110007043,45.808845,-108.5308866
301110008003,45.8259954,-108.3971566
301110007042,45.8089519,-108.4856101
301110009011,45.7564946,-108.5300642
300559540001,47.6296277,-105.757222
300559540002,47.4396612,-105.5816012
300630018003,47.1324768,-113.8732592
300630016004,47.1518098,-114.5131483
300630013041,46.821495,-114.0438736
300630003002,46.8736925,-113.9973258
300630009014,46.8429994,-114.0908891
301110007064,45.8211477,-108.4806614
301110007061,45.8089894,-108.4696229
301110007025,45.8213674,-108.4612576
301110007021,45.8381563,-108.4604553
301110007023,45.8255978,-108.4422797
301110007022,45.8397858,-108.4455873
301110007011,45.8352412,-108.4971685
301110007013,45.8393717,-108.4733895
300110003001,45.9540128,-104.6787214
300110003002,45.41751,-104.5178134
300630002024,46.8871422,-114.128588
300630015004,46.7026421,-114.0705606
300630013025,46.814563,-114.0352047
300630013024,46.8188668,-114.0317983
300630013032,46.8319838,-114.0287732
300630013033,46.8255777,-114.0309539
300630013043,46.8269826,-114.0400772
300630015001,46.7030395,-114.2311562
300630013031,46.8369172,-114.0286259
300630016002,47.0695263,-114.2620699
300630009012,46.8655769,-114.0828187
300630002022,46.8791914,-114.0780474
300630013044,46.8084797,-114.0759819
300630013042,46.817502,-114.0549463
300630009021,46.8306442,-114.385091
301110005001,45.7922959,-108.5399084
301110003001,45.7826421,-108.4878928
301110003003,45.7760065,-108.5061054
301110002002,45.7928699,-108.5087631
301110003002,45.7726576,-108.4988286
300419403003,48.193661,-109.6872453
300419403001,48.3550632,-109.9192703
300419403002,48.2897353,-109.7611
300410403004,48.5666906,-109.6440065
300410403001,48.5496919,-109.6691817
300410403005,48.5496741,-109.6876067
300410401002,48.5735973,-110.2241493
300410401001,48.6232503,-110.5888532
300410404004,48.5458088,-109.6810377
300410402001,48.809487,-109.8432719
300710602001,48.3603402,-107.8762197
300710602003,47.9677993,-108.0262563
300710602004,48.717505,-107.7861632
300710602002,48.3514446,-107.8715273
300630004001,46.8724298,-113.9397578
300630004002,46.8816832,-113.9429081
300630001001,46.8916928,-113.9528683
300630004003,46.8483123,-113.9608696
300630018001,46.989197,-113.5496185
300630018002,47.3316944,-113.758491
300630013034,46.842701,-114.0225778
300630012001,46.8543035,-114.0075841
300630012002,46.8507355,-114.0080714
300630012004,46.8442409,-114.01304
300630012003,46.8454186,-114.0014914
300630011001,46.8614942,-114.0012285
300630011002,46.8605018,-114.0134548
300630011003,46.8579543,-114.0052653
300410402002,48.3941191,-109.6581809
300410404001,48.5298996,-109.7239923
300410404003,48.5425959,-109.6898505
300410405001,48.5451667,-109.6710369
300410405002,48.5402054,-109.6718535
300410405003,48.5350051,-109.6657655
300770001002,46.6195215,-112.529729
300770001001,47.0403433,-113.09646
300770002001,46.4048371,-112.7276644
300770002005,46.4514397,-112.7667489
300770002003,46.3857088,-112.7352009
300770002004,46.3984139,-112.7463929
300770002006,46.3819249,-112.8300112
300630010002,46.8447944,-114.0317098
300630018004,47.1678666,-113.4081827
300630002012,46.8885955,-114.0072387
300630002011,46.894871,-114.0253218
300630001002,46.8962638,-113.9678664
300630001003,46.9027695,-113.9987608
300630016001,46.9619256,-114.1886686
300630015002,46.7849258,-114.1428333
300630015003,46.7751274,-114.0800932
300630016003,47.0271373,-114.1391942
300630010001,46.8541429,-114.023155
300630010003,46.8516584,-114.0328038
300630009013,46.8556053,-114.0658333
