GEOID,LAT,LNG
30049000027,46.744793572734864,-112.04429970635414
30049000002,46.68048944132736,-111.85697958787561
30049000004,46.65220429230307,-112.03730640553611
30049000024,46.61422166593856,-112.04031868669745
30049000003,46.6418405757839,-111.99994263863674
30049000023,46.63259751436483,-112.01996174406553
30049000014,46.58598197547646,-112.04010800156716
30019000006,48.790579489359565,-105.41504839555093
30019000005,48.79056508202601,-105.42557276723134
30041000022,48.63045019622272,-110.62473495601245
30041000025,48.810656985037795,-109.84260968201708
30041000010,48.55120071372269,-109.65839753138806
30041000014,48.38140682019977,-109.64802746895967
30041000018,48.36192872607918,-109.92615779053288
30041000020,48.577196924998994,-110.1923464032803
30041000021,48.62376465514265,-110.4301788008236
30041000009,48.53633206497393,-109.68605034678434
30041000008,48.531870990623005,-109.66741343769164
30041000001,48.546384294486934,-109.68090594178302
30041000015,48.50457048715772,-109.87077168837352
30041000016,48.550980793222564,-109.64207306368569
30041000028,48.23169346805694,-109.73604877657282
30041000002,48.55464282527694,-109.69405382472635
30041000003,48.54097102486267,-109.70305127555565
30041000007,48.542905615008884,-109.66980891387408
30041000013,48.54367736791357,-109.69081989451755
30077000004,46.402585428550054,-112.7303879734515
30077000014,47.257901824041156,-113.18217196914098
30077000010,46.59255763631267,-112.82176312875995
30077000012,46.85214761027013,-113.03270895313558
30077000002,46.49386448431828,-112.71007157148775
30077000008,46.50656680240635,-112.41177883975355
30077000016,46.295124833767254,-112.79782052915354
30077000001,46.680497897288525,-112.62579209655163
30077000011,46.58126797061165,-112.96047301716303
30077000003,46.37658463744018,-112.7607938529497
30077000005,46.39536224023335,-112.72401975690227
30077000007,46.39587494916133,-112.74313908298855
30077000006,46.393265798776255,-112.72976357099053
3006300100S,46.8536573495765,-114.02426641556085
300630092Sw,47.468452310311704,-113.70846131626789
3006300097L,46.74099306930181,-114.36215881776288
3006300096E,46.90377563834557,-114.07371829668752
3006300094L,46.90831373502957,-113.99959385794978
3006300096F,46.98507577871812,-114.26706566026562
300630097TR,46.8700315124176,-114.23708078879079
300630092EM,46.874223642499715,-113.94198230610019
3006300089C,46.73194225711853,-113.77147187076817
3006300092P,46.94533741611838,-113.52102296108458
300630099RN,46.842512109522055,-114.02763993350133
3006300090E,46.83447902931806,-113.99520011219097
300630097PC,46.92361664138712,-114.44111660701232
3006300094H,46.96715820060443,-114.03226023205859
3006300098N,46.870519717943715,-114.05544829218094
3006300094E,47.11511989736542,-113.88941246121226
300630092Se,47.21123759024348,-113.5578920874332
3006300092B,46.91920466969583,-113.80139397554507
300630095SC,46.87067405543126,-114.00971307718918
3006300100N,46.8626030120607,-114.02552256725784
3006300014S,47.14060409193111,-114.58172352503203
30009000005,45.15812349505478,-108.63499878861553
30009000015,45.421951603784635,-108.81751502311167
30009000011,45.1138140825961,-109.44892294497623
30009000016,45.293851976854825,-109.45054904019673
30009000002,45.484375363346814,-108.97226179713785
30009000006,45.09446353988284,-109.01283609347881
30009000001,45.55507931359808,-108.85884846893727
30009000009,45.185672510557204,-109.25163508317019
30009000004,45.294848740926135,-108.91627285213298
30009000008,45.20208311399802,-109.25061849677105
30009000007,45.36754376702695,-109.15370959855277
30009000010,45.178753366037895,-109.24831719937549
30009000003,45.49209511270692,-109.04148484996735
300710011-N,48.70370258629319,-107.77125421619097
300710011-S,47.97890268182829,-108.00277034495498
300630095Ha,46.87481590210856,-114.02940367766702
30063100SJW,46.860069285515706,-114.01100759282672
300630099CS,46.81801689429685,-114.05582118472705
3006300098S,46.86304590430402,-114.05223358131153
300630095He,46.87917418298205,-114.0621979802578
3006300089L,46.690982780758716,-114.05940111772152
3006300095L,46.87830360634115,-114.00748244897558
3006300090W,46.83193307205305,-114.00973633978803
300630089LC,46.82626646195067,-113.93441474669027
300630091SC,46.86389116214949,-113.99444425347642
3006300090R,46.842124250007515,-114.01329715993506
