GEOID,LAT,LNG
350450002053,36.7485224,-108.1669704
350450002023,36.766188,-108.1577286
350450002052,36.7566065,-108.1639846
350450003021,36.7462412,-108.1910511
350450003022,36.7422989,-108.1936846
350450003012,36.7550592,-108.2041162
350450003014,36.7519027,-108.1907602
350450003011,36.7593473,-108.2001088
350450003013,36.7591001,-108.1899905
350450003023,36.7441269,-108.2000352
350450005052,36.7317477,-108.3669655
350450004013,36.7424755,-108.230929
350450006134,36.8029413,-108.070068
350459430003,36.4018146,-108.4147089
350459432012,36.1276983,-108.0100397
350459429001,36.5801118,-108.951796
350459429002,36.5039171,-108.7190565
350459429003,36.3638112,-108.9218659
350459429004,36.3163839,-108.754877
350450002041,36.7540989,-108.1507944
350459428012,36.9067881,-108.7146317
350459431001,36.1277326,-108.4992283
350459429006,36.1524174,-108.742309
350459430001,36.7123247,-108.3157742
350459430002,36.6382821,-108.5115018
350450002055,36.7361757,-108.1839549
350450002054,36.7449036,-108.1806358
350450007081,36.6942389,-108.0535406
350450005051,36.7408043,-108.3067443
350450005056,36.7471159,-108.3393301
350450006081,36.7573179,-108.1148415
350450006072,36.7228243,-108.1207652
350450005055,36.7596113,-108.3367217
350459432011,36.6892287,-108.0042499
350450005042,36.8034984,-108.4022763
350450007061,36.7250476,-107.8927508
350459428021,36.7934066,-108.6480403
350459428024,36.8047513,-108.6977837
350450006102,36.8226669,-107.9565438
350450005041,36.7902689,-108.4867046
350450006103,36.838754,-108.0022171
350450006091,36.8013172,-108.0023045
350450006131,36.812654,-108.0464557
350450006122,36.8376878,-108.0247478
350250008004,32.4264874,-103.150927
350450006083,36.7576009,-108.0514791
350450007072,36.7039048,-108.0023891
350459428032,36.7532144,-108.7147882
350450001004,36.7266079,-108.1735282
350459428031,36.7842053,-108.7167543
350450006132,36.8570017,-108.0750768
350450005031,36.7544379,-108.2602496
350450005032,36.7388199,-108.277128
350459432015,36.6780125,-108.1435928
350450006133,36.8191534,-108.1178888
350450007021,36.6532079,-107.8049029
350450007051,36.7430481,-107.9687077
350450006112,36.9311322,-107.9880915
350450006121,36.8226371,-108.0160328
350459428013,36.7543416,-108.8167017
350450009001,36.6812674,-108.0696206
350250008003,32.431891,-103.1680326
350250008002,32.4693859,-103.2169161
350250008001,32.4450624,-103.152268
350250003002,32.6915339,-103.1019943
350250003004,32.6867507,-103.1347436
350250003001,32.6937323,-103.1190812
350250004001,32.7005108,-103.1015946
350250001003,32.7001197,-103.1352008
350250005023,32.7194619,-103.0920662
350250005021,32.7161278,-103.1232112
350250007021,32.5892407,-103.3820994
350210001001,35.8631519,-103.8299311
350450002042,36.768384,-108.1326392
350450007082,36.7215252,-108.0559712
350459433001,36.9046771,-108.3134755
350450005053,36.7479301,-108.3732566
350459428023,36.7772754,-108.6543977
350459428011,36.7910034,-108.5971056
350450007071,36.7423527,-108.0030182
350459428033,36.7598381,-108.6946677
350459429005,36.2292041,-108.8954395
350459431002,36.0626771,-108.8851624
350459428022,36.8030378,-108.7232826
350250007012,32.8390563,-103.096543
350250007011,32.7587352,-103.0890458
350250001002,32.7070234,-103.1393941
350250001001,32.7075502,-103.1308675
350250002001,32.7054517,-103.1466869
350250003003,32.6928533,-103.1299492
350250004003,32.6991756,-103.12089
350250004002,32.7067619,-103.1219056
350250005022,32.7136601,-103.1183801
350250005026,32.7240346,-103.1254896
350179643003,32.8017443,-108.2704556
350179645002,32.7748532,-108.1416621
350179643002,32.790488,-108.2635609
350179645003,32.7741861,-108.1579909
350179642002,32.6332298,-108.4602231
350179646002,32.765718,-108.1361012
350179648002,32.7015082,-108.1283277
350250005025,32.7244259,-103.1188713
350250006001,32.7230191,-103.136908
350250006002,32.7190643,-103.1322724
350250006005,32.7142384,-103.147368
350250006007,32.7298094,-103.1682425
350250006006,32.7149534,-103.1517247
350250006004,32.7157133,-103.1408047
350250006003,32.7137866,-103.1316249
350250009001,32.227284,-103.4256292
350250009002,32.1136947,-103.1979853
350250009003,32.1051826,-103.1922008
350179646004,32.7616125,-108.1274832
350179642001,32.8944007,-108.7788937
350179644003,32.7575052,-108.2841948
350179641001,33.0047128,-108.2909879
350179647001,32.8257039,-108.2373539
350179643004,32.7874156,-108.2724215
350179641002,32.9262904,-107.892979
350179643001,32.7828452,-108.3153223
350179643005,32.7758037,-108.2868919
350179644001,32.7807982,-108.2619602
350179645001,32.7923542,-108.1679851
350179647004,32.8376177,-108.2957162
350179646003,32.7546382,-108.1370723
350179647003,32.7194266,-108.2265406
350179646001,32.7049785,-107.9268179
350179647002,32.7160444,-108.2696552
350179644002,32.76919,-108.2675835
350179648001,32.2661653,-108.348258
350350004011,32.9034623,-105.9164352
350350005001,32.9125474,-106.0079961
350350005003,32.8625167,-105.9730196
350350006012,32.8356502,-106.0758053
350350006011,32.6597228,-106.1729054
350350006031,33.0023003,-105.9210512
350350006032,32.9633044,-105.9376743
