GEOID,LAT,LNG
39009005ACR,39.323403463112015,-82.09282434773765
39159080ABZ,40.258547719007424,-83.35819615007095
39159080ACC,40.18058489160305,-83.19755685326008
39159080ACA,40.225716715019594,-83.37235668307179
39159080ACB,40.26840187735627,-83.38486390490334
39017009ACT,39.39480298967038,-84.55475586138608
39017009AFM,39.475290992614674,-84.45129022290823
39023012ACN,39.931891585378004,-83.83374919376335
39023012UAF,39.99266499448341,-83.95635008763837
39023012ADN,39.959534597444595,-83.86646576339447
39023012AAE,39.94806848173873,-84.03693814295026
39023012AEB,39.89350877238587,-83.58958583545686
39173087AAP,41.397849848267064,-83.66119105066353
39173087AAH,41.35851477921524,-83.6436102965556
39173087AAX,41.548674846385644,-83.62876196156427
39173087ABC,41.54646416587689,-83.61369268088016
39075038AAM,40.48476101521306,-81.86711979690048
39045023AEL,39.92332175941426,-82.80370562638905
39045023ABF,39.8762471822811,-82.74334247141198
39045023ACQ,39.918734912020135,-82.6788836067992
39045023AAH,39.75034084623147,-82.6385532092347
39045023AEV,39.89483639075305,-82.7888206436016
39045023AFA,39.727037635044596,-82.64841749548891
39045023AAF,39.73661865441203,-82.61554654356043
39149075AAZ,40.284023449478724,-84.18021024351381
39149075AAM,40.30885447639526,-84.16441262018814
39149075ACD,40.357635980015516,-84.04582506431161
39149075ACB,40.29460515435796,-84.06662376090613
39149075ABO,40.4338369531427,-84.05624529860818
39149075ABQ,40.43847873541327,-84.04124751936656
39149075ABD,40.29576122322143,-84.3894752781633
39149075ABV,40.36276087243953,-84.35365870225297
39149075ABS,40.2342832507177,-84.33825491788559
39149075AAB,40.2801763109336,-84.14377139861494
39149075ACN,40.23619682138215,-84.25253376569589
39149075ABC,40.30366778243045,-84.31848304069656
39149075AAQ,40.28988021410225,-84.18845829376896
39149075AAU,40.27713168204603,-84.17871395680932
39149075ABH,40.458536499183076,-84.17814976170196
39149075ACG,40.326582411797006,-84.24837952895281
39149075ABF,40.43878406317589,-84.16336452103313
39149075ACJ,40.46054110038513,-84.28079548421785
39149075ABZ,40.22582814899852,-84.15647703930854
39149075AAF,40.31688471473942,-84.14074884563425
39149075AAN,40.29399565983724,-84.16621334398216
39091046ACA,40.44229962433203,-83.80450335240488
39007004ABQ,41.950294821451585,-80.5392311350695
39083042ABV,40.47552099327644,-82.55391190228865
39083042ABW,40.48441485754326,-82.55113082113587
39083042AAX,40.380907544923275,-82.39639631293133
39083042AAY,40.35001581559293,-82.32767907439917
39083042AAZ,40.30349828620068,-82.69750396579309
39083042ACB,40.29535841588878,-82.692478209243
39083042ABA,40.32947378035427,-82.70570722535949
39083042ABC,40.418434783816274,-82.31401198103133
39145073ABQ,38.81190615878759,-82.71302915158196
39145073ACI,38.797854346498895,-82.89519721028947
39145073AEC,38.70981303204888,-82.73986671308123
39145073ACQ,38.92814581591056,-82.87667329656308
39145073ACS,38.90276563832201,-83.05942119300548
39145073ADR,38.943929131966364,-83.23294978575035
39145073AAA,38.74960730177981,-82.99004711831695
39145073ABR,38.79275517638043,-82.76697265583006
39145073ABW,38.78333864769758,-82.94762793076782
39145073ACP,38.90011516562001,-82.79446795369661
39145073ACN,38.858143540572364,-82.94683665806744
39145073ADJ,38.73799542360348,-82.86287365459319
39145073ADY,38.89775766913502,-82.98665129491995
39145073AAC,38.75686100121703,-82.9888932528718
39145073ADV,38.80880005002289,-83.03768830549737
39145073ACO,38.89856879204548,-82.85303107553747
39145073AEA,38.93393194642746,-82.99893685082564
39145073ACH,38.794871895766086,-82.82230495958215
39145073ACD,38.5985647102105,-82.82289359430074
39083042ABF,40.276056726448964,-82.23900912137043
39083042ABG,40.52008978397596,-82.2276890195357
39083042ABD,40.431966749309396,-82.33704509432944
39083042ABE,40.4364069146306,-82.35751539873655
39083042ABB,40.41732400018506,-82.35712945677807
39083042ACC,40.452688380963245,-82.34951070278673
39083042ABI,40.52034745812276,-82.58968475390898
39083042ABH,40.360245512288785,-82.59329230658041
39083042ABZ,40.39639413515267,-82.59650534375419
39083042ABK,40.30252938438407,-82.51277445162155
39083042ABM,40.41537333320669,-82.3962375181803
39083042ABL,40.441801653792446,-82.42950859918506
39083042ABN,40.2803331419577,-82.42611465101507
39083042ABP,40.42866110586283,-82.50075846089425
39083042ABO,40.465202390745006,-82.50260206783435
39083042AAE,40.38970431605271,-82.49490596985619
39083042AAB,40.36002178403559,-82.48789937021121
39083042AAF,40.398185703596326,-82.49978851439705
39083042AAH,40.399561894367665,-82.4651676980757
39083042AAL,40.40970419194253,-82.48595284576997
39083042AAC,40.37237441425432,-82.47090571748576
39083042AAG,40.40130881902761,-82.48765376216664
39083042AAM,40.40100300573872,-82.47601449259226
39083042ABQ,40.50725811610581,-82.41003412560669
39083042ABT,40.44710558355883,-82.2607233151697
39083042ABU,40.42799667442948,-82.23281927665772
39083042AAK,40.393379122599185,-82.47457452342205
39083042AAA,40.38448717634754,-82.46131694204651
39083042AAI,40.39166994348507,-82.4481933520039
39083042AAJ,40.40257702528585,-82.44503119470714
39083042ABR,40.345551017978764,-82.42740398707897
39083042AAO,40.52013423735443,-82.499444550541
39083042AAQ,40.50860963159289,-82.31883871981661
39083042AAR,40.348307223592634,-82.23648794714997
39083042ABX,40.45125615579824,-82.59264909113132
39083042AAS,40.276599279587735,-82.33076001974948
39083042AAU,40.35941863538853,-82.51951492818742
39083042AAV,40.39299140270094,-82.52361859064713
39083042AAT,40.348961071742636,-82.48835998287842
39083042AAW,40.3702944792154,-82.39580626077694
39083042ACG,40.37126401083255,-82.39376547928607
39083042ACA,40.471994015327425,-82.53901580757554
39011006AAO,40.51994333677046,-84.05041281455465
39011006AAP,40.60667276981854,-84.14427689132027
39011006AAS,40.65158006027762,-84.1352007429166
39011006AAK,40.552128032064275,-84.1853892728018
39011006AAR,40.61750125799988,-84.20390935521716
39011006AAH,40.58224617822079,-84.20164632349588
39011006AAG,40.57935610215284,-84.212893214319
39011006AAJ,40.57813928977535,-84.19237624747821
39011006AAL,40.55977079492866,-84.17232922925895
39011006AAI,40.57702955748697,-84.18063681574233
39011006AAM,40.566984763944056,-84.19898659845293
39011006AAN,40.5622572857798,-84.21028496779141
39011006ABR,40.65008912064581,-84.15174573535381
39011006AAW,40.43571633235775,-84.38562081576197
39011006AAV,40.4352517991,-84.37156609986624
39011006AAU,40.444952590494644,-84.39943684915187
39011006ABP,40.61194872826079,-83.93625885830693
39011006ABQ,40.60244226461684,-83.97388093372105
39011006AAX,40.55733124829428,-83.93727152067686
39011006AAY,40.397612126897236,-84.40386072093636
39011006AAZ,40.40082652303389,-84.37946626942572
39011006ABA,40.387534686882006,-84.37810123548512
39011006ABC,40.6530344274497,-84.28132920143184
39011006ABB,40.62343332352598,-84.25999508870004
39011006ABD,40.58709142617872,-84.2807703775413
39011006ABF,40.59149005045997,-84.39748341420497
39011006AAF,40.54860161021007,-84.37264623876081
39011006ABG,40.51755748621952,-84.16354619209758
39011006AAA,40.551876735100244,-84.3951091825313
39011006ABH,40.50049967852191,-84.38427925320042
39011006AAB,40.543937802216035,-84.3918116538593
39011006ABJ,40.52328161007408,-84.43657052345448
39011006ABK,40.65563240188502,-84.39771812633735
39011006AAD,40.55523772665943,-84.41982713121362
39011006AAE,40.53484455801895,-84.39156503308091
