GEOID,LAT,LNG
420035003001,40.3391287,-79.8669912
420034994002,40.3225425,-79.889543
420034994001,40.3187828,-79.8813494
420034993002,40.3311097,-79.8830403
420034980002,40.3245632,-79.8638781
420035200021,40.4197803,-79.8297647
420035200012,40.4369483,-79.8146105
420035190002,40.4376387,-79.849878
420035190001,40.435908,-79.8336634
420030405001,40.4406805,-79.9542332
420030404001,40.4458408,-79.9483932
420030402002,40.4412437,-79.9626107
420030305002,40.4403871,-79.9813476
420030305001,40.4444763,-79.9855727
420030203001,40.4544996,-79.9812762
420030201004,40.4406777,-79.9892121
420032620001,40.4632158,-79.994168
420032615001,40.4733966,-80.0097343
420032614002,40.4619992,-80.0134962
420032612001,40.4922173,-80.0081121
420032609001,40.4776383,-80.0025945
420032607002,40.4818975,-80.01087
420034753014,40.3265036,-80.0342796
420034752001,40.318689,-80.0602752
420034762003,40.3605943,-80.0235387
420035631002,40.43201,-80.0530374
420035624005,40.419736,-79.9991617
420034706003,40.3995614,-80.0928333
420034705022,40.3956535,-80.0711851
420034741021,40.3452853,-80.0681287
420034900031,40.3111845,-79.9927724
420034900023,40.3021893,-80.0064178
420034900021,40.2927635,-80.0247229
420034890024,40.3304077,-79.9760021
420039810001,40.4730821,-79.9488759
420210105003,40.2987034,-78.8940682
420210103001,40.3602018,-78.8506635
420210107002,40.2949876,-78.8545523
420210128003,40.4634121,-78.5897434
420210128004,40.4614975,-78.5822197
420210122002,40.5212305,-78.5500261
420210127002,40.4004245,-78.5983715
420210127001,40.4572594,-78.646835
420210128001,40.4656236,-78.5784023
420210128002,40.4417412,-78.5888966
420210132004,40.3554287,-78.7502197
420210132001,40.3946102,-78.7725537
420034706002,40.3982824,-80.0882722
420034560032,40.3449953,-80.1294848
420034900041,40.2909807,-79.9884818
420034742011,40.3456211,-80.097983
420034900042,40.2855716,-79.9732121
420034900024,40.2843176,-80.0067429
420034900025,40.2869247,-80.0247429
420034621001,40.4834064,-80.0636798
420035524002,40.3322951,-79.8377395
420035524001,40.3368087,-79.835915
420035523002,40.3402543,-79.854667
420035523001,40.3431384,-79.8527817
420035522001,40.3488998,-79.877509
420035521002,40.3438707,-79.8652109
420031702001,40.4302576,-79.9922422
420031702003,40.4272715,-79.9852076
420031702002,40.4313543,-79.9809658
420031803003,40.4191918,-79.9927314
420031706001,40.4249025,-79.9876098
420031706003,40.4196905,-79.9844551
420034801014,40.3394075,-79.9777674
420034801023,40.3404166,-79.9942762
420034801022,40.3436502,-80.001
420034802003,40.3473297,-79.9671678
420034802002,40.3519619,-79.9705016
420034803004,40.3940117,-79.9723836
420034980001,40.3238606,-79.8499332
420034962005,40.3144506,-79.8029951
420034962004,40.3068065,-79.8303763
420034962002,40.2906916,-79.8194016
420034962001,40.3004974,-79.8230484
420034961023,40.2340713,-79.8370694
420034961022,40.2615034,-79.8413857
420034961021,40.2521519,-79.8671528
420034961012,40.2677743,-79.8170291
420034961011,40.2776227,-79.8365556
420034950002,40.2063565,-79.8746616
420034940001,40.2715536,-79.8871529
420035180013,40.4261604,-79.8538613
420035180012,40.4316747,-79.8596813
420035180011,40.4268073,-79.8656152
420035170002,40.4144704,-79.8612882
420035170001,40.423946,-79.8710502
420030201003,40.4413687,-79.9991048
420030201002,40.44297,-80.0038877
420030201001,40.4396954,-80.0061775
420030103002,40.4369004,-79.9903987
420030103001,40.4340459,-79.986467
420034480001,40.569016,-80.2174845
420032607001,40.4812801,-80.0088626
420032602003,40.492508,-80.0177905
420032602002,40.4903149,-80.0228477
420032602001,40.4916691,-80.0134039
420032509002,40.464157,-80.0039415
420035626001,40.440883,-80.0357065
420035624002,40.4142432,-80.0038814
420035629001,40.4096285,-79.9486102
420039800001,40.487579,-79.8907469
420035619002,40.4670321,-79.8924785
420034890023,40.3245327,-79.9617266
420034900022,40.2934437,-80.0170155
420035642002,40.3285589,-79.8057304
420031306001,40.4521925,-79.8817225
420030409003,40.4308074,-79.9518013
420035623005,40.4142957,-79.9369121
420035623003,40.4125804,-79.9314314
420030201005,40.4381255,-79.9968423
420210120004,40.6370873,-78.6478054
420210124003,40.6087688,-78.6730301
420210124004,40.5686547,-78.7130499
420210102001,40.348758,-78.8812673
420210101001,40.383973,-78.8228239
420210101002,40.3551412,-78.8920649
420210126002,40.4839675,-78.7316923
420210126001,40.4944829,-78.7264282
420034621003,40.4810111,-80.074594
420034621002,40.4890483,-80.0874304
420034626001,40.473221,-80.0684457
420034560033,40.3646209,-80.1908525
420034742022,40.3327022,-80.0904793
420034742021,40.3170572,-80.1007324
420034742031,40.322838,-80.0750095
420035521001,40.346371,-79.8625198
420035520004,40.3398127,-79.8386693
420035520003,40.3436203,-79.8388822
420035520002,40.3404053,-79.8432733
420035520001,40.3437827,-79.843615
420035519002,40.3542559,-79.8611616
420035519001,40.3566216,-79.8388998
420031706002,40.4235301,-79.9801503
420031803002,40.4209141,-79.9926876
420031803001,40.4247669,-79.994381
420031807002,40.4247086,-80.0011285
420031807003,40.4228314,-80.0010209
420031807001,40.4265369,-80.0017531
420034802001,40.3610171,-79.9591126
420034803003,40.3877008,-79.9720843
420034803001,40.4015907,-79.9737874
420034803002,40.3932846,-79.9643402
420034804004,40.3732195,-79.9542502
420034804001,40.3872262,-79.9510735
420034790002,40.378062,-80.0176319
420031517004,40.4216327,-79.9353993
420031517003,40.4225131,-79.9385272
420031517002,40.427265,-79.9345196
420031517001,40.4228431,-79.9277766
420031516003,40.4227661,-79.9448461
420031516001,40.4231223,-79.9414143
420031414003,40.4266034,-79.9185733
420031414001,40.4214399,-79.9228257
420031413003,40.4320453,-79.9253363
420035162002,40.4294884,-79.8812524
420035162001,40.433224,-79.8788492
420035161001,40.4309181,-79.8886054
420035153002,40.4187009,-79.8929741
420035153001,40.4205567,-79.8886129
420035152002,40.4245159,-79.8824926
420035152001,40.4251975,-79.8775193
420034470001,40.5740152,-80.2037769
420034460002,40.5517109,-80.1999859
420034460001,40.5567714,-80.1884804
420034455003,40.5354108,-80.1809537
420034455002,40.5414508,-80.1865408
420032507001,40.4599421,-80.0218657
420032503001,40.4584905,-80.0120067
420032412002,40.4600565,-79.9915198
420032412001,40.4714234,-79.9884347
420032406002,40.4611811,-79.9859947
420032406001,40.4619187,-79.9815275
420032206002,40.4572412,-80.0051339
420035632003,40.4572599,-79.9976543
420030103003,40.4368784,-79.9837347
420030201006,40.4454007,-79.9971407
420039818001,40.4790228,-79.8942288
420035620002,40.4552789,-79.9531593
420031516002,40.4267886,-79.9459951
420031608001,40.4229739,-79.970767
420031018002,40.4847864,-79.9385823
420030603001,40.4621267,-79.9609234
420030802002,40.4617308,-79.9522528
420032904003,40.384419,-79.9867635
420035644007,40.3813641,-79.7704119
420039811001,40.4420424,-79.906331
420035154011,40.4243138,-79.892413
420035154012,40.4226469,-79.8969516
420210132002,40.3733925,-78.7731395
420210007002,40.2980889,-78.9215483
420210110001,40.2900549,-78.9176104
420210102002,40.338542,-78.8896782
420210122003,40.4809541,-78.5547029
420034742032,40.3067855,-80.09046
420034658002,40.4341983,-80.0723966
420034825001,40.3937803,-79.9101905
420034658003,40.4279042,-80.078899
420034881001,40.3876443,-79.8898463
420035513002,40.3279644,-79.8217913
420035513001,40.3420565,-79.8280836
420035512003,40.3474804,-79.8380374
420035512002,40.3532238,-79.8307284
420035512001,40.3511222,-79.8397652
420035509002,40.3476708,-79.8563295
420031903001,40.4348905,-80.0135312
420031911002,40.4386014,-80.0260996
420031903002,40.4300763,-80.0162029
420031914001,40.4292007,-80.0064823
420031915001,40.41865,-80.010981
420034790001,40.3850838,-80.0177805
420034734023,40.3585584,-80.0402155
420034751011,40.3519231,-80.0343168
420034751012,40.3486424,-80.0300851
420034751014,40.346623,-80.0483301
420031413002,40.4310496,-79.9300508
420031413001,40.4360169,-79.9284488
420031411001,40.4196414,-79.9075532
420031102001,40.4780209,-79.9195862
420031018001,40.482941,-79.9336446
420031017002,40.4672423,-79.94337
420031017001,40.4664252,-79.9381924
420035151003,40.4212662,-79.8820603
420035151002,40.4174746,-79.8816926
420035151001,40.4178523,-79.8748528
420035140002,40.4092087,-79.8818872
420035140001,40.4109022,-79.8747757
420035138003,40.3995012,-79.8697057
420035138002,40.4026285,-79.8670429
420034455001,40.5382348,-80.1749435
420034390001,40.5897681,-80.1737989
420034370002,40.5521537,-80.1072721
420034370001,40.5360063,-80.0827484
420034350002,40.5099948,-80.099389
420034350001,40.51352,-80.094899
420032206001,40.4553043,-80.0138114
420032107002,40.4578695,-80.0264589
420032107001,40.4531478,-80.0236514
420034120021,40.5750146,-80.0933054
420034120014,40.6067715,-80.0769662
420034120013,40.6020289,-80.0877194
420034120012,40.6091968,-80.1183176
420034120011,40.5929188,-80.0867476
420034110003,40.6444073,-80.1231504
420034773004,40.3562746,-79.9761873
420034782001,40.3652281,-79.9783276
420034782002,40.3738367,-79.969351
420034846001,40.3982372,-79.9040461
420034845002,40.3823277,-79.8999117
420034845003,40.3853979,-79.9035073
420039801001,40.4798795,-79.9165548
420035220001,40.4040166,-79.7728366
420035220002,40.4030234,-79.7783779
420035261014,40.5232161,-79.7997962
420034705012,40.3953254,-80.0613284
