GEOID,LAT,LNG
721130723001,18.0124534,-66.549419
721130724002,18.0433156,-66.5435774
721130725002,18.0708231,-66.5677684
721130725001,18.0873269,-66.5571853
721130724001,18.0415262,-66.5668872
721130724003,18.0487383,-66.5485042
721130712001,18.0121856,-66.6190207
721130704002,18.0203349,-66.604489
721130718001,18.0107644,-66.608257
721130730081,17.9820459,-66.6814276
720133001012,18.4527898,-66.6341642
720133004003,18.478251,-66.6882842
720133011001,18.4381462,-66.7644951
720133015002,18.4501012,-66.7448088
720133001013,18.4543943,-66.6204088
720133005002,18.4740543,-66.7173402
720133010002,18.4710618,-66.7552514
720133012003,18.4572998,-66.7316735
720152801022,17.9990586,-66.0475671
720152802012,17.9754063,-66.069661
720152802011,17.9813245,-66.0647434
720152801021,17.9924011,-66.0581961
720152802014,17.9652144,-66.0659577
720915703003,18.4283523,-66.4915314
720915703004,18.4250939,-66.4914571
721130718002,18.0056107,-66.6110669
721130718003,18.0061228,-66.6083066
721130729004,18.0355837,-66.6348569
721130729002,18.0735173,-66.6512796
721130704001,18.0212698,-66.6021633
721130722011,18.0130913,-66.5884805
721130705033,18.0082978,-66.5949765
721130722013,18.0117037,-66.589535
721130705022,18.0186966,-66.5996822
721130705221,18.0324101,-66.6033041
721130705223,18.0251485,-66.6045289
720133014001,18.4587532,-66.7229381
720775001005,18.2526932,-65.9240725
720775001004,18.2478332,-65.9109525
720775001003,18.2469297,-65.8955136
720775002003,18.2369391,-65.9349126
720152801012,18.0139633,-66.0726837
720152802023,17.9917872,-66.0303377
720152802013,17.9713017,-66.0633375
720152802021,17.960715,-66.062173
720152801023,17.9957919,-66.0499483
720152802022,17.9695585,-66.0379695
720152802024,17.9644822,-66.0544958
720159915000,17.9279231,-66.0306435
720915706002,18.4192999,-66.4856124
720915707002,18.3819629,-66.5147291
720915701002,18.4407492,-66.4781425
720915704002,18.4290124,-66.4793474
720915705002,18.4296785,-66.4694151
720915707001,18.4191857,-66.5158846
720915707003,18.4000911,-66.5351576
720915708003,18.3834825,-66.4636112
720915703002,18.4287979,-66.4891567
720915703001,18.4300036,-66.4865888
720915704003,18.4270919,-66.4846674
720915704001,18.4261086,-66.4786927
720915701001,18.4594477,-66.4556694
720915702012,18.4436704,-66.4938635
720915702022,18.4398233,-66.5091773
720915706001,18.422306,-66.477773
720919900250,18.5060984,-66.4826661
720915708001,18.4135134,-66.4578516
720915701003,18.4374671,-66.4732897
721139930000,17.9237158,-66.6613335
721130726002,18.1441162,-66.6149825
721130722023,18.0040833,-66.5908653
721130723002,17.976692,-66.5781603
721130720001,18.000666,-66.5983785
721130722025,18.0017065,-66.5886918
721130722024,18.0040092,-66.5875538
721130722026,17.975244,-66.5949032
721130730011,18.076295,-66.6693225
720915702011,18.4686673,-66.4889618
720915705001,18.4301991,-66.457851
720915708002,18.4052945,-66.4848112
720915701004,18.4435126,-66.4513735
720915705003,18.434359,-66.44776
720915708004,18.4140055,-66.4847097
720915702021,18.4631044,-66.5153218
720054009001,18.4383961,-67.1507823
720054001001,18.4999453,-67.1103135
720775003021,18.2165734,-65.9183756
720459517001,18.2496825,-66.1939017
720459521003,18.2023587,-66.2195791
720597404002,18.0229402,-66.8092835
720597402001,18.0306401,-66.7789463
720054001002,18.4926968,-67.1008563
720054001003,18.5015922,-67.0925722
720054008001,18.4365406,-67.1556701
720054010001,18.4276743,-67.1540219
720054008002,18.4314681,-67.1536317
720054001005,18.4986791,-67.1019131
720054013023,18.4606953,-67.1170159
720054013024,18.4528116,-67.1306105
720054003001,18.4998509,-67.1380674
720054013021,18.4822942,-67.0804949
720054004003,18.4666177,-67.1568967
720775003013,18.2246217,-65.9109319
720775003011,18.2208178,-65.892258
