GEOID,LAT,LNG
460359628005,43.7137104,-97.9967252
460359628006,43.7034169,-97.9913664
460359629002,43.7061872,-98.0414047
460359629001,43.6898348,-98.0582191
460359626001,43.6804871,-98.2555204
460359627004,43.7510681,-98.0456979
460499611001,45.0548448,-99.1328697
460499611003,45.0057822,-99.0934415
460499611002,45.1732716,-99.2274492
460119589002,44.3161591,-96.7831302
460119588021,44.3031575,-96.8149816
460119588025,44.311699,-96.7914713
460119588022,44.3152108,-96.7956547
460119588024,44.3451128,-96.814436
460119589005,44.3397837,-96.7734879
460119587004,44.2466085,-96.9384689
460119586001,44.4615642,-96.6057885
460119587001,44.4032572,-97.0214913
460119586004,44.2539239,-96.4998609
460119587003,44.3187117,-96.9284276
460119586003,44.2446029,-96.649193
460119586002,44.3422004,-96.61833
460990018034,43.5075538,-96.676347
460990010012,43.5546198,-96.8012855
460990010011,43.5528704,-96.7885468
460990104052,43.5958566,-96.7591089
460990018031,43.5239366,-96.6576236
460990018041,43.5211297,-96.6685751
460990011052,43.5068509,-96.8169139
460990011081,43.5114187,-96.7955967
460990011012,43.5041114,-96.7613961
460990011051,43.5119161,-96.8058041
461359663024,42.873534,-97.4082033
461359663021,42.8993491,-97.4034515
461359663012,42.9053082,-97.4732082
461359663011,42.8640815,-97.4533497
460990011061,43.5189891,-96.8063771
460990105013,43.6018674,-96.5821136
460990105022,43.5771421,-96.5514391
460990104061,43.5660503,-96.8589759
460990011062,43.5282305,-96.8237619
460990010013,43.5471317,-96.8186047
460990002022,43.5502514,-96.7563307
460990001004,43.5624888,-96.72632
460990001003,43.5687263,-96.7261463
460990004081,43.5698138,-96.6655964
460990105021,43.5789039,-96.5961308
460990104043,43.6379285,-96.6418796
460990103002,43.5796907,-96.9602337
460990011084,43.5045364,-96.788205
461359662004,42.8837464,-97.3299142
461359661001,42.8763206,-97.3873029
461359661002,42.8777959,-97.3981551
461359661003,42.8708888,-97.3983044
461359661004,42.8690789,-97.3866432
461359662003,42.8811837,-97.3812527
461359663022,42.88207,-97.3918679
461359662002,42.8870652,-97.3821436
461359663023,42.8869785,-97.4035602
461359662001,42.9210122,-97.3764014
461359664005,42.8753608,-97.2152811
461359664003,42.9593615,-97.5858733
461359664002,43.0762326,-97.4893592
461359664004,42.9598271,-97.2692504
461359664001,43.089437,-97.2894215
461299651001,45.5147666,-100.0072143
461299652001,45.5590283,-100.3973972
461299652004,45.5239244,-100.4098197
461299652003,45.5372894,-100.4575454
461299652002,45.5593482,-100.4440396
461299651002,45.4126622,-100.007132
460479642001,43.465497,-103.5379069
460479642002,43.4457432,-103.4161858
460479641002,43.2862633,-103.8240836
460479642003,43.4070734,-103.4642301
460479641003,43.3472897,-103.1925324
460479641001,43.1199759,-103.4262367
460179402002,44.041621,-99.1585595
460179402001,44.1021758,-99.4172926
461119621002,44.0535032,-98.2716971
461119621003,44.0316819,-97.9610388
461119621001,44.0050707,-98.1936599
460739741001,44.0634157,-98.6231878
460739741002,44.0805267,-98.5715321
461270201002,43.0487333,-96.6445779
461270203002,42.528461,-96.5252873
461270203003,42.5571505,-96.557357
461270202003,42.6779159,-96.6756404
461270202002,42.6963625,-96.6831907
461270203001,42.6124382,-96.6158899
461270202001,42.7384901,-96.7022945
461270201003,43.025778,-96.6280243
461270201001,42.916513,-96.6763904
460979616003,43.9290346,-97.6204218
460979616001,44.0153041,-97.52032
460979616002,44.1021716,-97.6137649
