GEOID,LAT,LNG
56001000115,41.51938775316375,-105.54436252466932
56001000113,41.99355316377336,-105.527908057263
56001000114,41.759348814701454,-105.39926435462822
56001000121,41.27466826300358,-105.69081832486681
560010041-1,41.32219056109923,-105.57198683087346
56001000515,41.307690749012345,-105.64847609046805
56001000602,41.29079467368323,-105.58336284232523
56001000514,41.30372788541538,-105.6322767474312
56001000501,41.29965257541711,-105.58888303521447
56001000601,41.30233370954511,-105.55792507486176
56001000512,41.31168780598802,-105.58892631499788
56001000516,41.3151684825559,-105.60135959236135
56001000313,41.31402190044624,-105.58289533513886
560010041-4,41.31162493288426,-105.57065103894445
56001000314,41.3040367655879,-105.58247599035607
56001000614,41.302977278282455,-105.54361196303459
56045000503,43.848529467270765,-104.22473181855077
56045000101,43.65733777519231,-104.54375133864407
560450002-1,43.990417094714815,-104.22609807361493
56045000301,43.994025430800974,-104.79834057260243
56045000201,43.97372292509154,-104.43807125640225
56045000501,43.84989665990881,-104.19223508967518
56045000502,43.86035558446491,-104.20591174824993
56045000401,44.10380962340262,-104.63636548251594
56041000302,41.410214248196745,-110.18526025709107
56041000403,41.125616350156584,-110.30102519353895
56041000402,41.272123920637995,-110.33445309336096
56041000301,41.327808454921694,-110.29604190466362
56041000401,41.4290977973709,-110.44850349403265
56041000201,41.28675864012932,-110.80142846788247
5604102-1-2,41.0376560455264,-110.56404688502126
56041000103,41.27045699378894,-110.94879168605499
56041000101,41.25814682760246,-110.98383573045315
560410002-2,41.38529420477871,-111.02719390985982
56041000102,41.24755805400138,-110.95942594728103
560390005-1,43.88858042556536,-110.94924697379977
560390004-3,43.55637232980407,-110.94138227542814
560390004-1,43.4073856006926,-110.94154086485008
560390002-1,43.61401069994603,-110.42563241045822
560390001-3,43.49960226526004,-110.5766240694012
560390001-1,43.43200123360073,-110.76442367774496
560390004-4,43.59015946079993,-110.82693056643714
56039001-10,43.3557188787773,-110.55012563754849
560390001-9,43.46912554608296,-110.78672074402809
560390004-2,43.531757935418874,-110.83465645795502
560390001-6,43.46175883022182,-110.80336874397193
560390001-7,43.43277925146763,-110.79278161209965
560390001-4,43.482176917499196,-110.75764186401578
560390001-2,43.47467341670339,-110.75701211710694
560390001-5,43.47635784982635,-110.76919736489744
560390001-8,43.47354116776622,-110.74562842099047
56039001-11,43.470020407945036,-110.80668961013045
560390003-1,44.17392661775258,-110.55396071143122
56001004131,41.310181241429724,-105.5493073609679
56001000312,41.32694090470872,-105.58394267513415
56001000301,41.32185832143121,-105.5935330634782
56001000122,41.09698567657913,-105.95493552438111
56001000402,41.32078625016736,-105.54796727541769
56001000511,41.311679695024175,-105.59438821502387
56001000104,41.80366099830454,-105.92443481960122
56001000112,42.23256271163307,-105.84512168021011
56001000111,42.272487260605885,-105.38367691841583
560010041-2,41.32132421701972,-105.5623525287978
56001000103,41.25905145658031,-106.19853970729118
5603302-03s,44.81361680561843,-107.00475206169337
56043000503,44.01658621554713,-107.97023221726496
56043000502,44.011812537974336,-107.94181735315964
56043000301,43.8422741512091,-107.40387538193448
56043000505,43.989659909388905,-108.06022008141449
56043000501,44.02088207436734,-107.94199144184685
56005007-01,44.815183692378504,-105.77452390166901
56005002-01,44.43141529981784,-105.415118197227
56005018-01,44.31956888155584,-105.39876151444032
56005006-01,44.50681167292458,-105.60752504581454
56005001-01,44.2998916092812,-105.4973495678494
56005001-07,44.286253935465346,-105.49859650028777
56005003-01,44.35978589216256,-105.84022640738159
