GEOID,LAT,LNG
020130001003,55.1339949,-160.0654781
020130001001,54.8044843,-164.1232321
020130001002,55.6022424,-161.1785924
022400001002,63.3288523,-143.0375432
022400004002,64.0602627,-145.6935287
022400004004,63.9042845,-146.2097435
022400004003,63.6515022,-145.5184699
022400004001,64.2816622,-144.8653662
022400001001,63.8450778,-142.6414889
022700001001,62.6955471,-163.8007234
022700001004,61.5828785,-164.7805784
022700001003,62.2831737,-163.1909497
022700001002,62.0992941,-161.3905377
021850002001,69.2054589,-163.0582219
021850002002,70.3102318,-157.316447
021850002003,68.8271574,-150.3710383
021850001001,71.2498405,-156.4686577
021850001002,71.1745162,-156.8847212
021850003001,70.1018857,-149.8673597
020700002003,58.9684381,-158.6734247
020700001003,59.1442329,-160.2713487
020700001002,59.2440972,-158.3926914
020700002002,59.0546197,-158.4556083
020700001001,60.4291701,-158.0486786
020700002001,59.1334826,-158.6888572
021300003001,55.352686,-131.6438894
021300001005,55.4499378,-131.1066847
021300002003,55.3485273,-131.6651429
021300002002,55.3715161,-131.6695939
021300004002,55.3572448,-131.5114769
021300001004,55.4673187,-131.7853232
021300004001,55.3284717,-131.5933808
021300001003,55.4138439,-131.7468294
021300001001,55.3959068,-131.7129799
021300003002,55.3415801,-131.6486253
022300001001,59.5750974,-135.3354181
021300003003,55.3392376,-131.6259567
021300002001,55.3538666,-131.6783453
021300001002,55.4512351,-131.8041898
021050003003,57.5447765,-134.1338999
021050003002,58.0735321,-135.513003
021050003001,58.621697,-136.5079155
021500002002,57.8129403,-152.3928172
021500003001,57.7955082,-152.4920197
021500002001,57.8120885,-152.3497578
021500005001,57.7679505,-152.5959068
021500004001,57.7783252,-152.4061242
021500001002,58.2198476,-152.633146
021500001003,57.5568138,-152.591503
021500001001,57.4463355,-154.3248119
021500002003,57.8058853,-152.3731606
021500003002,57.7944123,-152.3948387
021880001004,66.392173,-159.6756754
021880001005,65.7639053,-162.2433392
021050002001,59.398162,-135.8895065
021880002002,66.8971257,-162.5889819
021880002001,66.8979378,-162.5953455
021880001003,67.1337595,-157.1967623
021880001002,67.5223131,-160.4395368
021880002004,66.668931,-162.106019
021880001001,67.5761987,-163.5915111
021880002003,66.8944538,-162.5887491
022200001004,57.05628,-135.2937834
022200002006,57.0451454,-135.3522511
022200002004,57.0286133,-135.342637
022200002005,57.055813,-135.348414
022200002003,57.0709516,-135.313477
022200001002,57.1206399,-135.3001191
022200002001,57.0590147,-135.3819319
022200002002,57.059976,-135.3440648
022200001003,57.0864305,-135.3831468
022200001005,57.0501767,-135.1402706
022200001001,57.1932044,-135.3673965
021980002003,55.488253,-133.1433044
021980001003,55.0890817,-132.7930625
021980002002,55.4489213,-133.0037908
021980001002,55.6481306,-132.461421
021980003001,55.9547008,-130.1839812
021980001001,55.8444785,-133.2831817
021989401001,55.1273361,-131.5843016
021989401002,55.1185787,-131.5853594
021989401003,55.1380691,-131.4707407
021980002001,55.5502037,-132.9459331
020900013002,64.9291363,-147.720975
020900013003,64.8997378,-147.7944941
020900013004,64.884598,-147.8674283
020900013001,64.8797269,-147.7446144
020900012002,64.8941864,-147.6400304
020900012003,64.9110921,-147.656438
020900012001,64.8842896,-147.5543008
020900016004,64.7304189,-147.2957314
020900007003,64.830121,-147.8060264
020900007002,64.8336035,-147.8046556
020900005001,64.8584828,-147.7231733
020900005002,64.8497053,-147.7410642
020900004004,64.8389604,-147.6936649
020900004002,64.8474299,-147.6897395
020900004001,64.8520016,-147.6753902
020900004003,64.8428622,-147.674946
020900003003,64.8291702,-147.7146852
020900003004,64.8228883,-147.7188862
020900003002,64.8256475,-147.7370069
020900003001,64.8338061,-147.729857
020900002001,64.8421669,-147.7378889
020900011001,64.5258294,-147.9815458
020900010001,64.8195373,-147.8548387
020900010002,64.8006805,-147.7553438
020900009001,64.8138521,-147.9386883
020900009002,64.7896981,-148.0093445
020900018002,64.6732383,-147.0593454
020900006001,64.8578403,-147.7538721
020900007001,64.839308,-147.7914997
020900006002,64.8533659,-147.789744
020900002002,64.8330408,-147.7588449
020900001002,64.8399677,-147.7282154
020900001001,64.8407593,-147.7100107
020900013005,64.8691334,-147.8426244
020900008004,64.8335718,-147.8668615
020900008003,64.8381687,-147.8559409
020900008001,64.8439289,-147.8199496
020900008002,64.8459401,-147.8494297
020900006004,64.8555753,-147.8004679
020900006003,64.8591376,-147.7841151
020900019001,64.7778813,-145.8346514
020900019004,64.9911862,-148.2361582
020900019003,65.1888859,-146.8587332
020900019002,64.9207194,-147.4612013
020900019005,64.8796823,-147.9899434
020900018001,64.6910723,-146.6142449
020900017001,64.5700966,-146.9408872
020900017002,64.5528318,-145.7004439
020900016002,64.7588415,-147.4147865
020900016001,64.7740014,-147.3821629
020900016003,64.7496589,-147.338603
020900015002,64.7835093,-147.3245587
020900015004,64.7468663,-147.2889312
020900015006,64.7163687,-147.1666273
020900015003,64.7700179,-147.314028
020900015005,64.7673603,-147.1835037
