GEOID,LAT,LNG
040131166123,33.3631812,-112.1261809
040131166122,33.38502,-112.1206984
040131166121,33.3847236,-112.1274243
040131166112,33.3417503,-112.1529248
040131166111,33.358242,-112.1596693
040131166102,33.3711938,-112.1485436
040131166101,33.3665502,-112.1604744
040131166092,33.3514411,-112.1770594
040130614021,33.4240038,-112.3531193
040130611003,33.5376621,-112.3481703
040130611002,33.5423571,-112.3509967
040136147002,33.6768816,-112.1062132
040136147001,33.6871044,-112.0736156
040136144002,33.6747011,-112.1464762
040136143003,33.6729415,-112.1825392
040136142003,33.6744907,-112.1902441
040136142002,33.6757411,-112.1964132
040130609021,33.6111019,-112.334295
040130609013,33.6149413,-112.3349254
040130609012,33.6182755,-112.3359255
040130609011,33.6216691,-112.3347142
040130608022,33.6162742,-112.3107308
040130608021,33.6270731,-112.3165578
040130608015,33.6266284,-112.3381361
040130608014,33.6351944,-112.3196754
040130608013,33.6351043,-112.3359792
040130608012,33.6296372,-112.3269427
040130608011,33.6289732,-112.3323755
040130507023,33.3693878,-112.5684635
040131096023,33.4973122,-112.2163916
040131096031,33.5004421,-112.2263507
040131096033,33.5071024,-112.2250644
040131096041,33.5065629,-112.2143381
040131096042,33.5049534,-112.2070267
040131097011,33.4930111,-112.2054079
040131097012,33.488496,-112.2080536
040131097013,33.4832747,-112.2071503
040131097021,33.4907771,-112.2332312
040131097022,33.4832826,-112.2349141
040131097031,33.4835414,-112.2160243
040131097041,33.4894583,-112.2243425
040131097051,33.4824354,-112.2237011
040131098021,33.4913812,-112.1907679
040131098022,33.4856684,-112.1910853
040134202121,33.4591346,-111.6883159
040134212013,33.4282247,-111.872216
040134221044,33.4041606,-111.8839129
040133194032,33.3972396,-111.8972641
040133194033,33.39505,-111.9070588
040133194031,33.4038027,-111.9066869
040133195004,33.3986197,-111.9129765
040133194015,33.3801503,-111.9228926
040133194014,33.3831613,-111.9172816
040133199021,33.3752227,-111.9335892
040133198002,33.3819087,-111.9414548
040134222042,33.386359,-111.8693476
040130719103,33.590562,-112.2247292
040131042123,33.5999593,-112.146963
040132168163,33.5885008,-111.9021028
040131032163,33.631721,-111.9746089
040131035023,33.6005849,-112.0175177
040131035012,33.6226063,-112.0183945
040131032142,33.622477,-111.9516615
040131032103,33.6091789,-111.989698
040131032106,33.6013929,-111.9862706
040130715121,33.6064377,-112.2332573
040130715103,33.6007785,-112.2068654
040131049003,33.5897903,-112.0087869
040131117004,33.4766106,-112.0607245
040131104002,33.4840549,-112.087229
040131078001,33.5259577,-112.0198253
040131077003,33.5129165,-112.045936
040131051024,33.5427016,-112.0428183
040131077004,33.5195164,-112.0439161
040131077001,33.5206293,-112.0357646
040131077005,33.5110578,-112.0416641
040131106003,33.4922662,-112.0607559
040131036052,33.6167663,-112.0804451
040134225121,33.3392995,-111.743981
040139807001,33.6921146,-111.7598427
040132174001,33.4886735,-111.9485623
040131167041,33.3729985,-111.981558
040133190002,33.4093424,-111.9354092
040131089023,33.5073304,-112.0866257
040132174003,33.4765264,-111.9478405
040131036051,33.6177229,-112.0918697
040131156001,33.3994726,-112.1078245
040131033024,33.6245759,-111.9981814
040131033021,33.6224932,-112.0043945
040131167101,33.3304661,-112.0069578
040134203041,33.4694918,-111.7445955
040131148001,33.420389,-112.0954589
040131149002,33.4329935,-112.0780451
040131118001,33.476746,-112.0693539
040131149001,33.4276575,-112.072561
040130715092,33.6224697,-112.2261573
040134222131,33.3607889,-111.8806895
040138144002,33.3299332,-111.7839524
040138144001,33.3258642,-111.7778203
040138141003,33.2149371,-111.758625
040138141002,33.2149806,-111.7667766
040138141001,33.2079908,-111.7649369
040138140003,33.2164922,-111.7774802
040138140002,33.2087354,-111.7774273
040138140001,33.2118154,-111.7853331
040136137001,33.6775092,-112.259436
040136136003,33.6701525,-112.2679845
040136136002,33.6704104,-112.2763234
040136136001,33.6884142,-112.2707574
040136135002,33.6708322,-112.2849457
040136135001,33.6854081,-112.2832145
040136134002,33.687197,-112.28912
040136134001,33.678885,-112.2970678
040134207041,33.4245059,-111.7644745
040134206023,33.4335278,-111.7751777
040134206022,33.4336363,-111.7836664
040134205042,33.4404011,-111.811931
040131173001,33.420063,-112.1144023
040131171002,33.4993576,-112.0813885
040131170001,33.4879741,-112.102714
040131167312,33.2953007,-112.0925853
040131167141,33.2989129,-112.0188464
040131167081,33.3352678,-111.9865225
040134201081,33.4796106,-111.640471
040134201073,33.4862955,-111.6678147
040134201072,33.4871906,-111.65877
040134201071,33.4749356,-111.6758777
040134201053,33.4423033,-111.6778973
040134201042,33.4305931,-111.6661114
040133200024,33.3682083,-111.9605304
040132168373,33.585274,-111.8297091
040132168372,33.5894003,-111.8417131
040132168371,33.5934249,-111.8368815
040132168333,33.5774398,-111.8471795
040132168332,33.5706817,-111.8468015
040132168331,33.5707968,-111.8642396
040132168302,33.5858054,-111.9347798
040132168301,33.5785607,-111.9348244
040132168293,33.7883548,-111.8201567
040132168292,33.7354152,-111.8402253
040132168264,33.5928889,-111.8775768
040132168263,33.5854934,-111.8785606
040132168262,33.5936698,-111.8859959
040131166091,33.3739039,-112.1774717
040131166082,33.3671923,-112.2025579
040131166081,33.3739226,-112.2139989
040131166071,33.3992932,-112.1235099
040131166063,33.384877,-112.1380338
040131166062,33.3811364,-112.1467257
040131166061,33.3883614,-112.1466353
040131166052,33.3847873,-112.1554573
040131166051,33.3848526,-112.1640251
040131166042,33.3844744,-112.1718444
040131166041,33.3849613,-112.1802908
040136142001,33.6906119,-112.1940148
040136141004,33.6769141,-112.2076956
040136141003,33.6700379,-112.2081874
040136141002,33.6777709,-112.2168491
040136141001,33.6723874,-112.2212587
040136140003,33.6933268,-112.2130235
040136140002,33.6854104,-112.216835
040136140001,33.6872498,-112.2072832
040130507022,33.3667823,-112.5965243
040134201101,33.4571946,-111.6039439
040133201001,33.4435312,-111.9429174
040131172002,33.4340848,-112.0586525
040131172001,33.4255341,-112.0462454
040131171001,33.4995231,-112.0691809
040131099002,33.4931583,-112.180314
040131099003,33.4853419,-112.1822934
040131099004,33.489559,-112.173716
040131123021,33.4769866,-112.1671248
040131124012,33.4768873,-112.1821063
040131124021,33.4696048,-112.1821006
040131125021,33.4695053,-112.1992196
040131125022,33.4679159,-112.1909114
040131125031,33.4767598,-112.2076365
040131125032,33.4695101,-112.2076238
040131125033,33.4765951,-112.2163114
040131125041,33.4764821,-112.1952395
040131125042,33.4791421,-112.1918778
040131125051,33.4642943,-112.1907691
040131125081,33.4570499,-112.2121093
040130506031,33.5764866,-113.0416254
040133199022,33.3730869,-111.9396719
040133196002,33.3965724,-111.9306078
040133195002,33.4003299,-111.9241059
040133196001,33.4038374,-111.9305906
040133200072,33.3751709,-111.9489455
040133196004,33.4037579,-111.939202
040133198001,33.3803136,-111.9361066
040133189002,33.4150578,-111.9541723
040133188004,33.4316824,-111.9481259
040133188003,33.4237297,-111.9565986
040133188002,33.4272906,-111.9566063
040133189003,33.4148908,-111.9498635
040133189004,33.4143665,-111.9455639
040131035013,33.6155415,-112.0173702
040131036122,33.6291087,-112.0695339
040131039002,33.5982322,-112.1054889
040131036151,33.5929681,-112.080164
040130927052,33.5418371,-112.2073847
040131064002,33.531409,-112.0455354
040130719061,33.5769017,-112.2493869
040131052002,33.556912,-112.0629649
040131036091,33.6150316,-112.112044
040130923082,33.5783264,-112.1558769
040131033022,33.6168596,-111.9996635
040131049001,33.5935074,-112.0001282
040131036071,33.6230313,-112.0347363
040131107021,33.4920757,-112.0372708
040131084005,33.4986291,-112.0237349
040131107022,33.4830477,-112.0350104
040131093001,33.5026473,-112.1581347
040131167021,33.3669276,-112.0695867
040131167123,33.2946204,-111.9885738
040134223011,33.3874495,-111.8107517
040134216022,33.4116568,-111.7914506
040134215012,33.4133102,-111.8119043
040131079002,33.5182571,-111.9848332
040134202092,33.4264723,-111.7061197
040132174004,33.483239,-111.9476106
040131079001,33.5100889,-111.960264
040131048024,33.5935332,-112.0313235
040132172011,33.4935568,-111.9293679
040132173002,33.4977407,-111.9409337
040131167202,33.317018,-111.9948258
040131155002,33.3957269,-112.1422553
040132170012,33.5129791,-111.9241003
040132172012,33.4944737,-111.9228055
040134202081,33.4267348,-111.7233654
040132177003,33.4839907,-111.9045938
040131162022,33.3902332,-111.9822764
040131035011,33.6225401,-112.02688
040131032093,33.587699,-111.957682
040131071021,33.5113736,-112.1469397
040131036081,33.6331644,-112.106917
040131032161,33.6368909,-111.9646308
040131032172,33.6311931,-111.9472703
040131033041,33.6374147,-112.0171581
040131111003,33.4890357,-111.9719577
040131032072,33.6031806,-111.9328044
040138139003,33.2072839,-111.7965851
040138139002,33.2127794,-111.79549
040138139001,33.2155973,-111.8022053
040138138003,33.2149366,-111.8110513
040138138001,33.2082633,-111.8098887
040138137002,33.2120156,-111.8468814
040138137001,33.2097621,-111.8545164
040136133005,33.7244177,-111.9916294
040136133004,33.7230443,-111.9838087
040139806001,33.3410684,-111.6172105
040134226443,33.3562077,-111.5929314
040134226442,33.3706187,-111.592504
040134226441,33.3726584,-111.6101472
040134226432,33.3571842,-111.6098778
040134226431,33.3577877,-111.6276606
040134226423,33.3681128,-111.6208125
040131152001,33.4094651,-111.9810597
040131135011,33.4601791,-112.0219788
040131129003,33.4538068,-112.0883249
040131115023,33.4690972,-112.0148963
040131112031,33.4534134,-111.9746086
040131110005,33.4885336,-111.9812863
040131110003,33.4840285,-111.9912334
040131109011,33.4915372,-112.0085759
040131108022,33.4836476,-112.0245617
040131108021,33.4847633,-112.0165288
040131106001,33.4887152,-112.0605522
040131105022,33.4838713,-112.0694237
040131105021,33.4911538,-112.0694162
040131105013,33.4839477,-112.0784378
040131105012,33.4912636,-112.0807609
040131105011,33.491181,-112.0759903
040131092002,33.5017728,-112.1362572
040133200023,33.3600907,-111.9598015
040133200014,33.3615247,-111.9495702
040133198005,33.3829178,-111.9319575
040133198004,33.3892317,-111.9415136
040133194034,33.4053117,-111.8988716
040133192021,33.412926,-111.9003218
040133192014,33.4205719,-111.9048287
040133192013,33.4164831,-111.896109
040133192011,33.4199646,-111.8958814
040133191044,33.4087283,-111.9222376
040133191042,33.4095297,-111.9152418
040133190004,33.4182892,-111.93266
040133190003,33.4185221,-111.9411822
040132175021,33.4894042,-111.9325864
040132175013,33.4833489,-111.9395584
040132168223,33.7430649,-111.9095798
040131073003,33.513174,-112.1092542
040131063002,33.5423277,-112.0525558
040131045011,33.5681853,-112.091831
040131036093,33.617596,-112.103418
040130610161,33.5009531,-112.4355232
040130609043,33.5982398,-112.3093249
040130506111,33.4049636,-112.5459907
040130506091,33.4559811,-112.5342679
040130506071,33.380376,-112.6347908
040130405181,33.8868599,-112.5539066
040130405161,33.7037208,-112.7319754
040131166032,33.3858851,-112.1992335
040131166031,33.3834224,-112.217892
040131162053,33.3800267,-111.9848889
040131162033,33.3856605,-112.0214399
040130715161,33.6041372,-112.2574962
040130610241,33.4177646,-112.4008787
040130610191,33.4047643,-112.4178748
040130610122,33.4536552,-112.360226
040130507021,33.3746105,-112.590118
040136139001,33.6892208,-112.2295223
040136138002,33.677557,-112.2460816
040136133001,33.7240713,-111.9484242
040136128001,33.7467963,-111.9875678
040136127002,33.7615028,-111.9833961
040136126001,33.7633357,-111.9893706
040136118004,33.7094156,-112.1392603
040136118002,33.7091071,-112.1479748
040131170003,33.4840184,-112.1092501
040131170002,33.4886581,-112.1119801
040131169001,33.4884085,-112.1233562
040131168002,33.4732449,-112.1084986
040131168001,33.458521,-112.1087067
040131138012,33.4478223,-112.0215421
040131135021,33.4549334,-112.0171819
040131135012,33.4641748,-112.0210577
040131125092,33.4635125,-112.227911
040131109022,33.4888392,-111.9984497
040131109021,33.4861814,-112.002024
040131109012,33.4841678,-112.0085609
040131108013,33.4915282,-112.0151124
040130506032,33.4607955,-113.0690991
040130506033,33.2018768,-113.0652524
040139407001,32.5695914,-112.4175441
040131072012,33.5136278,-112.120131
040131126023,33.460182,-112.1475221
040131122012,33.4688118,-112.1388095
040131121002,33.4695547,-112.1301011
040131126011,33.4647077,-112.1481577
040131126021,33.4576874,-112.1375764
040131121001,33.4757349,-112.1248914
040131123022,33.4767737,-112.1633352
040131123012,33.4690889,-112.1657484
040133184001,33.4476431,-111.9221824
040133189001,33.4143698,-111.9584431
