GEOID,LAT,LNG
051310006001,35.4059287,-94.3534414
051310005023,35.3890789,-94.3776017
051310005021,35.3992433,-94.3832831
051310005022,35.3975976,-94.3707324
051310006004,35.3599746,-94.3675692
051310006002,35.3733561,-94.3685409
051310006003,35.366852,-94.3572729
051310007004,35.3767935,-94.3962922
051310007003,35.3826304,-94.3887424
051310007002,35.3804042,-94.3964582
051430105041,35.9776114,-94.325445
051430105071,36.0812578,-94.2028497
051430113001,36.0605964,-94.1635434
051430101073,36.0901229,-94.1310681
051430104014,36.1926142,-94.1515057
051430106003,36.0734594,-94.1836914
051430103021,36.1741248,-94.1212027
051430113005,36.0588248,-94.1800194
051310007001,35.3840896,-94.3981944
051310008005,35.3733021,-94.4060299
051310008004,35.3764017,-94.4092686
051310008003,35.3804672,-94.4090471
051310010011,35.3700706,-94.410874
051310011011,35.3657785,-94.3940422
051310011012,35.3701759,-94.3777361
051310011022,35.3499289,-94.3586593
051310011014,35.3536591,-94.3789198
051430103024,36.1738225,-94.1069475
051430103014,36.1607611,-94.1378183
051430101063,36.1276785,-94.1299522
051430101074,36.0900784,-94.1505922
051430104023,36.1796069,-94.1544521
051430105072,36.1045648,-94.201894
051430107012,36.0738659,-94.1716807
051430113004,36.0673369,-94.1758342
051310011013,35.3602977,-94.3855167
051310012011,35.3480021,-94.423421
051310012012,35.3479062,-94.4148778
051310011023,35.3363097,-94.3632541
051310012021,35.3318592,-94.4189947
051310012013,35.34263,-94.4020122
051310012023,35.3336763,-94.3979133
051310013054,35.3365208,-94.3296594
051310012022,35.3327957,-94.4057907
051310013011,35.3614529,-94.334399
051310013012,35.3491504,-94.3483639
051310013013,35.3538215,-94.3321039
051310013032,35.3183703,-94.4103591
051310013042,35.305502,-94.4009616
051310013052,35.3533897,-94.3184628
051011802001,35.9059887,-93.0562527
051011802002,35.8124907,-93.1885093
051011802004,35.8851384,-93.4427728
051011801002,36.052831,-93.0245202
051011801003,36.0792863,-93.3056432
051011801001,36.0383955,-93.2119689
051011802003,35.9421857,-93.2652627
051310013053,35.3466218,-94.3163222
051310013051,35.3487516,-94.3291908
051310008001,35.3792355,-94.416689
051310008002,35.383888,-94.4071024
051310010015,35.3536034,-94.4176879
051310010014,35.3593266,-94.4170046
051310010022,35.3513922,-94.4025981
051310010021,35.3583188,-94.4048175
050850208002,34.5473979,-91.7266373
050850201012,35.0507938,-92.0137106
050850201011,35.0291031,-92.0659054
050850203012,34.8202032,-91.9994002
