GEOID,LAT,LNG
060530107013,36.6007541,-121.7026925
060530107011,36.5638185,-121.6697325
060530108042,36.4990122,-121.4841399
060530009001,36.6705248,-121.6316814
060530009003,36.6679218,-121.6217053
060530015001,36.656457,-121.6749086
060530017001,36.6768266,-121.6699047
060530102023,36.8498353,-121.6590116
060530146013,36.8726547,-121.7077116
060530146011,36.872127,-121.7339848
060530101012,36.8633033,-121.7816321
060530143021,36.7093536,-121.771688
060830020112,34.9053343,-120.4616815
060830020113,34.8934029,-120.4824996
060830016012,34.4070298,-119.5219915
060830016011,34.4097249,-119.5331497
060830016013,34.4016282,-119.5054698
060830011021,34.4158018,-119.7159183
060830018001,34.7776482,-119.71774
060830023042,34.9585304,-120.4424326
060830023044,34.9550617,-120.4470998
060830024021,34.9351036,-120.4403103
060830024024,34.9254513,-120.4381136
060830024023,34.9303101,-120.4391148
060830024031,34.9515107,-120.4449965
060830024033,34.9478215,-120.4492524
060830024042,34.944654,-120.4492536
060830024044,34.941044,-120.4516399
060830024043,34.9409845,-120.4472059
060830024041,34.9422557,-120.4403923
060830019011,34.743731,-120.1907893
060830019012,34.7201957,-120.2712917
060830019013,34.6338785,-120.211743
060830019031,34.6322051,-120.1290013
060530143022,36.6861484,-121.7898384
060530104001,36.7717407,-121.7565769
060530104004,36.7692908,-121.7608187
060530105051,36.7282078,-121.6464304
060530106031,36.7044905,-121.6164045
060530125022,36.6147944,-121.8988763
060530127002,36.6009148,-121.8910716
060530128002,36.5948865,-121.9178475
060530148001,36.5880033,-121.3989085
060530107022,36.5459225,-121.7007658
060530110003,36.324637,-121.6658942
060830026041,34.6780677,-120.4865233
060830028086,34.6937876,-120.4689658
060830027031,34.6444658,-120.4405568
060830028021,34.6591761,-120.442997
060830028022,34.6628892,-120.4522837
060830028062,34.6457337,-120.4801053
060830028081,34.7368015,-120.4579745
060830019032,34.604633,-120.1265848
060830019034,34.6011806,-120.1591334
060830019051,34.70434,-120.0260903
060830019053,34.6375562,-120.0778689
060830019052,34.6620444,-120.1136809
060830019065,34.5975528,-120.0782043
060830019061,34.6172434,-120.0774841
060830019062,34.6214678,-120.0937119
060830019063,34.6208117,-120.1063248
060530124023,36.6270583,-121.9343912
060530124011,36.622666,-121.9126325
060530119004,36.6033858,-121.9502736
060530111012,36.4238452,-121.3129817
060530111021,36.4300019,-121.3197869
060530112021,36.3200603,-121.2382675
060530112032,36.3149178,-121.2423465
060530112041,36.3445599,-121.2467936
060530112042,36.3146428,-121.2584505
060530112033,36.3213097,-121.2508226
060530114001,35.9761425,-120.697053
060530113031,36.1770603,-121.2767662
060530112031,36.3204887,-121.2436424
060530112023,36.32693,-121.2324099
060530113032,36.201397,-121.1298889
060530113023,36.2088274,-121.1257118
060830028082,34.7017434,-120.4459318
060830028091,34.6753173,-120.3764377
060830028093,34.6874268,-120.4342033
060830028092,34.7049992,-120.430768
060830028094,34.6795332,-120.4448876
060830027024,34.641519,-120.4711388
060830027025,34.6455357,-120.4711256
060830027021,34.6430433,-120.4597437
060830027032,34.6418985,-120.4499443
060830027023,34.6414846,-120.4642617
060830027022,34.6454979,-120.4642168
060830011011,34.4229601,-119.7237655
060830027052,34.6502583,-120.4622042
060830027053,34.648744,-120.4710729
060530113042,36.2277326,-121.1469137
060530113043,36.2203878,-121.1346745
060530116041,36.4997312,-121.871267
060530140001,36.6152554,-121.848484
060530133002,36.6072028,-121.8628717
060530132002,36.5830558,-121.8657946
060530130002,36.5989147,-121.8768849
060530120001,36.6020614,-121.9314606
060530132001,36.5623469,-121.8059271
060830027063,34.648573,-120.4520438
060830027062,34.6485035,-120.4445454
060830027061,34.6528825,-120.4453383
060830027064,34.6517462,-120.4520065
060830027065,34.6501953,-120.456462
060830027071,34.6349912,-120.4597887
060830027072,34.6357701,-120.4643071
060830027073,34.6366579,-120.4711969
060830027083,34.6322572,-120.4479095
060830027082,34.6356324,-120.4491663
060830027081,34.6380914,-120.449127
060830028023,34.6618871,-120.4648522
060830028024,34.6572512,-120.4709195
060830028061,34.6575126,-120.4798985
060830019033,34.590878,-120.1357738
060830019035,34.5928036,-120.1448014
060830023062,34.9856417,-120.4407859
060830023063,34.9791846,-120.4435212
060830023061,34.9805194,-120.4362306
060830023064,34.9769533,-120.4662189
