GEOID,LAT,LNG
080710004003,37.1566539,-104.5108333
080710004002,37.0676482,-104.4800225
080710003002,37.1079253,-104.9553433
080710001001,37.3382825,-104.80425
080710001002,37.2655045,-104.6180493
080710001003,37.1881526,-104.5049711
080710003003,37.0699784,-104.5813061
080710004001,37.1595,-104.4985583
080710008001,37.3799686,-103.8162865
080710005002,37.1262754,-104.4299959
080710008003,37.2391756,-104.224569
080519638001,38.8798858,-106.9340539
080219748002,37.0729232,-105.9021672
080219748001,37.1778532,-105.9689811
080219749003,37.1953144,-106.34935
080219749004,37.3085762,-106.0091084
080219749002,37.2786043,-105.8081166
080519638003,38.862885,-106.9674713
080519636003,38.4891041,-106.611525
080519636002,38.6055392,-106.5433969
080519636004,38.4645102,-106.9295556
080519636005,38.5276898,-107.0330725
080519637003,38.5454428,-106.9461154
080519637002,38.552874,-106.930945
080519637001,38.5517614,-106.9139059
080519637004,38.5454748,-106.9310992
080519639001,38.9487481,-107.3227883
080519636001,38.8086751,-106.6779585
080519636007,38.6119502,-106.8438598
080519636006,38.7135792,-107.03434
080519638004,38.8700927,-106.9858734
080219749001,37.2465863,-105.9100988
080519639002,38.4052408,-107.2882687
080519638002,38.9084875,-106.9585767
080519638005,38.8267485,-106.845964
080519636008,38.5800823,-106.9239124
080519637005,38.537395,-106.9215481
080439784002,38.4434816,-105.2183061
080439785002,38.4775693,-105.22875
080439785001,38.4892637,-105.2422284
080439785004,38.4554492,-105.2416954
080439783001,38.5470428,-105.1640386
080439784001,38.4376553,-105.1821564
080439786002,38.4484289,-105.2420941
080439788002,38.4354503,-105.2297461
080439788003,38.4286855,-105.231552
080439783002,38.4525017,-105.2221282
080439785003,38.4589305,-105.2308019
080439786004,38.442987,-105.2361679
080439786003,38.440724,-105.2428004
080439786001,38.4498947,-105.2314279
080439792001,38.3896117,-105.3038183
080439790002,38.4084654,-105.908401
080439782001,38.4135025,-105.1015941
080439794001,38.3175394,-105.1010756
080439782003,38.3871906,-105.1222938
080439782002,38.3983846,-105.12491
080439781001,38.5459167,-105.0112675
080439781003,38.395366,-104.9934873
080439790001,38.3599695,-105.4681099
080439791001,38.4319954,-105.2085128
080439791002,38.4226685,-105.2209188
080439781002,38.4378366,-105.0523575
080439803001,38.4229877,-105.1550575
080439783003,38.4645588,-105.2130689
080439802001,38.3595311,-105.0979393
080439783004,38.4537324,-105.2109869
080370006001,39.4556053,-106.4583513
080370004011,39.7239811,-106.6180049
080370003021,39.4174652,-107.0035517
080370005033,39.6371848,-106.5373178
080370005031,39.6474152,-106.5438487
080370003011,39.376294,-107.0937738
080370003013,39.3871316,-107.0761317
080370002001,39.5315864,-106.8795211
080370002003,39.6433752,-106.9543
080370004032,39.5381643,-106.6942932
080370004022,39.5142517,-106.5836928
080370004031,39.7001032,-106.7667449
080370003012,39.4108923,-107.1019463
080370004021,39.6072967,-106.6366252
080370007031,39.7047882,-106.3626179
080370007011,39.6167557,-106.4120497
080370005022,39.5834877,-106.4804142
080370007021,39.6059221,-106.3286398
080370007032,39.6495928,-106.242665
080710003001,37.1793124,-104.7517414
080710002001,37.1677875,-104.5159307
080710002002,37.1782601,-104.5275898
080710005001,37.1684995,-104.5008018
080710002003,37.1764933,-104.5155845
080710008002,37.2853128,-104.4282229
080439801001,38.4403359,-105.2498074
080439781004,38.4249338,-105.0216682
080439788001,38.4271444,-105.2477079
080439790003,38.5468002,-105.6169488
080439791003,38.4076874,-105.1751994
080439792002,38.3980438,-105.2290492
080370007022,39.633842,-106.293822
080370004033,39.5680768,-106.8107312
080370005011,39.5339115,-106.5383643
080370005034,39.6575619,-106.475763
080370001001,39.774364,-106.7957919
080370005032,39.6495435,-106.5214412
080370003022,39.371222,-107.0283588
080370004012,39.7229934,-106.5387429
080370002002,39.6405173,-106.9214035
080370005021,39.6117173,-106.5026862
080299647002,38.9087587,-108.0173581
080299648002,38.755888,-108.0364873
080299648001,38.7676542,-108.0717803
080299648003,38.8111072,-108.2201822
080299647001,38.8594492,-107.9550102
080299647003,38.8024263,-107.9518708
080299651001,38.7010974,-108.0692227
080299651002,38.7370604,-108.0745567
080299649001,38.7161592,-107.9209361
080299650003,38.7963167,-107.6810066
080299650004,38.7368169,-107.6581827
080299650001,38.9264209,-107.7625587
080299650002,38.806956,-107.7717736
080299646004,38.8555923,-107.5272242
080299646001,39.0134026,-107.5895133
080299646003,38.8311591,-107.6312437
080299646002,38.8674975,-107.6053116
080299652001,38.9758791,-107.8324507
080299652003,38.908725,-107.9272731
080299652004,38.8943126,-107.9323641
080299652002,39.014718,-107.8904202
080010088013,39.8324335,-104.9156117
080010096042,39.830906,-105.0469048
080010096082,39.8081348,-105.0487541
080010097511,39.7983183,-105.0412999
080010089011,39.809069,-104.94656
080010600002,39.9698059,-105.0012846
080010085452,39.9327941,-104.9523375
080010601002,39.9334991,-104.99929
080010602001,39.9247561,-104.9911464
080010086063,39.9771837,-104.835875
080010086061,39.9818488,-104.8172629
080010086042,39.9901378,-104.8050117
080010086062,39.9747924,-104.8183926
080010086052,39.9757981,-104.8054053
080010082002,39.7572889,-104.83507
080010080001,39.7517505,-104.8502921
080010082001,39.7586812,-104.8236326
080010080002,39.7463029,-104.8508451
080010083092,39.7432668,-104.7870537
080010083082,39.7437737,-104.8147598
080010078022,39.7419946,-104.8493928
080690020073,40.389476,-105.0875
080690020082,40.3709913,-105.0919279
080690020051,40.3851717,-105.1022632
080690020052,40.3858056,-105.1115132
080690020081,40.3724009,-105.0798915
080690020071,40.3949322,-105.0738783
080690018043,40.4267796,-105.0926531
080690018044,40.4189825,-105.0867756
080299649003,38.7414432,-108.0573635
080299651003,38.7384393,-108.0661828
080299649002,38.723312,-108.0327042
080010084021,39.8800388,-104.0651933
080010085453,39.9394475,-104.9567215
080010084011,39.868945,-104.5180602
080010078011,39.7419971,-104.870512
080010079002,39.7501817,-104.8769772
080010079004,39.7456047,-104.8793526
080010085265,39.9388374,-104.9744431
080010085262,39.9356525,-104.964275
080010085263,39.9320652,-104.9734755
080010085264,39.9364413,-104.9700322
080010085454,39.9400243,-104.9469365
080010085455,39.9359656,-104.9443701
080010093042,39.8784542,-104.9988925
080010082003,39.7638092,-104.8434433
080010085381,39.8637424,-104.7816089
080010085391,39.882619,-104.8256678
080010085382,39.8879132,-104.7885412
080010085232,39.934758,-104.7045569
080010085064,39.9045075,-104.9799039
080010085062,39.9073389,-104.9803306
080010085361,39.9041638,-104.7951721
080010600001,39.9702402,-104.9630901
080010085401,39.9394959,-104.8910262
080010085411,39.9777625,-104.8802348
080010085421,39.9803033,-104.7569887
080690018041,40.4260545,-105.082896
080690018042,40.4250575,-105.0869741
080690019022,40.4103976,-105.0992247
080690019023,40.4110353,-105.1072973
080690019024,40.4094358,-105.1212272
080690019021,40.418139,-105.104039
080690010101,40.5016479,-105.0555138
080690010102,40.516945,-105.0508343
080690011141,40.5097366,-105.1037425
080690028011,40.3923494,-105.4769481
080690028012,40.3828968,-105.511802
080690028021,40.3495769,-105.5058473
080690028022,40.3576853,-105.5375726
080690028023,40.3541702,-105.5176551
