GEOID,LAT,LNG
090010436002,41.1123563,-73.4058517
090010437001,41.11739,-73.4146092
090010437002,41.1119648,-73.4143835
090010438003,41.1099381,-73.4221286
090010438005,41.1083246,-73.4304149
090010438006,41.1146461,-73.4339095
090011102022,41.2783122,-73.0888457
090010451021,41.2453757,-73.4510221
090011106001,41.3211995,-73.1054016
090012571003,41.5542925,-73.4686035
090012571002,41.5352607,-73.5148544
090012571001,41.6138315,-73.5089576
090010201003,41.051067,-73.5440601
090010201001,41.0573388,-73.5407089
090010218013,41.0621475,-73.5238218
090010201002,41.0518866,-73.5395952
090010202002,41.1143234,-73.5850843
090010202001,41.1432143,-73.6047179
090010203003,41.1550088,-73.5781309
090010203002,41.1489597,-73.5625032
090010203004,41.1381935,-73.5774167
090010203001,41.1547985,-73.5491887
090010438002,41.115104,-73.4250883
090010438004,41.1090692,-73.4267126
090010438001,41.1144861,-73.4205092
090010439004,41.0861545,-73.4427379
090010439003,41.0812594,-73.4390852
090010441002,41.0943142,-73.4161803
090010439001,41.0954884,-73.4393968
090010110002,41.0313817,-73.5634956
090010110003,41.0261969,-73.5709834
090010111004,41.0289534,-73.5894116
090010111001,41.0375688,-73.5795363
090010111002,41.029559,-73.5789553
090010439002,41.0878019,-73.4328373
090010440001,41.1036754,-73.4222776
090010440004,41.0960665,-73.4243122
090010440002,41.1025567,-73.4268471
090010440003,41.0976095,-73.4278696
090010440005,41.0916193,-73.4281798
090010441001,41.0999775,-73.4184457
090010442001,41.1077481,-73.4023591
090012003013,41.4146477,-73.3995998
090012003011,41.4144271,-73.3866124
090012003024,41.36088,-73.3639346
090012003022,41.3459998,-73.4054906
090010442002,41.1042179,-73.4101876
090010442004,41.0981209,-73.4021518
090010442003,41.0981594,-73.4101572
090010443004,41.0898164,-73.3984329
090010443001,41.1103293,-73.3904571
090010443002,41.1038455,-73.3920353
090010443003,41.0974621,-73.3910745
090011003002,41.3433513,-73.1927151
090010112002,41.0057552,-73.6306538
090010113002,41.0044531,-73.6523009
090010113003,41.00807,-73.6552755
090011001003,41.3084842,-73.2520524
090011002002,41.308773,-73.2197469
090011002001,41.3218481,-73.2023894
090011003003,41.3684718,-73.1813547
090011003001,41.3538836,-73.2227583
090011105002,41.3083583,-73.186047
090010743002,41.1827202,-73.1574705
090010744001,41.179011,-73.1577027
090010904002,41.2484388,-73.2062827
090010904003,41.2372644,-73.2128349
090010905002,41.2314448,-73.1679851
090012051001,41.4934796,-73.4233545
090012051003,41.4722091,-73.435325
090010444002,41.0901514,-73.4117097
090010445001,41.0894016,-73.4237008
090010446001,41.0642745,-73.4338868
090010446003,41.069384,-73.4391892
090012401003,41.2790798,-73.411003
090012401002,41.2987347,-73.4348862
090012401001,41.3210378,-73.4458742
090012402002,41.3195972,-73.4021264
090012402003,41.2896777,-73.3531603
090012402001,41.3307775,-73.3659122
090012451001,41.3230782,-73.5079473
090012451002,41.3155427,-73.5117431
090012452001,41.3479399,-73.4943157
090012452003,41.3239728,-73.4797282
090012452002,41.3013338,-73.4657728
090010351005,41.1458566,-73.5023141
090010351001,41.1525367,-73.4928517
090010351003,41.1399461,-73.4886252
090010351004,41.1350517,-73.4944346
090010351002,41.1413665,-73.4791216
090010352002,41.158853,-73.5214726
090012051002,41.4760829,-73.4191408
090012052002,41.454926,-73.3609269
090012052001,41.4877536,-73.3809129
090012052003,41.4867936,-73.401958
090010209002,41.0916418,-73.5210549
090010210001,41.0861615,-73.518267
090010210002,41.0838089,-73.5278917
090010211002,41.0699744,-73.5287499
090010211001,41.0726732,-73.5184253
090012201004,41.4626986,-73.5082311
090010352001,41.1780739,-73.5229857
090010353002,41.1309738,-73.5088119
090010354003,41.1446668,-73.4649697
090010354001,41.1976139,-73.4866402
090010354002,41.1614433,-73.4747886
090010354004,41.1874297,-73.4921002
090012201001,41.4809777,-73.5276628
090012201002,41.4622245,-73.5311729
090012053001,41.442973,-73.3826973
090012053002,41.4438265,-73.3993568
090012053003,41.4504588,-73.4129983
090012101001,41.4005226,-73.4578305
090010211003,41.075456,-73.5283822
090010212001,41.07454,-73.5375136
090010212002,41.071281,-73.5439885
090010212003,41.0800131,-73.5451672
090010213002,41.0640613,-73.5505611
090012201003,41.4493915,-73.5199926
090012202001,41.5027527,-73.5032068
090012202003,41.4772108,-73.5075626
090012203004,41.4708767,-73.4650222
090012202002,41.4937111,-73.473999
090012202004,41.4582082,-73.4848371
090012203001,41.5154591,-73.449648
090012203002,41.4829939,-73.4536884
090012301003,41.4279477,-73.3372073
090012301001,41.4323601,-73.2744014
090012301002,41.4468391,-73.3129801
090012303001,41.413061,-73.351141
090012303002,41.39125,-73.3440738
090012303003,41.3854469,-73.3207206
090012304004,41.3418658,-73.3152988
090012304003,41.3688235,-73.3477948
090012304001,41.3835989,-73.2942312
090012304002,41.3692058,-73.2931017
090012305012,41.4209481,-73.2490831
090010425002,41.1523435,-73.3955242
090012305021,41.3739985,-73.2522461
090012305022,41.3967044,-73.271156
090010208001,41.0972027,-73.5434753
090010209003,41.0943212,-73.5266686
090010209001,41.096924,-73.515639
090010301001,41.1029263,-73.4793936
090010301002,41.0935819,-73.4971597
090010305002,41.0797929,-73.504958
090012101002,41.395721,-73.4495068
090012101003,41.3902261,-73.4479058
090012102001,41.4056088,-73.452657
090012102002,41.3996824,-73.4453901
090012102003,41.3938092,-73.4394464
090012103001,41.4104966,-73.4428429
090011102011,41.3012146,-73.0777166
090010213003,41.0594255,-73.5539106
090010213001,41.0738269,-73.5539725
090010214003,41.0465636,-73.5595989
090010214004,41.0540652,-73.5625263
090010214002,41.0506167,-73.5559239
090010214001,41.0545215,-73.5539346
090010215004,41.0499185,-73.552002
090010215002,41.0502977,-73.5477135
090012302002,41.4107319,-73.3176625
090012302001,41.4139711,-73.3019589
090010425001,41.1614328,-73.4026904
090010425003,41.146006,-73.4062514
090010426001,41.1430104,-73.3909256
090010204001,41.1274253,-73.5415303
090010204002,41.1177371,-73.5597143
090010205001,41.0805184,-73.5613155
090010205003,41.0849041,-73.5726018
090010205002,41.0667864,-73.5632198
090010206003,41.0831745,-73.5500873
090010206002,41.0963098,-73.5561064
090010601001,41.2169954,-73.2440304
090010602001,41.2154643,-73.2558653
090010602002,41.1974315,-73.2428201
090010602003,41.1927729,-73.2529286
090010602004,41.1866985,-73.2591571
090010603003,41.2107168,-73.279187
090010603002,41.2030916,-73.2600803
090010603001,41.190947,-73.2715969
090012104002,41.3903265,-73.4312781
090012104004,41.3831223,-73.4302231
090012105003,41.378856,-73.5118861
090011102012,41.302945,-73.0886232
090012105001,41.3611735,-73.4358813
090012105002,41.35495,-73.4591738
090010215003,41.0465176,-73.5504322
090010215001,41.0539497,-73.5481508
090010217005,41.0572176,-73.5297662
090010216003,41.0645565,-73.5436157
090010216004,41.0619848,-73.5362244
090010216002,41.0603219,-73.5434112
090010216001,41.0636061,-73.5385789
090010217002,41.0522435,-73.5338961
090010217004,41.0582117,-73.5332146
090010217003,41.0548947,-73.5325161
090010217001,41.0562169,-73.5268408
090010428002,41.131135,-73.416296
090010428001,41.1339731,-73.4099475
090010428003,41.1270446,-73.4038692
090010428004,41.1272985,-73.3989001
090010429002,41.1413684,-73.4499051
090010302001,41.0808147,-73.4545606
090010302002,41.087948,-73.4682234
090010303002,41.0670841,-73.4629463
090010303004,41.0497899,-73.4945612
090010304001,41.0699577,-73.4799657
090010304002,41.0632933,-73.4944687
090010607003,41.1516151,-73.2688844
090010607002,41.1474776,-73.2637477
090010608001,41.1622895,-73.2477959
090010608002,41.1543613,-73.2471869
090010609001,41.1726657,-73.2522456
090010609002,41.1677555,-73.2490198
090012105004,41.3603403,-73.4810267
090012106001,41.3797421,-73.4684492
090012106002,41.3818478,-73.4585946
090012106005,41.3844565,-73.4505806
090012106003,41.3866466,-73.4598431
090010218023,41.059026,-73.520618
090010218022,41.062345,-73.5168053
090010218012,41.0629428,-73.5296451
090010218011,41.0670451,-73.5248476
090010219003,41.0418268,-73.5074597
090010219004,41.0443097,-73.5161685
090010219001,41.0578034,-73.5081441
090010206001,41.1035885,-73.5546982
090010207002,41.1000178,-73.5230156
090010207004,41.1043441,-73.5386179
090010207003,41.1097932,-73.5287707
090010207001,41.1095613,-73.5112271
090010208003,41.0873437,-73.5443343
090010208002,41.0902815,-73.5369148
090010604002,41.1818267,-73.2956799
090010604001,41.198225,-73.3064289
090010604004,41.1665602,-73.3079688
090010604005,41.1954237,-73.3250728
090010614002,41.1665478,-73.2382775
090010615002,41.1492243,-73.2360775
090010615004,41.1354589,-73.2464776
090010615003,41.1417366,-73.2392831
090010616003,41.1273355,-73.2710624
090010616002,41.1325852,-73.2500455
090012106004,41.3906735,-73.4571113
090012107022,41.3906793,-73.4756705
090012107012,41.3996186,-73.464227
090012107021,41.3861556,-73.4697926
090012108003,41.4009155,-73.5011753
090012108001,41.4199518,-73.5300319
090012108002,41.4018797,-73.4794086
090012109002,41.4215744,-73.5095266
090012109004,41.4185087,-73.4894566
090010219002,41.0518473,-73.5064453
090010220002,41.0527587,-73.5173005
090010220001,41.0532373,-73.5122131
090010218021,41.0648787,-73.5123131
090010221003,41.0379309,-73.530822
090010221002,41.0430248,-73.5228928
090010304003,41.0654605,-73.5036834
090010302003,41.0814494,-73.4797645
090010305001,41.0748466,-73.4949151
090010305003,41.0865134,-73.5096969
090011051002,41.2385368,-73.3203118
090011051001,41.2344531,-73.2605045
090010601002,41.2045537,-73.2334531
090010610001,41.1878692,-73.2395488
090010610002,41.1802673,-73.2398165
090010610003,41.1806879,-73.2537999
090010611003,41.1875498,-73.2247169
090010611001,41.2012957,-73.2281014
090010611004,41.1939806,-73.2327897
090010611002,41.1969945,-73.2246005
090010104004,41.0182138,-73.6559961
090010104001,41.0311858,-73.6671514
090010104002,41.0287669,-73.6578381
090010104005,41.0206734,-73.6524813
090010104006,41.016852,-73.6523984
090010105001,41.0236389,-73.6311479
090010105005,41.0149979,-73.643974
090012109003,41.4121558,-73.4723917
090012109001,41.4383601,-73.5104927
090012110002,41.4200092,-73.4710132
090012110003,41.4103011,-73.4617521
090012110001,41.4449139,-73.4910935
090012111001,41.438711,-73.4656592
090010221001,41.0519277,-73.5239891
090010222001,41.0422251,-73.5353602
090010222002,41.0406756,-73.5408872
090010223002,41.0293127,-73.5458448
090010223003,41.0407662,-73.5578444
090010223001,41.0376008,-73.5518302
090010604003,41.1724839,-73.2833689
090010605001,41.1485353,-73.2878432
090010606001,41.1380032,-73.2828992
090010606002,41.1345186,-73.294129
090010607001,41.158629,-73.256919
090010607004,41.1614915,-73.2670513
090010616001,41.1385571,-73.2636224
090010101013,41.0876677,-73.6718599
090010101012,41.0442579,-73.6691342
090010101014,41.0851565,-73.6924441
090010101011,41.0537996,-73.6799688
090010101022,41.0910981,-73.6355642
090010101021,41.0926093,-73.6160197
090010101023,41.1175951,-73.6410992
090010102011,41.0629753,-73.6349429
090010102012,41.0558039,-73.6116223
090010102013,41.0642033,-73.620237
090010102021,41.0805015,-73.5894441
090010107004,41.0338864,-73.6192386
090010109002,41.0459342,-73.5764611
090010107001,41.033092,-73.6111147
090010107002,41.0259474,-73.6211436
090010107003,41.0273011,-73.6170566
090010108002,41.0325025,-73.6000084
090010108001,41.03747,-73.5934145
090012112002,41.417986,-73.4573799
090012112003,41.4166418,-73.4432367
090012113001,41.4498423,-73.4437835
090012113003,41.4424383,-73.439291
090012113002,41.4321431,-73.44936
090012114003,41.4222008,-73.4190952
090012203003,41.459399,-73.4759658
090010303001,41.0675413,-73.4526846
090010224001,41.0293317,-73.5227837
090010801003,41.1947098,-73.1512048
090010801004,41.1999031,-73.1539497
090010801002,41.1968875,-73.1460479
090010801001,41.2006796,-73.1498408
090010802002,41.1897292,-73.1472529
090010802001,41.1888831,-73.1420102
090010805003,41.1495145,-73.1252602
090010612002,41.1819114,-73.2325536
