GEOID,LAT,LNG
19127,42.041691,-92.9814523
19011,42.0925474,-92.05763
19041,43.079822,-95.1497261
19165,41.6790143,-95.3089173
19043,42.8409979,-91.3235108
19097,42.1642812,-90.5745965
19079,42.3907681,-93.709198
19173,40.7379489,-94.6971082
19139,41.483776,-91.1186992
19197,42.7330073,-93.7347352
19045,41.8980732,-90.5342431
19095,41.6839184,-92.0591226
19021,42.741522,-95.1414325
19193,42.3932198,-96.0532956
19109,43.2124777,-94.213983
19195,43.373491,-93.2485332
19183,41.3294011,-91.7250523
19161,42.3875259,-95.1052244
19091,42.7822212,-94.2027754
19035,42.7427375,-95.6332616
19189,43.3781243,-93.7434883
19119,43.3835796,-96.2072011
19125,41.3314552,-93.093849
19107,41.3311823,-92.1677213
19103,41.6687365,-91.5888122
19135,41.0288473,-92.8696415
19141,43.0837455,-95.6256244
19061,42.4634808,-90.8787708
19177,40.7541168,-91.952943
19069,42.7365489,-93.2714247
19077,41.6835728,-94.5012723
19101,41.0068799,-91.9671367
19059,43.3896107,-95.1960572
19067,43.052741,-92.7873669
19007,40.7446826,-92.870345
19051,40.7480892,-92.4103453
19039,41.0291908,-93.7840961
19013,42.4728884,-92.306059
19163,41.6416793,-90.6222899
19149,42.7375854,-96.2158638
19131,43.3485643,-92.7844663
19049,41.6853206,-94.0407065
19147,43.0758537,-94.6672965
19071,40.7437257,-95.5995159
19159,40.7353342,-94.2442514
19023,42.7347076,-92.7800664
19137,41.0217348,-95.1577896
19181,41.3367685,-93.5643662
19053,40.7363787,-93.7845799
19187,42.434397,-94.1791565
19025,42.3861699,-94.6436829
19123,41.3307969,-92.6363663
19015,42.0386005,-93.9391375
19113,42.0779506,-91.5976735
19099,41.6856863,-93.0529712
19145,40.7390902,-95.1442898
19093,42.3918601,-95.5074206
19047,42.0431192,-95.3890903
19003,41.0216555,-94.6969059
19031,41.7723547,-91.13219
19027,42.039492,-94.8676471
19009,41.679178,-94.9043119
19055,42.4730031,-91.3594425
19083,42.3899554,-93.241081
19167,43.0828542,-96.1779289
19001,41.3285283,-94.4781643
19175,41.0285502,-94.2450907
19129,41.0337028,-95.619101
19185,40.7399827,-93.3326126
19133,42.0494317,-95.9565661
19085,41.6885844,-95.8271491
19117,41.033344,-93.3314666
19063,43.3779844,-94.6693702
19153,41.6842807,-93.5697204
19019,42.4703284,-91.8386658
19037,43.0597409,-92.3172101
19057,40.9153392,-91.1869253
19029,41.3338235,-94.9333023
19005,43.2749637,-91.382751
19121,41.3306216,-94.0151842
19033,43.0751708,-93.251266
19065,42.8644496,-91.8393728
19017,42.7808902,-92.3275863
19171,42.0748481,-92.5294115
19143,43.3785421,-95.6337878
19087,40.985864,-91.5442697
19157,41.6845262,-92.5228819
19081,43.0754105,-93.7436965
19191,43.2929889,-91.850788
19105,42.1251175,-91.1169141
19151,42.7340333,-94.6782789
19073,42.042494,-94.3887028
19115,41.2182111,-91.2569936
19179,41.0312631,-92.4094822
19111,40.6475875,-91.4771574
19169,42.0375379,-93.4660934
19075,42.4033232,-92.7902613
19155,41.3401835,-95.5449053
19089,43.3653125,-92.3219084
