GEOID,LAT,LNG
220350001001,32.8997542,-91.2148469
220350002001,32.6038097,-91.2504994
220350001002,32.8346081,-91.1977292
220350003001,32.7960048,-91.2010708
220350001003,32.806985,-91.1860963
220350002002,32.7292242,-91.241161
220139701001,32.57208,-92.9076544
220139703001,32.2821897,-93.3315716
220139703002,32.3614571,-93.3444026
220139705001,32.246725,-92.9060875
220139701003,32.5416076,-92.8986609
220139704001,32.3544835,-93.213275
220139701002,32.5609955,-92.9312939
220139705003,32.3726627,-93.0570721
220250003002,31.6455607,-91.8997922
220139705002,32.3498983,-92.8344584
220139703003,32.3590397,-93.2733876
220139701004,32.5335353,-92.9551968
220139704003,32.198795,-93.1317516
220139704002,32.2938678,-93.1569757
220139705004,32.2228694,-93.0313967
220250001004,31.8336474,-91.6319349
220250002002,31.6381244,-91.8214425
220139702001,32.5143635,-93.0927519
220139702002,32.4956996,-92.9713871
220250001002,31.7786097,-91.8329705
220250001003,31.8114857,-91.9229759
220250002001,31.6071214,-91.8512208
220250001001,31.7563375,-91.7608724
220250003001,31.44994,-91.9078573
220710002002,29.9458309,-90.0542589
220710076063,30.0046625,-90.1193591
220710049004,29.9635406,-90.0864092
220710038002,29.9599548,-90.0586305
220710101001,29.9325681,-90.0998331
220710014013,29.9796751,-90.0367403
220710017241,30.0350362,-90.0085677
220710023003,29.9868125,-90.0552737
220710121023,29.9387033,-90.1251746
220710017202,30.0212293,-90.0185518
220950703002,30.0820807,-90.4837289
220950704001,30.0959728,-90.4951069
220950704002,30.0832202,-90.495078
220950701001,30.0596785,-90.4461983
220950703001,30.0762399,-90.4954464
220950706001,30.0861503,-90.6476026
220710134002,29.9489632,-90.0769186
220710006042,29.92927,-90.0171868
220710009024,29.9736846,-90.0151984
220710006071,29.9263173,-89.9884671
220710017222,30.0167106,-89.9915777
220710033085,30.0030592,-90.0671458
220710009011,29.9709678,-90.0024042
220710017351,30.0257607,-89.9963469
220710030001,29.9821884,-90.0611196
220710018002,29.9632339,-90.0545305
220710033012,30.0162212,-90.0774944
220710025014,30.0143991,-90.0571654
220710017201,30.0252103,-90.0184331
220710004001,29.9523792,-90.0421758
220710138002,29.9944941,-90.0757987
220719900000,30.1215777,-89.980624
220710006032,29.9322827,-90.0249768
220710143001,29.9377663,-90.0936123
220710122001,29.9502744,-90.1136529
220710015002,29.9710311,-90.0469212
220710134001,29.9461414,-90.0623198
220710021001,29.9809858,-90.0530891
220710007021,29.958217,-90.0103689
220710102005,29.9386521,-90.1015479
220710102004,29.9358955,-90.1012082
220710056024,30.0157872,-90.1051858
220710086001,29.9460096,-90.0908179
220710007013,29.9677663,-90.0218703
220710091001,29.9337466,-90.0850997
220710017403,30.0509711,-89.9585633
220710091002,29.9314006,-90.0872212
220710135004,29.9607976,-90.0659715
220710017401,30.0597886,-89.9462355
220710063003,29.9642523,-90.0916334
220710017225,30.0165391,-90.0058452
220710014012,29.9788867,-90.0347431
220710006061,29.9381365,-90.0089825
220710084001,29.936452,-90.080174
220710075015,29.9690998,-90.1257287
220710025024,30.01498,-90.0498993
220710046003,29.9813564,-90.0999094
220710139002,29.938725,-90.0772441
220710017232,30.0212728,-89.9765987
220710019001,29.9718051,-90.0509802
220710094004,29.9443968,-90.0951994
220710020001,29.9762543,-90.0498485
220710099001,29.9249595,-90.0918086
220710119001,29.9390907,-90.111262
220710072001,29.9641216,-90.1143601
220710014014,29.980193,-90.0390204
220710013013,29.96857,-90.0429697
220710025011,30.0237743,-90.0579076
220710037022,29.9854877,-90.0749316
220710141001,29.9294617,-90.0733447
220710044013,29.9665515,-90.0738725
220710012003,29.9666339,-90.049253
220710011003,29.9598811,-90.0318243
220710090002,29.9277318,-90.0827864
220710112001,29.9453756,-90.1062453
220710088002,29.9239274,-90.0805328
220710044022,29.9648006,-90.0762119
220710139001,29.9413807,-90.0748896
220710006133,29.919254,-90.0185328
220710128002,29.9547402,-90.1182431
220710017432,30.02769,-90.008854
220710054002,29.9793862,-90.1029514
220710013014,29.972106,-90.0421052
220710022003,29.9801139,-90.0507573
220710033081,30.0055264,-90.0616409
220710065003,29.9723033,-90.1063975
220710075011,29.9734355,-90.1222558
220710006151,29.9191166,-90.0045561
220710027001,29.9721995,-90.0611765
220710076062,30.0114283,-90.1182038
220710126003,29.9414014,-90.1304371
220710017362,30.0275551,-89.9795066
220710056042,29.9988847,-90.1049534
220710126001,29.9445448,-90.1295339
220710009012,29.9689767,-90.0046413
220710072002,29.9616182,-90.1107377
220710055001,29.9915061,-90.1056629
220710064002,29.9698639,-90.096938
220710017021,30.0112863,-90.0323551
220710017503,30.0384831,-89.917683
220710056032,29.9974892,-90.1122843
220710006182,29.9067424,-89.996939
220710099002,29.9228338,-90.0980213
220710075022,29.9673527,-90.1169865
220710044012,29.9690191,-90.0775
220710075012,29.9702317,-90.1208672
220710109001,29.9326493,-90.1050049
220710020002,29.9758835,-90.0532545
220710103003,29.9425219,-90.1019901
220710124002,29.9539036,-90.1106562
220710006132,29.9168255,-90.024143
220710006023,29.9419515,-90.0365832
220710017371,30.0471753,-89.9802744
220710131004,29.9546871,-90.1345926
220710041001,29.9761748,-90.0818135
220710106002,29.91744,-90.112152
220710017443,30.0336835,-89.9932279
220710045001,29.9715423,-90.0838704
220710111002,29.9354254,-90.108828
220710121022,29.9362161,-90.1214964
220710054001,29.9812525,-90.1068757
220710065002,29.9750588,-90.1044755
220710017234,30.0193934,-89.9868813
220710017511,30.0292981,-89.910611
220710017373,30.049935,-89.9767419
220710009014,29.9614505,-90.0076173
220710133022,30.0266577,-90.0776622
220710008002,29.9593184,-90.0194914
220710109003,29.9290981,-90.109926
220710076061,30.0245785,-90.1172839
220710044021,29.9673068,-90.0801175
220710117002,29.9288838,-90.1154232
220710006012,29.9314193,-90.040034
220710013022,29.9686994,-90.0347856
220710017013,30.0208327,-90.0453448
220710085002,29.9385473,-90.0847813
220710145001,29.9606306,-90.0950063
220710014024,29.9756014,-90.0407903
220710096001,29.9216357,-90.0896872
220710103004,29.9471528,-90.102884
220710009013,29.9655084,-90.006233
220710138003,29.9970097,-90.0830478
220710060001,29.956923,-90.0869938
220710007014,29.9711044,-90.0234354
220710116002,29.9240559,-90.1189276
220710007011,29.9772036,-90.0184498
220710078001,29.9351416,-90.0726211
220710009034,29.9705879,-90.0162321
220710014023,29.9747096,-90.036835
220710100004,29.931636,-90.0956397
220710027003,29.9697219,-90.0621789
220710022002,29.9804678,-90.0482377
220710094002,29.9479254,-90.0966723
220950707004,30.0619512,-90.5487968
220950701002,30.1912758,-90.4454223
220950707002,30.0669885,-90.5584398
220950702001,30.0846768,-90.4644184
220710033083,29.9931409,-90.0628717
220710006121,29.9035128,-89.930078
220710114001,29.9188625,-90.1176163
220710070001,29.9647993,-90.1063545
220710099003,29.9256264,-90.09854
220710025042,30.0059367,-90.0477495
220710009032,29.9676114,-90.0161027
220710137003,29.988816,-90.0323128
220710022001,29.9832989,-90.0490268
220950709002,30.068041,-90.5102084
220950708001,30.058125,-90.5316691
220950710002,30.0354613,-90.4687883
220950705002,30.0800462,-90.5041882
220950710001,30.0461516,-90.461258
220710016001,29.981748,-90.0322162
220710125002,29.9289655,-90.1345428
220710012002,29.9654387,-90.0455918
220710037012,29.9912299,-90.0804741
220710120001,29.9238851,-90.1296907
220710017012,30.0221098,-90.0403812
220710025033,30.0040575,-90.056848
220710064001,29.9721448,-90.1003866
220950706002,30.0523405,-90.6107987
220950711004,30.0377169,-90.5078689
220950705001,30.0886572,-90.5497415
220950711002,30.0353084,-90.5896592
220950703003,30.0757741,-90.487912
220710033071,29.9990622,-90.0712808
220710075013,29.9675854,-90.1237521
220710017402,30.0486796,-89.9634986
220710119002,29.9385781,-90.1149848
220710034002,29.9692345,-90.065363
220710006161,29.9166028,-89.9894314
220710024024,30.0010656,-90.0528651
220710017361,30.0317961,-89.9828169
220710024012,29.9946173,-90.0571811
220710017233,30.0199452,-89.9826627
220710017502,30.0413529,-89.908892
220710063002,29.9659818,-90.0901098
220710006053,29.9492085,-90.0314753
220950702002,30.0771105,-90.4805804
220950711003,30.0343399,-90.5507182
220950711001,29.9630869,-90.5952813
220950707001,30.0754927,-90.5855225
220950703004,30.0936713,-90.4827342
220950707003,30.0540178,-90.5559877
220950709001,30.0573479,-90.5034952
220630406001,30.5068603,-90.9459447
220630409021,30.3465941,-90.5991447
220630403011,30.5483071,-90.9630044
220630409024,30.2363887,-90.7108859
220630401001,30.6291698,-90.6041715
220630406004,30.4966483,-90.9365702
220630404011,30.5106548,-90.893504
220659603002,32.418835,-91.1995472
220630403032,30.5724171,-90.9287328
220630403014,30.6204992,-90.9121509
220630403012,30.584024,-90.9678877
220630402013,30.5018241,-90.7809357
220630408021,30.361393,-90.7932775
220630405002,30.5225813,-90.9258067
220630408062,30.439846,-90.9636866
220630408041,30.4275299,-90.8058731
