GEOID,LAT,LNG
320050011001,38.8834704,-119.7322093
320050022003,39.0536102,-119.7531407
320050025001,38.6698137,-119.3856296
320050017002,38.9698091,-119.9448671
320050010001,38.9099672,-119.7364538
320050011002,38.8913564,-119.7328055
320050011003,38.8952461,-119.7377536
320050016002,39.06504,-119.9243412
320050023001,38.9962395,-119.5265604
320050023002,38.9344971,-119.6909102
320310025003,39.5565112,-119.8364008
320310026031,39.6659637,-119.9140487
320310026191,39.5923484,-119.8416291
320310026182,39.7065312,-119.8617192
320310026183,39.6952922,-119.8251003
320310026184,39.6261527,-119.8362222
320310027062,39.6038465,-119.7639594
320310027061,39.6107603,-119.765807
320310028022,39.5476088,-119.7667926
320310031082,39.5600445,-119.7168917
320310031103,39.55456,-119.7195627
320310031104,39.5491355,-119.7138697
320310031014,39.5393703,-119.7282779
320310031062,39.5441809,-119.71992
320310035071,39.5794871,-119.7127426
320310035072,39.5720951,-119.7048241
320050024001,38.8206762,-119.5898293
320050015001,38.9346902,-119.7330858
320050022004,38.9971348,-119.7353339
320050013002,38.9277821,-119.76329
320050013001,38.9207099,-119.8261017
320050018002,38.9688084,-119.8923828
320050012001,38.8995737,-119.7589686
320050021001,39.0903863,-119.7674416
320050020001,39.1016655,-119.7929155
320050010002,38.906343,-119.7234342
320059900000,39.0496953,-119.975373
320310028023,39.5517091,-119.7668283
320310028012,39.5546846,-119.7599266
320310028021,39.546719,-119.7575414
320310029011,39.5603428,-119.7438656
320310031011,39.5381724,-119.7183386
320310002012,39.50961,-119.8016435
320310001014,39.52362,-119.8216269
320310002022,39.5157671,-119.8055565
320310002011,39.5093823,-119.7936724
320310003002,39.5088413,-119.8086422
320310004001,39.5186359,-119.8206366
320310004003,39.5081093,-119.8260999
320310004002,39.5119409,-119.821802
320310007003,39.5165941,-119.8008147
320310035132,39.5631097,-119.6989699
320310035131,39.5622955,-119.6749137
320319900000,39.2036153,-119.9684438
320319402001,40.2057587,-119.6258251
320310022061,39.4434625,-119.7393838
320310022082,39.4387452,-119.7459152
320310022123,39.4858311,-119.7773085
320319800001,39.5028401,-119.7652716
320310021051,39.4916719,-119.7520108
320310022112,39.5010253,-119.785735
320310035111,39.6155166,-119.6914975
320310007002,39.5165676,-119.7938162
320310009001,39.503413,-119.7955438
320310010152,39.5028085,-119.811752
320310010091,39.4982675,-119.8052464
320310010082,39.4932875,-119.8049668
320310010081,39.4932746,-119.7996219
320310009002,39.4980335,-119.794258
320310014001,39.5342344,-119.8266632
320310018011,39.5394842,-119.7916201
320310018012,39.5407246,-119.7966384
320310018021,39.5413726,-119.7805386
320310021072,39.5127306,-119.7852338
320310024121,39.5449504,-119.8765209
320310035033,39.633104,-119.722629
320310012024,39.5215766,-119.8552921
320310023011,39.5175241,-119.9239774
320310026133,39.7008785,-119.9468313
320310035112,39.6177921,-119.6844579
320310027052,39.6148024,-119.7914494
320310021042,39.4839344,-119.7271989
320310022111,39.4889301,-119.7901441
320310022041,39.4805811,-119.7847499
320310026181,39.6522197,-119.8056136
320310024063,39.5297669,-119.8577597
320310024062,39.5332991,-119.8523569
320310021043,39.4700607,-119.7524935
320310031066,39.547496,-119.7217374
320310031065,39.5516452,-119.7243065
320310024102,39.5169065,-119.8943754
320310024103,39.5214368,-119.8932244
320310024112,39.5234622,-119.8705855
320310035094,39.5955538,-119.7269607
320310001013,39.5272267,-119.8199297
320310003001,39.5161459,-119.8104111
320310003004,39.5169982,-119.8147795
320310019013,39.5371752,-119.7696699
320130106001,41.0111487,-117.2949438
320130107021,40.8960047,-117.7515543
320130105003,41.3056316,-118.6430965
320130105005,40.9696482,-117.7364966
320130105001,41.699871,-117.5747682
320130107013,40.9756946,-117.7246522
320130107011,40.9631086,-117.7187242
320130107012,40.9525248,-117.7295471
320130107014,40.9663968,-117.7265947
320130105004,40.8961939,-117.8532426
320310019024,39.5421858,-119.7559048
320310019023,39.5365157,-119.7586888
320310019022,39.5415944,-119.7617273
320310019021,39.5437232,-119.7674338
320310029021,39.5518433,-119.7504306
320310029023,39.550077,-119.7441683
320310029024,39.5515363,-119.7370814
320310029022,39.5545198,-119.744218
320310030003,39.5383349,-119.7392096
320310030001,39.5440501,-119.7505222
320310030002,39.5445633,-119.7384447
320310030006,39.5374955,-119.7504546
320310030004,39.5444845,-119.7457946
320310032031,39.3678432,-119.7802692
320310032041,39.2871453,-119.7917316
320310018022,39.5404997,-119.7845497
320310001021,39.5335671,-119.7936046
320310003003,39.509205,-119.8148767
320310011012,39.5091347,-119.8428363
320310022101,39.4167528,-119.6898787
320310010083,39.4932627,-119.8101614
320310023022,39.5216254,-119.9825235
320310010122,39.4444268,-119.787833
320310010112,39.4255953,-119.7729337
320310022062,39.4537524,-119.7409522
320130107023,40.9763286,-117.7056523
320130106002,41.1994529,-117.6155284
320130107022,40.9233934,-117.6649605
320130105002,40.8836294,-117.8046251
320099501001,37.9500339,-117.813701
320099501002,37.556989,-117.3833555
320310031061,39.5542361,-119.7303
320310031063,39.549379,-119.730724
320310031064,39.5442713,-119.7305098
320310027063,39.6058784,-119.7752837
320310010121,39.4651056,-119.7955001
320310028011,39.561032,-119.7623844
320310028024,39.5505263,-119.7567478
320310019011,39.5423517,-119.7738306
320310031081,39.565389,-119.7155015
320310031102,39.5552867,-119.7098167
320310011041,39.4838462,-119.8433463
320310026173,39.5933315,-119.8174597
320310027032,39.5692944,-119.7947946
320310027041,39.5842041,-119.7708109
320310029013,39.5615227,-119.748372
320310017023,39.5518223,-119.7843694
320310026185,39.6164469,-119.8210879
320310031101,39.5466209,-119.7086193
320310012023,39.5246681,-119.8406843
320310001012,39.5306445,-119.8214934
320310001022,39.5331625,-119.8112571
320310001011,39.5237919,-119.8144073
320310001023,39.5273959,-119.8093521
320310019012,39.5376798,-119.7752456
320310023013,39.5541383,-119.9344734
320310024122,39.555435,-119.8963148
320310024011,39.5478168,-119.8551322
320310012011,39.517586,-119.847027
320310012022,39.5234786,-119.8289231
320310027053,39.5943941,-119.7952577
320310027071,39.5980594,-119.7526435
320310035082,39.579797,-119.7210162
320310031052,39.5593044,-119.7271939
320319901000,40.0455109,-119.5652064
320310035013,39.7052176,-119.5150306
320310021061,39.487918,-119.7536644
320310014002,39.5380593,-119.8216403
320310004005,39.5193044,-119.8313717
320310012013,39.5169911,-119.8558496
320310004004,39.5122311,-119.8324889
320310030005,39.538043,-119.7456463
320310031013,39.5251038,-119.7421053
320310007001,39.5224333,-119.797309
320310002023,39.5207794,-119.8065157
320310002021,39.5266179,-119.8054342
320310021041,39.4756029,-119.741102
320310021053,39.4827956,-119.7456703
320310021062,39.4831101,-119.7521839
320310022092,39.4096717,-119.7268679
320310010154,39.4795821,-119.822578
320310032042,39.2903438,-119.8699929
320310026131,39.7035452,-119.98917
320310015014,39.5521608,-119.8031934
320310027031,39.5812837,-119.7901739
320310035031,39.600807,-119.7398995
320199609004,39.0915903,-119.258824
320199609001,38.9849006,-119.1715003
320199608003,38.9596406,-119.1658962
320199608004,38.8928877,-119.1016831
320199608005,38.6376052,-119.1089289
320199609003,38.9867638,-119.0565652
320199608001,38.9153071,-119.2489362
320199608002,38.8875107,-119.3541562
320199602021,39.2285715,-119.1586114
320199601031,39.6826938,-119.1035993
320199601022,39.6017891,-119.2424119
320199601021,39.5920161,-119.2351982
320199601014,39.5823936,-119.1884107
320199601013,39.5894969,-119.1749866
320199603021,39.302952,-119.5335097
320199603031,39.19287,-119.4454518
320199603023,39.2920758,-119.503791
320199603011,39.2414562,-119.6684853
320199603022,39.2558363,-119.6081628
320199603012,39.2102905,-119.6519084
320199609002,39.0978274,-119.0224302
320199602011,39.2999779,-119.3097299
320199602022,39.4211415,-119.1992818
320199602012,39.4566535,-119.3344943
320199601011,39.548727,-119.1794003
320199601032,39.6162675,-119.2365615
320199601012,39.6082321,-119.2691838
320219707002,38.5847023,-118.768581
320219707001,38.4848257,-118.5580239
320219708001,38.516647,-118.4162794
320219707003,38.5814808,-118.5860376
320310026121,39.6780507,-119.9510817
320310033061,39.2488132,-119.9613844
320310035113,39.6305386,-119.686187
320310035092,39.6252419,-119.7092346
320310035044,39.6501072,-119.7119629
320310011053,39.4992907,-119.8479673
320310032025,39.3856098,-119.7354552
320310010092,39.4970293,-119.8101289
320310010141,39.4698466,-119.8153198
320310007004,39.5270088,-119.7951565
320310023021,39.5042417,-119.9323588
320310023012,39.5183548,-119.9392207
320310017012,39.5482811,-119.7925889
320310035091,39.6086102,-119.7194553
320310018013,39.5433094,-119.7910816
320310031092,39.5553858,-119.6957209
320310023014,39.5297336,-119.9362123
320310026152,39.6274312,-119.8598561
320310035011,41.003718,-119.6672851
320310035012,39.834474,-119.8225169
320310035081,39.5749864,-119.7352162
320310029012,39.5596576,-119.7370907
320310031051,39.5650486,-119.7294932
320310033093,39.2078543,-119.916194
320310033081,39.2654417,-119.9822331
320310033062,39.2439666,-119.9579639
320310033072,39.2354598,-119.9363307
320310033051,39.2547221,-119.9591691
320310033082,39.2776939,-119.9528263
320310022081,39.4314452,-119.7563976
320310010102,39.4049718,-119.7566686
320310010111,39.4115977,-119.7752396
320310010101,39.3987203,-119.777438
320310032032,39.3622991,-119.8224762
320310026102,39.6291197,-119.9099411
320310035101,39.5901074,-119.7312045
320310022091,39.4320972,-119.7236905
320310026111,39.6501218,-119.8749941
320310026124,39.6820914,-119.9721748
320310026123,39.6741166,-119.9673976
320310026122,39.6398466,-119.9707168
320310026193,39.6104897,-119.8904216
320310026192,39.6091321,-119.8580491
320310026194,39.5739191,-119.8368496
320310033094,39.253029,-119.9440923
320310033092,39.2717138,-119.9193797
320310033091,39.2648751,-119.9489625
320310022073,39.4142081,-119.7430007
320310032024,39.3050788,-119.7508179
320310032023,39.348242,-119.7369942
320310032021,39.2616338,-119.770602
320310032022,39.3743688,-119.7005763
320319801001,39.6707327,-119.8820859
320310011051,39.5064318,-119.8527658
320310011052,39.490383,-119.8534709
320310011033,39.4803638,-119.8560224
320310024101,39.5245664,-119.8855813
320310024111,39.5231975,-119.8795793
320310012021,39.5245753,-119.8528968
320310033083,39.25977,-119.9968841
320310033071,39.2447834,-119.9449176
320310010134,39.4101585,-119.8282848
320310010133,39.4484136,-119.829186
320310022051,39.4464317,-119.7702436
320310022072,39.4317575,-119.7417128
320310022071,39.4323723,-119.7350235
320319802001,39.591908,-119.9235145
320310035141,39.6511227,-119.6886942
320310035154,39.6748194,-119.6470748
