GEOID,LAT,LNG
560210012004,41.1820125,-104.8335431
560210020003,41.0783038,-104.2068501
560210005012,41.1331175,-104.7738388
560210013002,41.169553,-104.8232302
560210010001,41.1397369,-104.8368037
560210009002,41.1589979,-104.830358
560210009001,41.1615736,-104.8461913
560050006003,44.2931507,-105.5312311
560050006001,44.3101217,-105.5108021
560050006002,44.3062217,-105.5571625
560050005001,44.2656633,-105.515906
560050003004,44.2868063,-105.4745386
560050004002,44.2910447,-105.502142
560050004003,44.2840193,-105.5018851
560050002003,44.268553,-105.3742468
560050005002,44.2761089,-105.5808954
560330001002,44.7806037,-106.9528691
560330001003,44.7821364,-106.9621096
560330001004,44.7561629,-106.9479477
560330002001,44.7922167,-106.951047
560330005002,44.7063977,-106.9223524
560330005005,44.6781414,-106.9621284
560210007002,41.1432929,-104.8080637
560210002001,41.1253022,-104.7896862
560210012001,41.1950938,-104.8394189
560210015023,41.1494824,-104.7478691
560210007003,41.1373101,-104.8007252
560210004023,41.1056052,-104.8051988
560050004001,44.2854904,-105.484677
560050003003,44.2820069,-105.4379511
560050003002,44.2727826,-105.5018719
560050005003,44.2790093,-105.5248971
560050002002,44.219746,-105.4694072
560050003001,44.2781157,-105.5023335
560050004004,44.2874738,-105.4915776
560050001002,43.7081085,-105.7181658
560050007002,44.6680504,-105.7676676
560050007003,44.6287743,-105.2972527
560050007001,44.3338056,-105.4562741
560050001001,43.9161383,-105.3271122
560050001003,44.1443461,-105.8331835
560210004013,41.0942399,-104.7957379
560210015022,41.1495431,-104.7658842
560210006004,41.1419183,-104.7937812
560210006002,41.1355429,-104.7868136
560210006003,41.1424926,-104.7828071
560050002001,44.2588163,-105.4809506
560050002004,44.2498152,-105.4942905
560050001004,44.1812634,-105.5038818
560210002002,41.1290942,-104.8086362
560210009003,41.1478817,-104.8224379
560210008002,41.1484658,-104.804894
560210015021,41.1567164,-104.7399818
560210004022,41.1115802,-104.7959341
560210012002,41.1774722,-104.8425626
560459511001,43.9952019,-104.7888857
560459513002,43.8540637,-104.180734
560459511002,43.768531,-104.478499
560459513003,43.8435513,-104.2600725
560459513001,43.8816027,-104.2575265
560210004011,41.095684,-104.8220195
560210010003,41.1414281,-104.8303023
560210009004,41.1491952,-104.8307188
560210006001,41.1391832,-104.7745579
560210014013,41.1648382,-104.782815
560210013003,41.1666513,-104.8132359
560210008003,41.1488591,-104.7973689
560279572002,42.7641672,-104.4832057
560279572003,42.7646954,-104.4353231
560279572001,43.062159,-104.4683727
560210003001,41.1150996,-104.8165539
560210004015,41.0776992,-104.8027456
560210020004,41.0755755,-104.5803319
560210019013,41.4755278,-104.6546063
560210020001,41.262791,-104.5452649
560210005013,41.1322676,-104.7580167
560210005015,41.1323124,-104.7482468
560210005011,41.1403746,-104.7376461
