NAME,VAP10,HVAP10,WVAP10,BVAP10,AMINVAP10,ASIANVAP10,NHPIVAP10,OTHERVAP10,2MOREVAP10,SHR04P_Suff_ACabral,SHR04P_Suff_SMurphy,SS06P_Suff2_DWilkerson,SS06P_Suff2_JKelleher,SS06P_Suff2_SDiaz,SS06P_Suff2_SChangDiaz,SS08P_Suff2_DWilkerson,SS08P_Suff2_SChangDiaz,USH18P_7_APressley,USH18P_7_MCapuano,BOSMAY17G_TJackson,BOSMAY17G_MWalsh,SH06G_Suff5_AGarrison,SH06G_Suff5_MStFleur,BOSMAY17P_TJackson,BOSMAY17P_MWalsh,BOSMAY17P_JWiley,BOSMAY17P_RCappucci,SH16P_Suff12_DCullinane,SH16P_Suff12_JLacet,SH16P_Suff12_CWilliams,SH10P_Suff5_AGarrison,SH10P_Suff5_BLawton,SH10P_Suff5_CHenriquez,SH10P_Suff5_ROwens,SH16P_Suff11_EMalia,SH16P_Suff11_CClemons,SHR10G_Suff_ACabral,SHR10G_Suff_HSmith,SS13P_Suff1_LForry,SS13P_Suff1_NCollins,SS13P_Suff1_MDahill,DA18P_Suff_RRollins,DA18P_Suff_GHenning,DA18P_Suff_ECarvalho,DA18P_Suff_SMcAuliffe,DA18P_Suff_LChampion,SS06G_Suff2_DWilkerson,SS06G_Suff2_SDiaz,SH06P_Suff5_MStFleur,SH06P_Suff5_ROwens,SH06P_Suff5_SCruz,SH06P_Suff6_WWilson,SH06P_Suff6_WCelester,SH06P_Suff6_WAllen,SH18P_Suff12_DCullinane,SH18P_Suff12_JLacet,SH18P_Suff11_EMalia,SH18P_Suff11_TTurnbull,SH18P_Suff11_CClemons,SH18P_Suff14_AScaccia,SH18P_Suff14_GVanNess,SH18P_Suff14_SIdowu,SH18P_Suff14_CNzenwa,SH18P_Suff14_VUy,SH10P_Suff6_DHowell,SH10P_Suff6_DMonteiro,SH10P_Suff6_KPayne,SH10P_Suff6_KGabriel,SH10P_Suff6_RHolmes,SH08P_Suff6_FGabriel,SH08P_Suff6_WAllen,TOTPOP,CVAP14,CVAP16,CVAP17,CVAP18,BCVAP14,BCVAP16,BCVAP17,BCVAP18
Abington Town Precinct 1,2545,33,2356,58,10,36,2,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3295,2529.110481968023,2689.7493794944085,2659.1334621427795,2590.2107301889705,3.602970344989134,3.5932110736813923,23.15202227145752,24.768292682926827
Abington Town Precinct 2,2412,40,2226,18,1,30,0,74,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3121,2519.003391545154,2485.114776046022,2465.377047097351,2525.351564534329,7.718757499123178,14.320870175179516,46.05127104087943,32.85872552387496
Abington Town Precinct 3,2314,38,2164,18,4,36,0,41,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3068,2134.886550330586,2082.23409723304,2169.1475441958955,2409.1435120446044,7.486795774647888,14.973591549295776,17.469190140845072,14.32914945407627
Abington Town Precinct 4,2482,43,2282,68,6,45,0,15,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3164,2692.8820477991435,2879.716437698185,2514.4003595178315,2675.8141315851285,109.88288874430708,144.8926480156148,114.90240728692255,50.66204772902232
Abington Town Precinct 5,2550,57,2311,59,7,60,0,25,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3337,2519.117528357093,2548.185309528345,2641.9415870461435,2474.480061646968,35.308587636932714,36.21967918622848,58.42510925989541,16.381784610099622
Acton Town Precinct 1,2779,72,1865,51,2,750,0,17,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3809,2273.6786188579017,2711.9853917662685,2863.4462151394428,2900.332005312085,41.65338645418327,63.49933598937582,107.92164674634796,72.38379814077024
Acton Town Precinct 2,2423,42,1919,38,2,384,0,16,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,2315.661267768515,2546.6410465077824,2468.7141872870543,2469.458686591864,0.2437137330754352,35.3278857367351,30.08417200365966,30.08417200365966
Acton Town Precinct 3,2453,36,2088,3,0,291,0,7,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3536,2289.5998554853195,2270.300140875821,2393.8487430341847,2146.9288940988104,0.0,3.915827996340347,3.915827996340347,3.915827996340347
Acton Town Precinct 4,2665,44,2173,12,3,400,0,13,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3801,2594.793783765312,2785.51112582937,2705.9445091122493,3006.045306349206,35.467043314500934,55.19802183386785,65.22351345804847,59.015392897822544
Acton Town Precinct 5,2741,54,2089,35,2,528,3,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3775,2449.763617469377,2821.910886661256,2756.324470102511,2660.6821524912507,0.0,99.28816601143603,124.26267438725542,115.9378382619823
Acton Town Precinct 6,2604,98,2122,29,1,264,0,60,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3503,2186.5028566535752,2143.6514083595,2326.72187532456,2316.552955156785,25.63585649824036,30.770762432244872,57.59216540834819,36.66297069942493
Acushnet Town Precinct 1,2664,24,2565,14,6,11,0,19,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3278,2523.6576976134947,2528.722246936547,2561.2315372759413,2772.4433030919868,1.5079872204472844,1.5079872204472844,1.5079872204472844,10.000000000000002
Acushnet Town Precinct 2,2751,20,2680,8,5,6,0,18,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3513,2689.654347673239,2748.910585945559,2894.5439586630187,2955.718537912198,2.492012779552716,2.492012779552716,2.492012779552716,10.654117647058824
Acushnet Town Precinct 3,2798,20,2717,16,5,6,0,13,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3512,2981.687954713266,3092.367167117893,3029.2245040610383,2826.838158995817,0.0,0.0,0.0,9.345882352941178
Adams Town Precinct 1,1329,16,1281,8,4,8,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1679,1335.9180464411843,1432.6322862727743,1320.4236971818589,1275.7928812333505,0.0,0.0,0.0,0.0
Adams Town Precinct 2,1343,7,1312,6,3,3,0,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1672,1329.2817684275235,1207.3307092664847,1287.4914120154942,1306.5412265947184,0.0,0.0,0.0,0.0
Adams Town Precinct 3,1380,3,1343,5,0,12,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1731,1194.5124141838437,1164.935352750941,1256.2936408503767,1334.913255555503,0.0,0.0,30.0,48.773173391494005
